severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-13T22:38:41+0000		2.0		javascript:S1128	React-Nanodegree---Live-Coding-React	2min		Remove this unused import of 'logo'.	2023-03-13T22:38:41+0000	CODE_SMELL	true	"es2015 / unused / "	React-Nanodegree---Live-Coding-React:live-codings-react-nanodegree-master/extras/1-react-loves-maps-solution/src/App.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=7.0, endOffset=11.0}	2min	AYbdIKr5IZYa0Rfl_csW	9518575ef4c31a423cbe2b9ecc02b361	OPEN
BLOCKER	2023-03-13T22:38:41+0000		11.0		secrets:S6334	React-Nanodegree---Live-Coding-React	30min		Make sure this Google API Key is not disclosed.	2023-03-13T22:38:41+0000	VULNERABILITY	false	"cwe / owasp-a3 / sans-top25-porous / "	React-Nanodegree---Live-Coding-React:live-codings-react-nanodegree-master/extras/1-react-loves-maps-solution/src/App.js		MAIN	{startLine=11.0, endLine=11.0, startOffset=68.0, endOffset=107.0}	30min	AYbdIKr5IZYa0Rfl_csX	ea642495a5620a132a94d3a5c72f009b	OPEN
MINOR	2023-03-13T22:38:41+0000		2.0		javascript:S1128	React-Nanodegree---Live-Coding-React	2min		Remove this unused import of 'withProps'.	2023-03-13T22:38:41+0000	CODE_SMELL	true	"es2015 / unused / "	React-Nanodegree---Live-Coding-React:live-codings-react-nanodegree-master/extras/1-react-loves-maps-solution/src/Map.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=18.0, endOffset=27.0}	2min	AYbdIKsIIZYa0Rfl_csb	20fd0f702443f92a363f040fe066d860	OPEN
MAJOR	2023-03-13T22:38:41+0000		62.0		javascript:S125	React-Nanodegree---Live-Coding-React	5min		Remove this commented out code.	2023-03-13T22:38:41+0000	CODE_SMELL	true	"unused / "	React-Nanodegree---Live-Coding-React:live-codings-react-nanodegree-master/extras/1-react-loves-maps-solution/src/Map.js		MAIN	{startLine=62.0, endLine=62.0, startOffset=10.0, endOffset=40.0}	5min	AYbdIKsIIZYa0Rfl_csc	86a0ac700317162244824e702b9a8d83	OPEN
MAJOR	2023-03-13T22:38:41+0000		101.0		javascript:S6479	React-Nanodegree---Live-Coding-React	5min		Do not use Array index in keys	2023-03-13T22:38:41+0000	CODE_SMELL	false	"jsx / performance / react / "	React-Nanodegree---Live-Coding-React:live-codings-react-nanodegree-master/extras/1-react-loves-maps-solution/src/Map.js		MAIN	{startLine=101.0, endLine=101.0, startOffset=19.0, endOffset=24.0}	5min	AYbdIKsIIZYa0Rfl_csd	a5bd272f71f6d2d0d52650da863caf49	OPEN
MAJOR	2023-03-13T22:38:41+0000		106.0		javascript:S905	React-Nanodegree---Live-Coding-React	10min		Expected an assignment or function call and instead saw an expression.	2023-03-13T22:38:41+0000	BUG	false	"cwe / unused / "	React-Nanodegree---Live-Coding-React:live-codings-react-nanodegree-master/extras/1-react-loves-maps-solution/src/Map.js		MAIN	{startLine=106.0, endLine=106.0, startOffset=0.0, endOffset=21.0}	10min	AYbdIKsIIZYa0Rfl_cse	c5bfb3ce7b26f599385f7979ca9d21f5	OPEN
MINOR	2023-03-13T22:38:41+0000		17.0		javascript:S6353	React-Nanodegree---Live-Coding-React	5min		Use concise character class syntax '\d' instead of '[0-9]'.	2023-03-13T22:38:41+0000	CODE_SMELL	false	"regex / "	React-Nanodegree---Live-Coding-React:live-codings-react-nanodegree-master/extras/1-react-loves-maps-solution/src/registerServiceWorker.js		MAIN	{startLine=17.0, endLine=17.0, startOffset=33.0, endOffset=38.0}	5min	AYbdIKsBIZYa0Rfl_csY	e71c01dcd7e739cf96b92b5ade6bcb2a	OPEN
MINOR	2023-03-13T22:38:41+0000		17.0		javascript:S6353	React-Nanodegree---Live-Coding-React	5min		Use concise character class syntax '\d' instead of '[0-9]'.	2023-03-13T22:38:41+0000	CODE_SMELL	false	"regex / "	React-Nanodegree---Live-Coding-React:live-codings-react-nanodegree-master/extras/1-react-loves-maps-solution/src/registerServiceWorker.js		MAIN	{startLine=17.0, endLine=17.0, startOffset=44.0, endOffset=49.0}	5min	AYbdIKsBIZYa0Rfl_csZ	e71c01dcd7e739cf96b92b5ade6bcb2a	OPEN
MINOR	2023-03-13T22:38:41+0000		17.0		javascript:S6353	React-Nanodegree---Live-Coding-React	5min		Use concise character class syntax '\d' instead of '[0-9]'.	2023-03-13T22:38:41+0000	CODE_SMELL	false	"regex / "	React-Nanodegree---Live-Coding-React:live-codings-react-nanodegree-master/extras/1-react-loves-maps-solution/src/registerServiceWorker.js		MAIN	{startLine=17.0, endLine=17.0, startOffset=49.0, endOffset=54.0}	5min	AYbdIKsBIZYa0Rfl_csa	e71c01dcd7e739cf96b92b5ade6bcb2a	OPEN
MINOR	2023-03-13T22:38:41+0000		2.0		javascript:S1128	React-Nanodegree---Live-Coding-React	2min		Remove this unused import of 'logo'.	2023-03-13T22:38:41+0000	CODE_SMELL	true	"es2015 / unused / "	React-Nanodegree---Live-Coding-React:live-codings-react-nanodegree-master/extras/1-react-loves-maps-starter/src/App.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=7.0, endOffset=11.0}	2min	AYbdIKrzIZYa0Rfl_csU	9518575ef4c31a423cbe2b9ecc02b361	OPEN
