severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-06T00:44:26+0000		34.0		python:S5603	Security-Engineer-Nanodegree-Program---Application-Security	5min		Remove this unused function declaration.	2023-03-06T00:44:26+0000	CODE_SMELL	false	"unused / "	Security-Engineer-Nanodegree-Program---Application-Security:nd698-c4-application-security-demo-files-main/L2-Common-Web-Application-Vulnerabilities/VulnWebsite-lab/Site/__init__.py		MAIN	{startLine=34.0, endLine=34.0, startOffset=8.0, endOffset=29.0}	5min	AYa0YSeF1m6JgciZ2U1N	bd8868e1c73fee7330b29eb9e3d96f5d	OPEN
CRITICAL	2023-03-06T00:44:26+0000		37.0		python:S5754	Security-Engineer-Nanodegree-Program---Application-Security	5min		Specify an exception class to catch or reraise the exception	2023-03-06T00:44:26+0000	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	Security-Engineer-Nanodegree-Program---Application-Security:nd698-c4-application-security-demo-files-main/L2-Common-Web-Application-Vulnerabilities/VulnWebsite-lab/Site/brokenaccess/views.py		MAIN	{startLine=37.0, endLine=37.0, startOffset=4.0, endOffset=10.0}	5min	AYa0YSeR1m6JgciZ2U1q	3e264f5fbab10735799511f21ca70842	OPEN
MINOR	2023-03-06T00:44:26+0000		6.0		python:S101	Security-Engineer-Nanodegree-Program---Application-Security	5min		"Rename class ""Conn_postgres"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$."	2023-03-06T00:44:26+0000	CODE_SMELL	false	"convention / "	Security-Engineer-Nanodegree-Program---Application-Security:nd698-c4-application-security-demo-files-main/L2-Common-Web-Application-Vulnerabilities/VulnWebsite-lab/Site/db/__init__.py		MAIN	{startLine=6.0, endLine=6.0, startOffset=6.0, endOffset=19.0}	5min	AYa0YSeZ1m6JgciZ2U1x	46da51e5fff5c3db51aefd0307c5ef04	OPEN
CRITICAL	2023-03-06T00:44:26+0000		33.0		python:S5754	Security-Engineer-Nanodegree-Program---Application-Security	5min		Specify an exception class to catch or reraise the exception	2023-03-06T00:44:26+0000	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	Security-Engineer-Nanodegree-Program---Application-Security:nd698-c4-application-security-demo-files-main/L2-Common-Web-Application-Vulnerabilities/VulnWebsite-lab/Site/db/__init__.py		MAIN	{startLine=33.0, endLine=33.0, startOffset=8.0, endOffset=14.0}	5min	AYa0YSeZ1m6JgciZ2U1y	3e264f5fbab10735799511f21ca70842	OPEN
MINOR	2023-03-06T00:44:26+0000		36.0		python:S100	Security-Engineer-Nanodegree-Program---Application-Security	5min		"Rename method ""createTable"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T00:44:26+0000	CODE_SMELL	false	"convention / "	Security-Engineer-Nanodegree-Program---Application-Security:nd698-c4-application-security-demo-files-main/L2-Common-Web-Application-Vulnerabilities/VulnWebsite-lab/Site/db/__init__.py		MAIN	{startLine=36.0, endLine=36.0, startOffset=8.0, endOffset=19.0}	5min	AYa0YSeZ1m6JgciZ2U1z	0cbd03b43a1af22e7acf13fb36e4437a	OPEN
MINOR	2023-03-06T00:44:26+0000		41.0		python:S100	Security-Engineer-Nanodegree-Program---Application-Security	5min		"Rename method ""randPassword"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T00:44:26+0000	CODE_SMELL	false	"convention / "	Security-Engineer-Nanodegree-Program---Application-Security:nd698-c4-application-security-demo-files-main/L2-Common-Web-Application-Vulnerabilities/VulnWebsite-lab/Site/db/__init__.py		MAIN	{startLine=41.0, endLine=41.0, startOffset=8.0, endOffset=20.0}	5min	AYa0YSeZ1m6JgciZ2U10	bae00fc2662313c49b14eda435a5e94c	OPEN
MINOR	2023-03-06T00:44:26+0000		43.0		python:S1481	Security-Engineer-Nanodegree-Program---Application-Security	5min		"Remove the unused local variable ""i""."	2023-03-06T00:44:26+0000	CODE_SMELL	false	"unused / "	Security-Engineer-Nanodegree-Program---Application-Security:nd698-c4-application-security-demo-files-main/L2-Common-Web-Application-Vulnerabilities/VulnWebsite-lab/Site/db/__init__.py		MAIN	{startLine=43.0, endLine=43.0, startOffset=56.0, endOffset=57.0}	5min	AYa0YSeZ1m6JgciZ2U11	e60f59d5ab75df3f87e892e3207c79b5	OPEN
CRITICAL	2023-03-06T00:44:26+0000		21.0		python:S1192	Security-Engineer-Nanodegree-Program---Application-Security	14min		"Define a constant instead of duplicating this literal ""Insecured Deserialization"" 7 times."	2023-03-06T00:44:26+0000	CODE_SMELL	false	"design / "	Security-Engineer-Nanodegree-Program---Application-Security:nd698-c4-application-security-demo-files-main/L2-Common-Web-Application-Vulnerabilities/VulnWebsite-lab/Site/insecured/views.py	"{locations=[{component=Security-Engineer-Nanodegree-Program---Application-Security:nd698-c4-application-security-demo-files-main/L2-Common-Web-Application-Vulnerabilities/VulnWebsite-lab/Site/insecured/views.py, textRange={startLine=38.0, endLine=38.0, startOffset=90.0, endOffset=117.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Security-Engineer-Nanodegree-Program---Application-Security:nd698-c4-application-security-demo-files-main/L2-Common-Web-Application-Vulnerabilities/VulnWebsite-lab/Site/insecured/views.py, textRange={startLine=40.0, endLine=40.0, startOffset=90.0, endOffset=117.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Security-Engineer-Nanodegree-Program---Application-Security:nd698-c4-application-security-demo-files-main/L2-Common-Web-Application-Vulnerabilities/VulnWebsite-lab/Site/insecured/views.py, textRange={startLine=57.0, endLine=57.0, startOffset=90.0, endOffset=117.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Security-Engineer-Nanodegree-Program---Application-Security:nd698-c4-application-security-demo-files-main/L2-Common-Web-Application-Vulnerabilities/VulnWebsite-lab/Site/insecured/views.py, textRange={startLine=59.0, endLine=59.0, startOffset=90.0, endOffset=117.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Security-Engineer-Nanodegree-Program---Application-Security:nd698-c4-application-security-demo-files-main/L2-Common-Web-Application-Vulnerabilities/VulnWebsite-lab/Site/insecured/views.py, textRange={startLine=76.0, endLine=76.0, startOffset=90.0, endOffset=117.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Security-Engineer-Nanodegree-Program---Application-Security:nd698-c4-application-security-demo-files-main/L2-Common-Web-Application-Vulnerabilities/VulnWebsite-lab/Site/insecured/views.py, textRange={startLine=78.0, endLine=78.0, startOffset=90.0, endOffset=117.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=21.0, endLine=21.0, startOffset=85.0, endOffset=112.0}	14min	AYa0YSd81m6JgciZ2U09	fc151897537199cf5a54b0b7ecb8fac5	OPEN
MINOR	2023-03-06T00:44:26+0000		31.0		python:S1481	Security-Engineer-Nanodegree-Program---Application-Security	5min		"Remove the unused local variable ""username""."	2023-03-06T00:44:26+0000	CODE_SMELL	false	"unused / "	Security-Engineer-Nanodegree-Program---Application-Security:nd698-c4-application-security-demo-files-main/L2-Common-Web-Application-Vulnerabilities/VulnWebsite-lab/Site/insecured/views.py		MAIN	{startLine=31.0, endLine=31.0, startOffset=8.0, endOffset=16.0}	5min	AYa0YSd81m6JgciZ2U1A	b3fc46f6322cf270eeadab3b02abe7fb	OPEN
CRITICAL	2023-03-06T00:44:26+0000		33.0		python:S5754	Security-Engineer-Nanodegree-Program---Application-Security	5min		Specify an exception class to catch or reraise the exception	2023-03-06T00:44:26+0000	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	Security-Engineer-Nanodegree-Program---Application-Security:nd698-c4-application-security-demo-files-main/L2-Common-Web-Application-Vulnerabilities/VulnWebsite-lab/Site/insecured/views.py		MAIN	{startLine=33.0, endLine=33.0, startOffset=4.0, endOffset=10.0}	5min	AYa0YSd81m6JgciZ2U1C	3e264f5fbab10735799511f21ca70842	OPEN
