severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T00:53:35+0000		3.0		javascript:S3504	TODO-App	5min		Unexpected var, use let or const instead.	2023-03-06T00:53:35+0000	CODE_SMELL	false	"bad-practice / es2015 / "	TODO-App:ud989-todo-app-master/js/app.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=7.0}	5min	AYa0aQOH1m6JgciZ2c_Y	899d1b557bbd81e5519bb830b8458a2b	OPEN
CRITICAL	2023-03-06T00:53:35+0000		4.0		javascript:S3504	TODO-App	5min		Unexpected var, use let or const instead.	2023-03-06T00:53:35+0000	CODE_SMELL	true	"bad-practice / es2015 / "	TODO-App:ud989-todo-app-master/js/app.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=13.0}	5min	AYa0aQOH1m6JgciZ2c_Z	ea6a62cd27cef8f875e35998045a6c63	OPEN
CRITICAL	2023-03-06T00:53:35+0000		5.0		javascript:S3504	TODO-App	5min		Unexpected var, use let or const instead.	2023-03-06T00:53:35+0000	CODE_SMELL	true	"bad-practice / es2015 / "	TODO-App:ud989-todo-app-master/js/app.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=0.0, endOffset=11.0}	5min	AYa0aQOH1m6JgciZ2c_a	193d20e15e41971528c4814e63202883	OPEN
MAJOR	2023-03-06T00:53:35+0000		11.0		javascript:S1848	TODO-App	5min		"Either remove this useless object instantiation of ""app.AppView"" or use it."	2023-03-06T00:53:35+0000	BUG	false		TODO-App:ud989-todo-app-master/js/app.js		MAIN	{startLine=11.0, endLine=11.0, startOffset=1.0, endOffset=16.0}	5min	AYa0aQOH1m6JgciZ2c_b	2d03bcba77234bc435e9131dc0ca55c0	OPEN
CRITICAL	2023-03-06T00:53:35+0000		2.0		javascript:S3504	TODO-App	5min		Unexpected var, use let or const instead.	2023-03-06T00:53:35+0000	CODE_SMELL	false	"bad-practice / es2015 / "	TODO-App:ud989-todo-app-master/js/collections/todos.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=7.0}	5min	AYa0aQOB1m6JgciZ2c_B	899d1b557bbd81e5519bb830b8458a2b	OPEN
INFO	2023-03-06T00:53:35+0000		7.0		javascript:S1135	TODO-App	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:53:35+0000	CODE_SMELL	false	"cwe / "	TODO-App:ud989-todo-app-master/js/collections/todos.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=4.0, endOffset=8.0}	0min	AYa0aQOB1m6JgciZ2c_C	e0bfda796c40e5ebf5941575805c5563	OPEN
CRITICAL	2023-03-06T00:53:35+0000		12.0		javascript:S3504	TODO-App	5min		Unexpected var, use let or const instead.	2023-03-06T00:53:35+0000	CODE_SMELL	true	"bad-practice / es2015 / "	TODO-App:ud989-todo-app-master/js/collections/todos.js		MAIN	{startLine=12.0, endLine=12.0, startOffset=1.0, endOffset=10.0}	5min	AYa0aQOB1m6JgciZ2c_D	94ed274be81de070d1ebac8b25213f33	OPEN
INFO	2023-03-06T00:53:35+0000		16.0		javascript:S1135	TODO-App	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:53:35+0000	CODE_SMELL	false	"cwe / "	TODO-App:ud989-todo-app-master/js/collections/todos.js		MAIN	{startLine=16.0, endLine=16.0, startOffset=21.0, endOffset=25.0}	0min	AYa0aQOB1m6JgciZ2c_E	c84a46a083b017a72a7fafa13063f237	OPEN
INFO	2023-03-06T00:53:35+0000		19.0		javascript:S1135	TODO-App	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:53:35+0000	CODE_SMELL	false	"cwe / "	TODO-App:ud989-todo-app-master/js/collections/todos.js		MAIN	{startLine=19.0, endLine=19.0, startOffset=33.0, endOffset=37.0}	0min	AYa0aQOB1m6JgciZ2c_F	64f988b822e473c24e33a970be579749	OPEN
INFO	2023-03-06T00:53:35+0000		24.0		javascript:S1135	TODO-App	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:53:35+0000	CODE_SMELL	false	"cwe / "	TODO-App:ud989-todo-app-master/js/collections/todos.js		MAIN	{startLine=24.0, endLine=24.0, startOffset=34.0, endOffset=38.0}	0min	AYa0aQOB1m6JgciZ2c_G	b12ab7f0e0e66decf599815632b66d3e	OPEN
CRITICAL	2023-03-06T00:53:35+0000		2.0		javascript:S3504	TODO-App	5min		Unexpected var, use let or const instead.	2023-03-06T00:53:35+0000	CODE_SMELL	false	"bad-practice / es2015 / "	TODO-App:ud989-todo-app-master/js/models/todo.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=7.0}	5min	AYa0aQOJ1m6JgciZ2c_c	899d1b557bbd81e5519bb830b8458a2b	OPEN
INFO	2023-03-06T00:53:35+0000		7.0		javascript:S1135	TODO-App	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:53:35+0000	CODE_SMELL	false	"cwe / "	TODO-App:ud989-todo-app-master/js/models/todo.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=4.0, endOffset=8.0}	0min	AYa0aQOJ1m6JgciZ2c_d	0583fc448ee7b33fb68d535aa4de1552	OPEN
INFO	2023-03-06T00:53:35+0000		10.0		javascript:S1135	TODO-App	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:53:35+0000	CODE_SMELL	false	"cwe / "	TODO-App:ud989-todo-app-master/js/models/todo.js		MAIN	{startLine=10.0, endLine=10.0, startOffset=16.0, endOffset=20.0}	0min	AYa0aQOJ1m6JgciZ2c_e	2139849d439889004f94b81bb7800e1d	OPEN
INFO	2023-03-06T00:53:35+0000		12.0		javascript:S1135	TODO-App	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:53:35+0000	CODE_SMELL	false	"cwe / "	TODO-App:ud989-todo-app-master/js/models/todo.js		MAIN	{startLine=12.0, endLine=12.0, startOffset=32.0, endOffset=36.0}	0min	AYa0aQOJ1m6JgciZ2c_f	79854dd32db77d5794376212e3598568	OPEN
INFO	2023-03-06T00:53:35+0000		13.0		javascript:S1135	TODO-App	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:53:35+0000	CODE_SMELL	false	"cwe / "	TODO-App:ud989-todo-app-master/js/models/todo.js		MAIN	{startLine=13.0, endLine=13.0, startOffset=26.0, endOffset=30.0}	0min	AYa0aQOJ1m6JgciZ2c_g	e2afe0a76abfb928653a6b9b8b7517b4	OPEN
INFO	2023-03-06T00:53:35+0000		19.0		javascript:S1135	TODO-App	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:53:35+0000	CODE_SMELL	false	"cwe / "	TODO-App:ud989-todo-app-master/js/models/todo.js		MAIN	{startLine=19.0, endLine=19.0, startOffset=42.0, endOffset=46.0}	0min	AYa0aQOJ1m6JgciZ2c_h	182acf9fd68afb0290392b175d7901d6	OPEN
CRITICAL	2023-03-06T00:53:35+0000		2.0		javascript:S3504	TODO-App	5min		Unexpected var, use let or const instead.	2023-03-06T00:53:35+0000	CODE_SMELL	false	"bad-practice / es2015 / "	TODO-App:ud989-todo-app-master/js/routers/router.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=7.0}	5min	AYa0aQOK1m6JgciZ2c_i	899d1b557bbd81e5519bb830b8458a2b	OPEN
INFO	2023-03-06T00:53:35+0000		7.0		javascript:S1135	TODO-App	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:53:35+0000	CODE_SMELL	false	"cwe / "	TODO-App:ud989-todo-app-master/js/routers/router.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=4.0, endOffset=8.0}	0min	AYa0aQOK1m6JgciZ2c_j	1865ce5011e2b976cf9228696418ed6c	OPEN
CRITICAL	2023-03-06T00:53:35+0000		9.0		javascript:S3504	TODO-App	5min		Unexpected var, use let or const instead.	2023-03-06T00:53:35+0000	CODE_SMELL	true	"bad-practice / es2015 / "	TODO-App:ud989-todo-app-master/js/routers/router.js		MAIN	{startLine=9.0, endLine=9.0, startOffset=1.0, endOffset=15.0}	5min	AYa0aQOK1m6JgciZ2c_k	3e58c5d4d472b56b18cecbd440307ffc	OPEN
INFO	2023-03-06T00:53:35+0000		19.0		javascript:S1135	TODO-App	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:53:35+0000	CODE_SMELL	false	"cwe / "	TODO-App:ud989-todo-app-master/js/routers/router.js		MAIN	{startLine=19.0, endLine=19.0, startOffset=9.0, endOffset=13.0}	0min	AYa0aQOK1m6JgciZ2c_l	b6a7d1a648143bbd66aabc8855ca78c9	OPEN
CRITICAL	2023-03-06T00:53:35+0000		2.0		javascript:S3504	TODO-App	5min		Unexpected var, use let or const instead.	2023-03-06T00:53:35+0000	CODE_SMELL	false	"bad-practice / es2015 / "	TODO-App:ud989-todo-app-master/js/views/app-view.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=7.0}	5min	AYa0aQOD1m6JgciZ2c_H	899d1b557bbd81e5519bb830b8458a2b	OPEN
CRITICAL	2023-03-06T00:53:35+0000		52.0		javascript:S3504	TODO-App	5min		Unexpected var, use let or const instead.	2023-03-06T00:53:35+0000	CODE_SMELL	true	"bad-practice / es2015 / "	TODO-App:ud989-todo-app-master/js/views/app-view.js		MAIN	{startLine=52.0, endLine=52.0, startOffset=3.0, endOffset=16.0}	5min	AYa0aQOD1m6JgciZ2c_I	70c4954ab530487ca875524e1151bf2b	OPEN
CRITICAL	2023-03-06T00:53:35+0000		53.0		javascript:S3504	TODO-App	5min		Unexpected var, use let or const instead.	2023-03-06T00:53:35+0000	CODE_SMELL	true	"bad-practice / es2015 / "	TODO-App:ud989-todo-app-master/js/views/app-view.js		MAIN	{startLine=53.0, endLine=53.0, startOffset=3.0, endOffset=16.0}	5min	AYa0aQOD1m6JgciZ2c_J	8aa6f4494700b0228e16e782e802f295	OPEN
INFO	2023-03-06T00:53:35+0000		76.0		javascript:S1135	TODO-App	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:53:35+0000	CODE_SMELL	false	"cwe / "	TODO-App:ud989-todo-app-master/js/views/app-view.js		MAIN	{startLine=76.0, endLine=76.0, startOffset=18.0, endOffset=22.0}	0min	AYa0aQOD1m6JgciZ2c_K	0ae269b80a53c5e76df1b768bf88003f	OPEN
CRITICAL	2023-03-06T00:53:35+0000		79.0		javascript:S3504	TODO-App	5min		Unexpected var, use let or const instead.	2023-03-06T00:53:35+0000	CODE_SMELL	true	"bad-practice / es2015 / "	TODO-App:ud989-todo-app-master/js/views/app-view.js		MAIN	{startLine=79.0, endLine=79.0, startOffset=3.0, endOffset=11.0}	5min	AYa0aQOD1m6JgciZ2c_L	a2a25b731caa7e6c2f7c36537c1a534a	OPEN
INFO	2023-03-06T00:53:35+0000		97.0		javascript:S1135	TODO-App	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:53:35+0000	CODE_SMELL	false	"cwe / "	TODO-App:ud989-todo-app-master/js/views/app-view.js		MAIN	{startLine=97.0, endLine=97.0, startOffset=39.0, endOffset=43.0}	0min	AYa0aQOD1m6JgciZ2c_M	406fe758b7f01a9f78c94c0bd3ae9765	OPEN
INFO	2023-03-06T00:53:35+0000		106.0		javascript:S1135	TODO-App	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:53:35+0000	CODE_SMELL	false	"cwe / "	TODO-App:ud989-todo-app-master/js/views/app-view.js		MAIN	{startLine=106.0, endLine=106.0, startOffset=61.0, endOffset=65.0}	0min	AYa0aQOD1m6JgciZ2c_N	16ddf33bdaba1c1747ff0ff2cc228c8c	OPEN
INFO	2023-03-06T00:53:35+0000		115.0		javascript:S1135	TODO-App	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:53:35+0000	CODE_SMELL	false	"cwe / "	TODO-App:ud989-todo-app-master/js/views/app-view.js		MAIN	{startLine=115.0, endLine=115.0, startOffset=25.0, endOffset=29.0}	0min	AYa0aQOD1m6JgciZ2c_O	fe75699869cf76a5e65d2bc203c1b732	OPEN
CRITICAL	2023-03-06T00:53:35+0000		122.0		javascript:S3504	TODO-App	5min		Unexpected var, use let or const instead.	2023-03-06T00:53:35+0000	CODE_SMELL	true	"bad-practice / es2015 / "	TODO-App:ud989-todo-app-master/js/views/app-view.js		MAIN	{startLine=122.0, endLine=122.0, startOffset=3.0, endOffset=16.0}	5min	AYa0aQOD1m6JgciZ2c_P	787b7e0b5e7745c7f32757cdce99737c	OPEN
CRITICAL	2023-03-06T00:53:35+0000		2.0		javascript:S3504	TODO-App	5min		Unexpected var, use let or const instead.	2023-03-06T00:53:35+0000	CODE_SMELL	false	"bad-practice / es2015 / "	TODO-App:ud989-todo-app-master/js/views/todo-view.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=7.0}	5min	AYa0aQOF1m6JgciZ2c_Q	899d1b557bbd81e5519bb830b8458a2b	OPEN
INFO	2023-03-06T00:53:35+0000		7.0		javascript:S1135	TODO-App	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T00:53:35+0000	CODE_SMELL	false	"cwe / "	TODO-App:ud989-todo-app-master/js/views/todo-view.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=4.0, endOffset=8.0}	0min	AYa0aQOF1m6JgciZ2c_R	06fcf34b617aabbb18d344d8f11b99b9	OPEN
