severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T01:26:31+0000		17.0		javascript:S3776	Udacity-60fps-Course	43min		Refactor this function to reduce its Cognitive Complexity from 53 to the 15 allowed.	2023-03-06T01:26:31+0000	CODE_SMELL	false	"brain-overload / "	Udacity-60fps-Course:news-aggregator-master/scripts/app.js	"{locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=40.0, endLine=40.0, startOffset=2.0, endOffset=4.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=42.0, endLine=42.0, startOffset=4.0, endOffset=8.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=70.0, endLine=70.0, startOffset=4.0, endOffset=7.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=72.0, endLine=72.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=88.0, endLine=88.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=104.0, endLine=104.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=106.0, endLine=106.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=137.0, endLine=137.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=140.0, endLine=140.0, startOffset=6.0, endOffset=9.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=166.0, endLine=166.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=174.0, endLine=174.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=186.0, endLine=186.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=193.0, endLine=193.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=195.0, endLine=195.0, startOffset=6.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=212.0, endLine=212.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=232.0, endLine=232.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=234.0, endLine=234.0, startOffset=8.0, endOffset=12.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=261.0, endLine=261.0, startOffset=4.0, endOffset=7.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=292.0, endLine=292.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=312.0, endLine=312.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=314.0, endLine=314.0, startOffset=4.0, endOffset=8.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=320.0, endLine=320.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=326.0, endLine=326.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=332.0, endLine=332.0, startOffset=4.0, endOffset=7.0}, msg=+2 (incl. 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Udacity-60fps-Course:news-aggregator-master/scripts/app.js, textRange={startLine=334.0, endLine=334.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl. 2 for nesting), msgFormattings=[]}]} / "	MAIN	{startLine=17.0, endLine=17.0, startOffset=12.0, endOffset=20.0}	43min	AYa0hzUO1m6JgciZ2_HU	53874f168f32e70b15252a64e1988303	OPEN
CRITICAL	2023-03-06T01:26:31+0000		19.0		javascript:S3504	Udacity-60fps-Course	5min		Unexpected var, use let or const instead.	2023-03-06T01:26:31+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-60fps-Course:news-aggregator-master/scripts/app.js		MAIN	{startLine=19.0, endLine=19.0, startOffset=2.0, endOffset=25.0}	5min	AYa0hzUO1m6JgciZ2_HV	66de5bdba4c266b3e192cfe24ea96a2a	OPEN
CRITICAL	2023-03-06T01:26:31+0000		20.0		javascript:S3504	Udacity-60fps-Course	5min		Unexpected var, use let or const instead.	2023-03-06T01:26:31+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-60fps-Course:news-aggregator-master/scripts/app.js		MAIN	{startLine=20.0, endLine=20.0, startOffset=2.0, endOffset=7.0}	5min	AYa0hzUO1m6JgciZ2_HW	04708848ec4db2b050b099b842d8472b	OPEN
CRITICAL	2023-03-06T01:26:31+0000		22.0		javascript:S3504	Udacity-60fps-Course	5min		Unexpected var, use let or const instead.	2023-03-06T01:26:31+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-60fps-Course:news-aggregator-master/scripts/app.js		MAIN	{startLine=22.0, endLine=22.0, startOffset=2.0, endOffset=13.0}	5min	AYa0hzUO1m6JgciZ2_HX	25b3762c28f8a8ef1eb2c248fe16fa29	OPEN
CRITICAL	2023-03-06T01:26:31+0000		23.0		javascript:S3504	Udacity-60fps-Course	5min		Unexpected var, use let or const instead.	2023-03-06T01:26:31+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-60fps-Course:news-aggregator-master/scripts/app.js		MAIN	{startLine=23.0, endLine=23.0, startOffset=2.0, endOffset=16.0}	5min	AYa0hzUO1m6JgciZ2_HY	53d75b96c92f8bded6ece9954057ac9a	OPEN
CRITICAL	2023-03-06T01:26:31+0000		24.0		javascript:S3504	Udacity-60fps-Course	5min		Unexpected var, use let or const instead.	2023-03-06T01:26:31+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-60fps-Course:news-aggregator-master/scripts/app.js		MAIN	{startLine=24.0, endLine=24.0, startOffset=2.0, endOffset=11.0}	5min	AYa0hzUO1m6JgciZ2_HZ	cd376fddd8b0653dcbc25b21a00ecadc	OPEN
CRITICAL	2023-03-06T01:26:31+0000		25.0		javascript:S3504	Udacity-60fps-Course	5min		Unexpected var, use let or const instead.	2023-03-06T01:26:31+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-60fps-Course:news-aggregator-master/scripts/app.js		MAIN	{startLine=25.0, endLine=25.0, startOffset=2.0, endOffset=10.0}	5min	AYa0hzUO1m6JgciZ2_Ha	4777431c4e20770c2678766506b22ed1	OPEN
CRITICAL	2023-03-06T01:26:31+0000		26.0		javascript:S3504	Udacity-60fps-Course	5min		Unexpected var, use let or const instead.	2023-03-06T01:26:31+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-60fps-Course:news-aggregator-master/scripts/app.js		MAIN	{startLine=26.0, endLine=26.0, startOffset=2.0, endOffset=15.0}	5min	AYa0hzUO1m6JgciZ2_Hb	31cc32e9297a72dadbc77f107d91b58a	OPEN
CRITICAL	2023-03-06T01:26:31+0000		27.0		javascript:S3504	Udacity-60fps-Course	5min		Unexpected var, use let or const instead.	2023-03-06T01:26:31+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-60fps-Course:news-aggregator-master/scripts/app.js		MAIN	{startLine=27.0, endLine=27.0, startOffset=2.0, endOffset=20.0}	5min	AYa0hzUO1m6JgciZ2_Hc	731618d400d470fdb039563697782cea	OPEN
CRITICAL	2023-03-06T01:26:31+0000		28.0		javascript:S3504	Udacity-60fps-Course	5min		Unexpected var, use let or const instead.	2023-03-06T01:26:31+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-60fps-Course:news-aggregator-master/scripts/app.js		MAIN	{startLine=28.0, endLine=28.0, startOffset=2.0, endOffset=16.0}	5min	AYa0hzUO1m6JgciZ2_Hd	5a99c66ce864b181b3bb851415cc16a3	OPEN
