severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T01:22:45+0000		18.0		javascript:S3504	Udacity-Web-Accessibility	5min		Unexpected var, use let or const instead.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/app.js		MAIN	{startLine=18.0, endLine=18.0, startOffset=4.0, endOffset=15.0}	5min	AYa0g8261m6JgciZ28DH	eecd7407413e293b4371b2d7f57da8e0	OPEN
CRITICAL	2023-03-06T01:22:45+0000		1.0		javascript:S3504	Udacity-Web-Accessibility	5min		Unexpected var, use let or const instead.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/number.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=9.0}	5min	AYa0g8241m6JgciZ28Cl	b6e22fd8bd856c98bb532d92242f79bd	OPEN
CRITICAL	2023-03-06T01:22:45+0000		2.0		javascript:S3504	Udacity-Web-Accessibility	5min		Unexpected var, use let or const instead.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/number.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=11.0}	5min	AYa0g8241m6JgciZ28Cm	faf8f13dea214e31eb942454db30fd77	OPEN
MAJOR	2023-03-06T01:22:45+0000		6.0		javascript:S125	Udacity-Web-Accessibility	5min		Remove this commented out code.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"unused / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/number.js		MAIN	{startLine=6.0, endLine=7.0, startOffset=2.0, endOffset=50.0}	5min	AYa0g8241m6JgciZ28Cn	28bf935c751737cde85dff0912c20e8a	OPEN
MAJOR	2023-03-06T01:22:45+0000		6.0		javascript:S1134	Udacity-Web-Accessibility	0min		Take the required action to fix the issue indicated by this comment.	2023-03-06T01:22:45+0000	CODE_SMELL	false	"cwe / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/number.js		MAIN	{startLine=6.0, endLine=6.0, startOffset=5.0, endOffset=10.0}	0min	AYa0g8241m6JgciZ28Co	28bf935c751737cde85dff0912c20e8a	OPEN
CRITICAL	2023-03-06T01:22:45+0000		26.0		javascript:S3504	Udacity-Web-Accessibility	5min		Unexpected var, use let or const instead.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/number.js		MAIN	{startLine=26.0, endLine=26.0, startOffset=4.0, endOffset=16.0}	5min	AYa0g8241m6JgciZ28Cp	02008d33d952e5d28464f15375f496d9	OPEN
CRITICAL	2023-03-06T01:22:45+0000		27.0		javascript:S3504	Udacity-Web-Accessibility	5min		Unexpected var, use let or const instead.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/number.js		MAIN	{startLine=27.0, endLine=27.0, startOffset=4.0, endOffset=16.0}	5min	AYa0g8241m6JgciZ28Cq	fee2ef667ce52431169671ec10f12459	OPEN
CRITICAL	2023-03-06T01:22:45+0000		62.0		javascript:S3504	Udacity-Web-Accessibility	5min		Unexpected var, use let or const instead.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/number.js		MAIN	{startLine=62.0, endLine=62.0, startOffset=0.0, endOffset=15.0}	5min	AYa0g8241m6JgciZ28Cr	a86f434fe98178b72475e0a9f3222dc2	OPEN
MINOR	2023-03-06T01:22:45+0000		63.0		javascript:S4138	Udacity-Web-Accessibility	5min		Expected a `for-of` loop instead of a `for` loop with this simple iteration.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"clumsy / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/number.js		MAIN	{startLine=63.0, endLine=65.0, startOffset=0.0, endOffset=1.0}	5min	AYa0g8241m6JgciZ28Cs	0c70f2580f6bc484e72b8ecc4f780c39	OPEN
CRITICAL	2023-03-06T01:22:45+0000		63.0		javascript:S3504	Udacity-Web-Accessibility	5min		Unexpected var, use let or const instead.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/number.js		MAIN	{startLine=63.0, endLine=63.0, startOffset=5.0, endOffset=10.0}	5min	AYa0g8241m6JgciZ28Ct	0c70f2580f6bc484e72b8ecc4f780c39	OPEN
MAJOR	2023-03-06T01:22:45+0000		64.0		javascript:S1848	Udacity-Web-Accessibility	5min		"Either remove this useless object instantiation of ""SpinButton"" or use it."	2023-03-06T01:22:45+0000	BUG	false		Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/number.js		MAIN	{startLine=64.0, endLine=64.0, startOffset=2.0, endOffset=16.0}	5min	AYa0g8241m6JgciZ28Cu	94e53bcfe170a4cb8f317221fd22cdc3	OPEN
CRITICAL	2023-03-06T01:22:45+0000		4.0		javascript:S3504	Udacity-Web-Accessibility	5min		Unexpected var, use let or const instead.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/shopping-bag.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=2.0, endOffset=16.0}	5min	AYa0g8281m6JgciZ28DI	62e8f7d69a9a568b8f8d9a3b59f63647	OPEN
CRITICAL	2023-03-06T01:22:45+0000		8.0		javascript:S3504	Udacity-Web-Accessibility	5min		Unexpected var, use let or const instead.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/shopping-bag.js		MAIN	{startLine=8.0, endLine=8.0, startOffset=0.0, endOffset=16.0}	5min	AYa0g8281m6JgciZ28DJ	8b2d230728324fb3b3ace39ff1211c3f	OPEN
MINOR	2023-03-06T01:22:45+0000		9.0		javascript:S4138	Udacity-Web-Accessibility	5min		Expected a `for-of` loop instead of a `for` loop with this simple iteration.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"clumsy / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/shopping-bag.js		MAIN	{startLine=9.0, endLine=13.0, startOffset=0.0, endOffset=1.0}	5min	AYa0g8281m6JgciZ28DK	792c5918287373f95adfad951994ff20	OPEN
CRITICAL	2023-03-06T01:22:45+0000		9.0		javascript:S3504	Udacity-Web-Accessibility	5min		Unexpected var, use let or const instead.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/shopping-bag.js		MAIN	{startLine=9.0, endLine=9.0, startOffset=5.0, endOffset=10.0}	5min	AYa0g8281m6JgciZ28DL	792c5918287373f95adfad951994ff20	OPEN
MAJOR	2023-03-06T01:22:45+0000		12.0		javascript:S1848	Udacity-Web-Accessibility	5min		"Either remove this useless object instantiation of ""ShoppingBag"" or use it."	2023-03-06T01:22:45+0000	BUG	false		Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/shopping-bag.js		MAIN	{startLine=12.0, endLine=12.0, startOffset=2.0, endOffset=17.0}	5min	AYa0g8281m6JgciZ28DM	222fe4e61516ef7697aaadb36d3e3d7b	OPEN
CRITICAL	2023-03-06T01:22:45+0000		1.0		javascript:S3504	Udacity-Web-Accessibility	5min		Unexpected var, use let or const instead.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/stars.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=11.0}	5min	AYa0g8251m6JgciZ28Cv	427fd5da3188b5de46b1cc8f2d75ed23	OPEN
CRITICAL	2023-03-06T01:22:45+0000		2.0		javascript:S3504	Udacity-Web-Accessibility	5min		Unexpected var, use let or const instead.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/stars.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=11.0}	5min	AYa0g8251m6JgciZ28Cw	23c0be5dd001f3187fdfc05f56b8f88e	OPEN
CRITICAL	2023-03-06T01:22:45+0000		3.0		javascript:S3504	Udacity-Web-Accessibility	5min		Unexpected var, use let or const instead.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/stars.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=10.0}	5min	AYa0g8251m6JgciZ28Cx	e90ba526d2a07886b2602220d9247f47	OPEN
CRITICAL	2023-03-06T01:22:45+0000		4.0		javascript:S3504	Udacity-Web-Accessibility	5min		Unexpected var, use let or const instead.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/stars.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=11.0}	5min	AYa0g8251m6JgciZ28Cy	1170d59ca85ffafaa93126746891af12	OPEN
CRITICAL	2023-03-06T01:22:45+0000		5.0		javascript:S3504	Udacity-Web-Accessibility	5min		Unexpected var, use let or const instead.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/stars.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=0.0, endOffset=11.0}	5min	AYa0g8251m6JgciZ28Cz	8a6bb9079c39b450b34d69c50412ec61	OPEN
CRITICAL	2023-03-06T01:22:45+0000		6.0		javascript:S3504	Udacity-Web-Accessibility	5min		Unexpected var, use let or const instead.	2023-03-06T01:22:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Udacity-Web-Accessibility:ud891-gh-pages/final-project/ecommerce-site/scripts/stars.js		MAIN	{startLine=6.0, endLine=6.0, startOffset=0.0, endOffset=9.0}	5min	AYa0g8251m6JgciZ28C0	b6e22fd8bd856c98bb532d92242f79bd	OPEN
