severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T01:17:16+0000		3.0		javascript:S3504	Web-Workers-Demo	5min		Unexpected var, use let or const instead.	2023-03-06T01:17:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Web-Workers-Demo:web-workers-demo-master/scripts/image-app.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=2.0, endOffset=14.0}	5min	AYa0fsHr1m6JgciZ22Lf	a427737e4e7f8c0fe1d2713e2f2372b2	OPEN
CRITICAL	2023-03-06T01:17:16+0000		4.0		javascript:S3504	Web-Workers-Demo	5min		Unexpected var, use let or const instead.	2023-03-06T01:17:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Web-Workers-Demo:web-workers-demo-master/scripts/image-app.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=2.0, endOffset=17.0}	5min	AYa0fsHr1m6JgciZ22Lg	c0bb08dfc189b4fd09a152199b9b6a34	OPEN
CRITICAL	2023-03-06T01:17:16+0000		6.0		javascript:S3504	Web-Workers-Demo	5min		Unexpected var, use let or const instead.	2023-03-06T01:17:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Web-Workers-Demo:web-workers-demo-master/scripts/image-app.js		MAIN	{startLine=6.0, endLine=6.0, startOffset=2.0, endOffset=12.0}	5min	AYa0fsHr1m6JgciZ22Lh	470a6ccd47568ea7954059d054d68d40	OPEN
CRITICAL	2023-03-06T01:17:16+0000		7.0		javascript:S3504	Web-Workers-Demo	5min		Unexpected var, use let or const instead.	2023-03-06T01:17:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Web-Workers-Demo:web-workers-demo-master/scripts/image-app.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=2.0, endOffset=9.0}	5min	AYa0fsHr1m6JgciZ22Li	3c0065af3c78f95583df735b2c516bda	OPEN
CRITICAL	2023-03-06T01:17:16+0000		10.0		javascript:S3504	Web-Workers-Demo	5min		Unexpected var, use let or const instead.	2023-03-06T01:17:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Web-Workers-Demo:web-workers-demo-master/scripts/image-app.js		MAIN	{startLine=10.0, endLine=10.0, startOffset=4.0, endOffset=14.0}	5min	AYa0fsHr1m6JgciZ22Lj	31cd939bf881f257fb67419e65058038	OPEN
CRITICAL	2023-03-06T01:17:16+0000		12.0		javascript:S3504	Web-Workers-Demo	5min		Unexpected var, use let or const instead.	2023-03-06T01:17:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Web-Workers-Demo:web-workers-demo-master/scripts/image-app.js		MAIN	{startLine=12.0, endLine=12.0, startOffset=6.0, endOffset=13.0}	5min	AYa0fsHr1m6JgciZ22Lk	5f690a81602adeb65c108ad462e8c6f9	OPEN
CRITICAL	2023-03-06T01:17:16+0000		27.0		javascript:S3504	Web-Workers-Demo	5min		Unexpected var, use let or const instead.	2023-03-06T01:17:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Web-Workers-Demo:web-workers-demo-master/scripts/image-app.js		MAIN	{startLine=27.0, endLine=27.0, startOffset=4.0, endOffset=15.0}	5min	AYa0fsHr1m6JgciZ22Ll	6f7916e8454eda8f13c0f6f657431baa	OPEN
MINOR	2023-03-06T01:17:16+0000		28.0		javascript:S4138	Web-Workers-Demo	5min		Expected a `for-of` loop instead of a `for` loop with this simple iteration.	2023-03-06T01:17:16+0000	CODE_SMELL	true	"clumsy / "	Web-Workers-Demo:web-workers-demo-master/scripts/image-app.js		MAIN	{startLine=28.0, endLine=34.0, startOffset=4.0, endOffset=5.0}	5min	AYa0fsHr1m6JgciZ22Lm	19a2e4bb510c7b927c21f83b231749e5	OPEN
CRITICAL	2023-03-06T01:17:16+0000		28.0		javascript:S3504	Web-Workers-Demo	5min		Unexpected var, use let or const instead.	2023-03-06T01:17:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Web-Workers-Demo:web-workers-demo-master/scripts/image-app.js		MAIN	{startLine=28.0, endLine=28.0, startOffset=9.0, endOffset=14.0}	5min	AYa0fsHr1m6JgciZ22Ln	19a2e4bb510c7b927c21f83b231749e5	OPEN
CRITICAL	2023-03-06T01:17:16+0000		38.0		javascript:S3504	Web-Workers-Demo	5min		Unexpected var, use let or const instead.	2023-03-06T01:17:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Web-Workers-Demo:web-workers-demo-master/scripts/image-app.js		MAIN	{startLine=38.0, endLine=38.0, startOffset=4.0, endOffset=9.0}	5min	AYa0fsHr1m6JgciZ22Lo	15b2d3e70815b9871e1d9503f767cdd3	OPEN
