severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T00:38:45+0000		1.0		javascript:S3504	ngCalendar	5min		Unexpected var, use let or const instead.	2023-03-06T00:38:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	ngCalendar:ngCalendar-master/Gulpfile.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=8.0}	5min	AYa0W3vo1m6JgciZ2NGt	2f1faab7d6751e10355c5b29e2260c2c	OPEN
CRITICAL	2023-03-06T00:38:45+0000		2.0		javascript:S3504	ngCalendar	5min		Unexpected var, use let or const instead.	2023-03-06T00:38:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	ngCalendar:ngCalendar-master/Gulpfile.js		MAIN	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=8.0}	5min	AYa0W3vo1m6JgciZ2NGu	a9b79d4dd4efaad16786b8ec0b8ae73b	OPEN
CRITICAL	2023-03-06T00:38:45+0000		3.0		javascript:S3504	ngCalendar	5min		Unexpected var, use let or const instead.	2023-03-06T00:38:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	ngCalendar:ngCalendar-master/Gulpfile.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=11.0}	5min	AYa0W3vo1m6JgciZ2NGv	210c19133ae45147210ba3eeece781e7	OPEN
CRITICAL	2023-03-06T00:38:45+0000		4.0		javascript:S3504	ngCalendar	5min		Unexpected var, use let or const instead.	2023-03-06T00:38:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	ngCalendar:ngCalendar-master/Gulpfile.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=10.0}	5min	AYa0W3vo1m6JgciZ2NGw	7870ff6bb61fb346ac87f312f5b237b0	OPEN
CRITICAL	2023-03-06T00:38:45+0000		5.0		javascript:S3504	ngCalendar	5min		Unexpected var, use let or const instead.	2023-03-06T00:38:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	ngCalendar:ngCalendar-master/Gulpfile.js		MAIN	{startLine=5.0, endLine=5.0, startOffset=0.0, endOffset=13.0}	5min	AYa0W3vo1m6JgciZ2NGx	a1f1cb149a3d9e81a390a6cc21836065	OPEN
CRITICAL	2023-03-06T00:38:45+0000		7.0		javascript:S3504	ngCalendar	5min		Unexpected var, use let or const instead.	2023-03-06T00:38:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	ngCalendar:ngCalendar-master/Gulpfile.js		MAIN	{startLine=7.0, endLine=7.0, startOffset=0.0, endOffset=9.0}	5min	AYa0W3vo1m6JgciZ2NGy	e7af9913b374653df5f1fc6d4848f0f3	OPEN
CRITICAL	2023-03-06T00:38:45+0000		49.0		javascript:S3504	ngCalendar	5min		Unexpected var, use let or const instead.	2023-03-06T00:38:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	ngCalendar:ngCalendar-master/src/calendar.spec.js		MAIN	{startLine=49.0, endLine=49.0, startOffset=3.0, endOffset=24.0}	5min	AYa0W3vr1m6JgciZ2NGz	b16602a7102e4c8056fff842b7dda30d	OPEN
CRITICAL	2023-03-06T00:38:45+0000		70.0		javascript:S3504	ngCalendar	5min		Unexpected var, use let or const instead.	2023-03-06T00:38:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	ngCalendar:ngCalendar-master/src/calendar.spec.js		MAIN	{startLine=70.0, endLine=70.0, startOffset=3.0, endOffset=24.0}	5min	AYa0W3vr1m6JgciZ2NG0	d52d5715f13403b5d6af0686789a11a1	OPEN
MINOR	2023-03-06T00:38:45+0000		78.0		javascript:S1481	ngCalendar	5min		Remove the declaration of the unused 'formattedStartTime' variable.	2023-03-06T00:38:45+0000	CODE_SMELL	false	"unused / "	ngCalendar:ngCalendar-master/src/calendar.spec.js		MAIN	{startLine=78.0, endLine=78.0, startOffset=9.0, endOffset=27.0}	5min	AYa0W3vr1m6JgciZ2NG1	956c64f3cd54150396caa591f3f409a7	OPEN
MAJOR	2023-03-06T00:38:45+0000		78.0		javascript:S1854	ngCalendar	15min		"Remove this useless assignment to variable ""formattedStartTime""."	2023-03-06T00:38:45+0000	CODE_SMELL	false	"cwe / unused / "	ngCalendar:ngCalendar-master/src/calendar.spec.js		MAIN	{startLine=78.0, endLine=78.0, startOffset=9.0, endOffset=27.0}	15min	AYa0W3vr1m6JgciZ2NG2	956c64f3cd54150396caa591f3f409a7	OPEN
MINOR	2023-03-06T00:38:45+0000		129.0		javascript:S1481	ngCalendar	5min		Remove the declaration of the unused 'icsHref' variable.	2023-03-06T00:38:45+0000	CODE_SMELL	false	"unused / "	ngCalendar:ngCalendar-master/src/calendar.spec.js		MAIN	{startLine=129.0, endLine=129.0, startOffset=9.0, endOffset=16.0}	5min	AYa0W3vr1m6JgciZ2NG4	fb196ba01a624c004f43422209ae3554	OPEN
MAJOR	2023-03-06T00:38:45+0000		129.0		javascript:S1854	ngCalendar	15min		"Remove this useless assignment to variable ""icsHref""."	2023-03-06T00:38:45+0000	CODE_SMELL	false	"cwe / unused / "	ngCalendar:ngCalendar-master/src/calendar.spec.js		MAIN	{startLine=129.0, endLine=129.0, startOffset=9.0, endOffset=16.0}	15min	AYa0W3vr1m6JgciZ2NG5	fb196ba01a624c004f43422209ae3554	OPEN
MINOR	2023-03-06T00:38:45+0000		143.0		javascript:S1481	ngCalendar	5min		Remove the declaration of the unused 'icsHref' variable.	2023-03-06T00:38:45+0000	CODE_SMELL	false	"unused / "	ngCalendar:ngCalendar-master/src/calendar.spec.js		MAIN	{startLine=143.0, endLine=143.0, startOffset=9.0, endOffset=16.0}	5min	AYa0W3vr1m6JgciZ2NG6	1ba4dfafa078f5165929887a892108c8	OPEN
MAJOR	2023-03-06T00:38:45+0000		143.0		javascript:S1854	ngCalendar	15min		"Remove this useless assignment to variable ""icsHref""."	2023-03-06T00:38:45+0000	CODE_SMELL	false	"cwe / unused / "	ngCalendar:ngCalendar-master/src/calendar.spec.js		MAIN	{startLine=143.0, endLine=143.0, startOffset=9.0, endOffset=16.0}	15min	AYa0W3vr1m6JgciZ2NG7	1ba4dfafa078f5165929887a892108c8	OPEN
CRITICAL	2023-03-06T00:38:45+0000		1.0		javascript:S3504	ngCalendar	5min		Unexpected var, use let or const instead.	2023-03-06T00:38:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	ngCalendar:ngCalendar-master/webpack.configMinify.js		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=11.0}	5min	AYa0W3vu1m6JgciZ2NG8	3f23e2941026484c6f5ee56345737368	OPEN
CRITICAL	2023-03-06T00:38:45+0000		3.0		javascript:S3504	ngCalendar	5min		Unexpected var, use let or const instead.	2023-03-06T00:38:45+0000	CODE_SMELL	true	"bad-practice / es2015 / "	ngCalendar:ngCalendar-master/webpack.configMinify.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=16.0}	5min	AYa0W3vu1m6JgciZ2NG9	6dc20b0d049dbdc07fcd2244ed8e8c46	OPEN
