severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T02:04:15+0000		208.0		python:S3776	AI-Nanodegree---Implement-a-Planning-Search	21min		Refactor this function to reduce its Cognitive Complexity from 31 to the 15 allowed.	2023-03-06T02:04:15+0000	CODE_SMELL	false	"brain-overload / "	AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py	"{locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=213.0, endLine=213.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=216.0, endLine=216.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=218.0, endLine=218.0, startOffset=4.0, endOffset=8.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=220.0, endLine=220.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=222.0, endLine=222.0, startOffset=8.0, endOffset=12.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=224.0, endLine=224.0, startOffset=4.0, endOffset=8.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=226.0, endLine=226.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=228.0, endLine=228.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=230.0, endLine=230.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=233.0, endLine=233.0, startOffset=4.0, endOffset=8.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=235.0, endLine=235.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=237.0, endLine=237.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=239.0, endLine=239.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=243.0, endLine=243.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=245.0, endLine=245.0, startOffset=4.0, endOffset=8.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=248.0, endLine=248.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=251.0, endLine=251.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=253.0, endLine=253.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=255.0, endLine=255.0, startOffset=4.0, endOffset=8.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py, textRange={startLine=257.0, endLine=257.0, startOffset=4.0, endOffset=8.0}, msg=+1, msgFormattings=[]}]} / "	MAIN	{startLine=208.0, endLine=208.0, startOffset=4.0, endOffset=11.0}	21min	AYa0qbbw1m6JgciZ3Fvm	6235eb969cc0765a369f1d8b8a733402	OPEN
INFO	2023-03-06T02:04:15+0000		297.0		python:S1135	AI-Nanodegree---Implement-a-Planning-Search	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:04:15+0000	CODE_SMELL	false	"cwe / "	AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py		MAIN	{startLine=297.0, endLine=297.0, startOffset=31.0, endOffset=61.0}	0min	AYa0qbbw1m6JgciZ3Fvn	217774c4b6d631e98a16b2be2850dd99	OPEN
MAJOR	2023-03-06T02:04:15+0000		310.0		python:S1542	AI-Nanodegree---Implement-a-Planning-Search	10min		"Rename function ""NOT"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:04:15+0000	CODE_SMELL	false	"convention / "	AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py		MAIN	{startLine=310.0, endLine=310.0, startOffset=12.0, endOffset=15.0}	10min	AYa0qbbw1m6JgciZ3Fvo	5ccc98d9037010246cda45289501683d	OPEN
MINOR	2023-03-06T02:04:15+0000		411.0		python:S117	AI-Nanodegree---Implement-a-Planning-Search	2min		"Rename this parameter ""KB"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:04:15+0000	CODE_SMELL	false	"convention / "	AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py		MAIN	{startLine=411.0, endLine=411.0, startOffset=18.0, endOffset=20.0}	2min	AYa0qbbw1m6JgciZ3Fvp	84095d48f8716d6c9c727a8db71771bc	OPEN
MINOR	2023-03-06T02:04:15+0000		469.0		python:S117	AI-Nanodegree---Implement-a-Planning-Search	2min		"Rename this parameter ""KB"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:04:15+0000	CODE_SMELL	false	"convention / "	AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py		MAIN	{startLine=469.0, endLine=469.0, startOffset=18.0, endOffset=20.0}	2min	AYa0qbbw1m6JgciZ3Fvq	ba4e91835731e6790ac5ebc9d3961d51	OPEN
MINOR	2023-03-06T02:04:15+0000		690.0		python:S117	AI-Nanodegree---Implement-a-Planning-Search	2min		"Rename this parameter ""KB"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:04:15+0000	CODE_SMELL	false	"convention / "	AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py		MAIN	{startLine=690.0, endLine=690.0, startOffset=15.0, endOffset=17.0}	2min	AYa0qbbw1m6JgciZ3Fvr	fb274394119d4d2c96f5df80a39364a9	OPEN
MAJOR	2023-03-06T02:04:15+0000		738.0		python:S112	AI-Nanodegree---Implement-a-Planning-Search	20min		Replace this generic exception class with a more specific one.	2023-03-06T02:04:15+0000	CODE_SMELL	false	"cwe / error-handling / "	AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py		MAIN	{startLine=738.0, endLine=738.0, startOffset=18.0, endOffset=73.0}	20min	AYa0qbbw1m6JgciZ3Fvs	6dab67706b87e2bfd7d81a7e06f4d129	OPEN
MAJOR	2023-03-06T02:04:15+0000		746.0		python:S1172	AI-Nanodegree---Implement-a-Planning-Search	5min		"Remove the unused function parameter ""goal""."	2023-03-06T02:04:15+0000	CODE_SMELL	false	"unused / "	AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py		MAIN	{startLine=746.0, endLine=746.0, startOffset=35.0, endOffset=39.0}	5min	AYa0qbbw1m6JgciZ3Fvt	84a0407d9f3c9366cd150c457cafe529	OPEN
MINOR	2023-03-06T02:04:15+0000		750.0		python:S117	AI-Nanodegree---Implement-a-Planning-Search	2min		"Rename this parameter ""KB"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:04:15+0000	CODE_SMELL	false	"convention / "	AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py		MAIN	{startLine=750.0, endLine=750.0, startOffset=15.0, endOffset=17.0}	2min	AYa0qbbw1m6JgciZ3Fvu	9a0bde3c2e32e81ec0636410e0aaf6b8	OPEN
MINOR	2023-03-06T02:04:15+0000		756.0		python:S117	AI-Nanodegree---Implement-a-Planning-Search	2min		"Rename this parameter ""KB"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:04:15+0000	CODE_SMELL	false	"convention / "	AI-Nanodegree---Implement-a-Planning-Search:AIND-Planning-master/aimacode/logic.py		MAIN	{startLine=756.0, endLine=756.0, startOffset=14.0, endOffset=16.0}	2min	AYa0qbbw1m6JgciZ3Fvv	9ee029bffa42f59648b677ed1b3be16d	OPEN
