severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
INFO	2023-03-06T02:14:25+0000		37.0		python:S1135	AI-Nanodegree---Isolation	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:14:25+0000	CODE_SMELL	false	"cwe / "	AI-Nanodegree---Isolation:AIND-Isolation-master/game_agent.py		MAIN	{startLine=37.0, endLine=37.0, startOffset=4.0, endOffset=33.0}	0min	AYa0svc01m6JgciZ3Mkc	2da020e9a81a5b30b182a3ad5a05671f	OPEN
INFO	2023-03-06T02:14:25+0000		63.0		python:S1135	AI-Nanodegree---Isolation	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:14:25+0000	CODE_SMELL	false	"cwe / "	AI-Nanodegree---Isolation:AIND-Isolation-master/game_agent.py		MAIN	{startLine=63.0, endLine=63.0, startOffset=4.0, endOffset=33.0}	0min	AYa0svc01m6JgciZ3Mkd	2da020e9a81a5b30b182a3ad5a05671f	OPEN
INFO	2023-03-06T02:14:25+0000		89.0		python:S1135	AI-Nanodegree---Isolation	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:14:25+0000	CODE_SMELL	false	"cwe / "	AI-Nanodegree---Isolation:AIND-Isolation-master/game_agent.py		MAIN	{startLine=89.0, endLine=89.0, startOffset=4.0, endOffset=33.0}	0min	AYa0svc01m6JgciZ3Mke	2da020e9a81a5b30b182a3ad5a05671f	OPEN
MAJOR	2023-03-06T02:14:25+0000		173.0		python:S1172	AI-Nanodegree---Isolation	5min		"Remove the unused function parameter ""depth""."	2023-03-06T02:14:25+0000	CODE_SMELL	false	"unused / "	AI-Nanodegree---Isolation:AIND-Isolation-master/game_agent.py		MAIN	{startLine=173.0, endLine=173.0, startOffset=28.0, endOffset=33.0}	5min	AYa0svc01m6JgciZ3Mkf	048e89466066de24ad65cd37908384d1	OPEN
MAJOR	2023-03-06T02:14:25+0000		173.0		python:S1172	AI-Nanodegree---Isolation	5min		"Remove the unused function parameter ""game""."	2023-03-06T02:14:25+0000	CODE_SMELL	false	"unused / "	AI-Nanodegree---Isolation:AIND-Isolation-master/game_agent.py		MAIN	{startLine=173.0, endLine=173.0, startOffset=22.0, endOffset=26.0}	5min	AYa0svc01m6JgciZ3Mkg	048e89466066de24ad65cd37908384d1	OPEN
INFO	2023-03-06T02:14:25+0000		215.0		python:S1135	AI-Nanodegree---Isolation	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:14:25+0000	CODE_SMELL	false	"cwe / "	AI-Nanodegree---Isolation:AIND-Isolation-master/game_agent.py		MAIN	{startLine=215.0, endLine=215.0, startOffset=8.0, endOffset=37.0}	0min	AYa0svc01m6JgciZ3Mkh	2da020e9a81a5b30b182a3ad5a05671f	OPEN
MAJOR	2023-03-06T02:14:25+0000		225.0		python:S1172	AI-Nanodegree---Isolation	5min		"Remove the unused function parameter ""game""."	2023-03-06T02:14:25+0000	CODE_SMELL	false	"unused / "	AI-Nanodegree---Isolation:AIND-Isolation-master/game_agent.py		MAIN	{startLine=225.0, endLine=225.0, startOffset=23.0, endOffset=27.0}	5min	AYa0svc01m6JgciZ3Mki	1c1eb7cd9c171fcbd8b12a9ba2b4dcf3	OPEN
INFO	2023-03-06T02:14:25+0000		257.0		python:S1135	AI-Nanodegree---Isolation	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:14:25+0000	CODE_SMELL	false	"cwe / "	AI-Nanodegree---Isolation:AIND-Isolation-master/game_agent.py		MAIN	{startLine=257.0, endLine=257.0, startOffset=8.0, endOffset=37.0}	0min	AYa0svc01m6JgciZ3Mkj	2da020e9a81a5b30b182a3ad5a05671f	OPEN
MAJOR	2023-03-06T02:14:25+0000		260.0		python:S1172	AI-Nanodegree---Isolation	5min		"Remove the unused function parameter ""depth""."	2023-03-06T02:14:25+0000	CODE_SMELL	false	"unused / "	AI-Nanodegree---Isolation:AIND-Isolation-master/game_agent.py		MAIN	{startLine=260.0, endLine=260.0, startOffset=30.0, endOffset=35.0}	5min	AYa0svc01m6JgciZ3Mkk	4a64b0847b1a06339db68a6bcf84dcdc	OPEN
MAJOR	2023-03-06T02:14:25+0000		260.0		python:S1172	AI-Nanodegree---Isolation	5min		"Remove the unused function parameter ""game""."	2023-03-06T02:14:25+0000	CODE_SMELL	false	"unused / "	AI-Nanodegree---Isolation:AIND-Isolation-master/game_agent.py		MAIN	{startLine=260.0, endLine=260.0, startOffset=24.0, endOffset=28.0}	5min	AYa0svc01m6JgciZ3Mkl	4a64b0847b1a06339db68a6bcf84dcdc	OPEN
