severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T02:11:07+0000		4.0		python:S2208	AI-Nanodegree---Sudoku	5min		Import only needed names or import the module and then use its members.	2023-03-06T02:11:07+0000	CODE_SMELL	false	"pitfall / "	AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py		MAIN	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=19.0}	5min	AYa0r_-J1m6JgciZ3JtD	9bf0c1abd5bb29e504581816eeb9351d	OPEN
CRITICAL	2023-03-06T02:11:07+0000		5.0		python:S2208	AI-Nanodegree---Sudoku	5min		Import only needed names or import the module and then use its members.	2023-03-06T02:11:07+0000	CODE_SMELL	false	"pitfall / "	AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py		MAIN	{startLine=5.0, endLine=5.0, startOffset=0.0, endOffset=27.0}	5min	AYa0r_-J1m6JgciZ3JtE	9280e7e457ba3df61e4d32cbee214d37	OPEN
CRITICAL	2023-03-06T02:11:07+0000		8.0		python:S3776	AI-Nanodegree---Sudoku	36min		Refactor this function to reduce its Cognitive Complexity from 46 to the 15 allowed.	2023-03-06T02:11:07+0000	CODE_SMELL	false	"brain-overload / "	AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py	"{locations=[{component=AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py, textRange={startLine=19.0, endLine=19.0, startOffset=4.0, endOffset=9.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py, textRange={startLine=25.0, endLine=25.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py, textRange={startLine=26.0, endLine=26.0, startOffset=12.0, endOffset=15.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py, textRange={startLine=27.0, endLine=27.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py, textRange={startLine=28.0, endLine=28.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py, textRange={startLine=29.0, endLine=29.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py, textRange={startLine=31.0, endLine=31.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py, textRange={startLine=32.0, endLine=32.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py, textRange={startLine=33.0, endLine=33.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py, textRange={startLine=35.0, endLine=35.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py, textRange={startLine=35.0, endLine=35.0, startOffset=65.0, endOffset=67.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py, textRange={startLine=37.0, endLine=37.0, startOffset=16.0, endOffset=20.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py, textRange={startLine=42.0, endLine=42.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py, textRange={startLine=49.0, endLine=49.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py, textRange={startLine=55.0, endLine=55.0, startOffset=4.0, endOffset=9.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py, textRange={startLine=56.0, endLine=56.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py, textRange={startLine=57.0, endLine=57.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / "	MAIN	{startLine=8.0, endLine=8.0, startOffset=4.0, endOffset=8.0}	36min	AYa0r_-J1m6JgciZ3JtM	4443bd1a6ac32dc181347d2317db7810	OPEN
MINOR	2023-03-06T02:11:07+0000		21.0		python:S117	AI-Nanodegree---Sudoku	2min		"Rename this local variable ""theSquares"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:11:07+0000	CODE_SMELL	false	"convention / "	AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py		MAIN	{startLine=21.0, endLine=21.0, startOffset=8.0, endOffset=18.0}	2min	AYa0r_-J1m6JgciZ3JtJ	885fc885ff4d53c55213e1136f5a2738	OPEN
MINOR	2023-03-06T02:11:07+0000		22.0		python:S117	AI-Nanodegree---Sudoku	2min		"Rename this local variable ""initXLoc"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:11:07+0000	CODE_SMELL	false	"convention / "	AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py		MAIN	{startLine=22.0, endLine=22.0, startOffset=8.0, endOffset=16.0}	2min	AYa0r_-J1m6JgciZ3JtF	45275bbe25669d9ae8ff439e8cce2276	OPEN
MINOR	2023-03-06T02:11:07+0000		22.0		python:S1481	AI-Nanodegree---Sudoku	5min		"Remove the unused local variable ""initXLoc""."	2023-03-06T02:11:07+0000	CODE_SMELL	false	"unused / "	AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py		MAIN	{startLine=22.0, endLine=22.0, startOffset=8.0, endOffset=16.0}	5min	AYa0r_-J1m6JgciZ3JtL	45275bbe25669d9ae8ff439e8cce2276	OPEN
MINOR	2023-03-06T02:11:07+0000		23.0		python:S117	AI-Nanodegree---Sudoku	2min		"Rename this local variable ""initYLoc"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:11:07+0000	CODE_SMELL	false	"convention / "	AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py		MAIN	{startLine=23.0, endLine=23.0, startOffset=8.0, endOffset=16.0}	2min	AYa0r_-J1m6JgciZ3JtG	9c43dcecc150b3f6e491e44ddd0ed7cf	OPEN
MINOR	2023-03-06T02:11:07+0000		23.0		python:S1481	AI-Nanodegree---Sudoku	5min		"Remove the unused local variable ""initYLoc""."	2023-03-06T02:11:07+0000	CODE_SMELL	false	"unused / "	AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py		MAIN	{startLine=23.0, endLine=23.0, startOffset=8.0, endOffset=16.0}	5min	AYa0r_-J1m6JgciZ3JtK	9c43dcecc150b3f6e491e44ddd0ed7cf	OPEN
MINOR	2023-03-06T02:11:07+0000		24.0		python:S117	AI-Nanodegree---Sudoku	2min		"Rename this local variable ""startX"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:11:07+0000	CODE_SMELL	false	"convention / "	AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py		MAIN	{startLine=24.0, endLine=24.0, startOffset=8.0, endOffset=14.0}	2min	AYa0r_-J1m6JgciZ3JtH	9a8a6797e21794fb69b6fbe2f09e7ae4	OPEN
MINOR	2023-03-06T02:11:07+0000		24.0		python:S117	AI-Nanodegree---Sudoku	2min		"Rename this local variable ""startY"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:11:07+0000	CODE_SMELL	false	"convention / "	AI-Nanodegree---Sudoku:AIND-Sudoku-master/PySudoku.py		MAIN	{startLine=24.0, endLine=24.0, startOffset=16.0, endOffset=22.0}	2min	AYa0r_-J1m6JgciZ3JtI	9a8a6797e21794fb69b6fbe2f09e7ae4	OPEN
