severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
INFO	2023-03-06T02:02:38+0000		34.0		python:S1135	AI-Programming-with-Python-Nanodegree	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:02:38+0000	CODE_SMELL	false	"cwe / "	AI-Programming-with-Python-Nanodegree:AIPND-revision-master/intropyproject-classify-pet-images/adjust_results4_isadog.py		MAIN	{startLine=34.0, endLine=34.0, startOffset=0.0, endOffset=85.0}	0min	AYa0qEFd1m6JgciZ3E54	79cb5d8d3a1c21efe8882c93a6b3383f	OPEN
MAJOR	2023-03-06T02:02:38+0000		40.0		python:S1172	AI-Programming-with-Python-Nanodegree	5min		"Remove the unused function parameter ""results_dic""."	2023-03-06T02:02:38+0000	CODE_SMELL	false	"unused / "	AI-Programming-with-Python-Nanodegree:AIPND-revision-master/intropyproject-classify-pet-images/adjust_results4_isadog.py		MAIN	{startLine=40.0, endLine=40.0, startOffset=27.0, endOffset=38.0}	5min	AYa0qEFd1m6JgciZ3E52	639a5b7a2620b2a1abd74b2a1a4a70ca	OPEN
MAJOR	2023-03-06T02:02:38+0000		40.0		python:S1172	AI-Programming-with-Python-Nanodegree	5min		"Remove the unused function parameter ""dogfile""."	2023-03-06T02:02:38+0000	CODE_SMELL	false	"unused / "	AI-Programming-with-Python-Nanodegree:AIPND-revision-master/intropyproject-classify-pet-images/adjust_results4_isadog.py		MAIN	{startLine=40.0, endLine=40.0, startOffset=40.0, endOffset=47.0}	5min	AYa0qEFd1m6JgciZ3E53	639a5b7a2620b2a1abd74b2a1a4a70ca	OPEN
MAJOR	2023-03-06T02:02:38+0000		70.0		python:S905	AI-Programming-with-Python-Nanodegree	10min		Remove or refactor this statement; it has no side effects.	2023-03-06T02:02:38+0000	BUG	false	"cwe / unused / "	AI-Programming-with-Python-Nanodegree:AIPND-revision-master/intropyproject-classify-pet-images/adjust_results4_isadog.py		MAIN	{startLine=70.0, endLine=70.0, startOffset=4.0, endOffset=8.0}	10min	AYa0qEFd1m6JgciZ3E55	6adf97f83acf6453d4a6a4b1070f3754	OPEN
INFO	2023-03-06T02:02:38+0000		35.0		python:S1135	AI-Programming-with-Python-Nanodegree	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:02:38+0000	CODE_SMELL	false	"cwe / "	AI-Programming-with-Python-Nanodegree:AIPND-revision-master/intropyproject-classify-pet-images/adjust_results4_isadog_hints.py		MAIN	{startLine=35.0, endLine=35.0, startOffset=0.0, endOffset=75.0}	0min	AYa0qEF41m6JgciZ3E6W	e6cabfb1e269c31cd4366fbcc6a1c721	OPEN
INFO	2023-03-06T02:02:38+0000		85.0		python:S1135	AI-Programming-with-Python-Nanodegree	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:02:38+0000	CODE_SMELL	false	"cwe / "	AI-Programming-with-Python-Nanodegree:AIPND-revision-master/intropyproject-classify-pet-images/adjust_results4_isadog_hints.py		MAIN	{startLine=85.0, endLine=85.0, startOffset=12.0, endOffset=78.0}	0min	AYa0qEF41m6JgciZ3E6X	3974d38767659ccdaadfd892fcd1e1a8	OPEN
MINOR	2023-03-06T02:02:38+0000		89.0		python:S2772	AI-Programming-with-Python-Nanodegree	2min		"Remove this unneeded ""pass""."	2023-03-06T02:02:38+0000	CODE_SMELL	false	"unused / "	AI-Programming-with-Python-Nanodegree:AIPND-revision-master/intropyproject-classify-pet-images/adjust_results4_isadog_hints.py		MAIN	{startLine=89.0, endLine=89.0, startOffset=12.0, endOffset=16.0}	2min	AYa0qEF41m6JgciZ3E6Y	1a1dc91c907325c69271ddf0c944bc72	OPEN
INFO	2023-03-06T02:02:38+0000		91.0		python:S1135	AI-Programming-with-Python-Nanodegree	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:02:38+0000	CODE_SMELL	false	"cwe / "	AI-Programming-with-Python-Nanodegree:AIPND-revision-master/intropyproject-classify-pet-images/adjust_results4_isadog_hints.py		MAIN	{startLine=91.0, endLine=91.0, startOffset=12.0, endOffset=77.0}	0min	AYa0qEF41m6JgciZ3E6Z	388a9c42547bb0b5fe07d9c6c876262b	OPEN
INFO	2023-03-06T02:02:38+0000		121.0		python:S1135	AI-Programming-with-Python-Nanodegree	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:02:38+0000	CODE_SMELL	false	"cwe / "	AI-Programming-with-Python-Nanodegree:AIPND-revision-master/intropyproject-classify-pet-images/adjust_results4_isadog_hints.py		MAIN	{startLine=121.0, endLine=121.0, startOffset=12.0, endOffset=79.0}	0min	AYa0qEF41m6JgciZ3E6a	2645e18f2a13d74a7da045877ded974e	OPEN
MAJOR	2023-03-06T02:02:38+0000		130.0		python:S108	AI-Programming-with-Python-Nanodegree	5min		Either remove or fill this block of code.	2023-03-06T02:02:38+0000	CODE_SMELL	false	"suspicious / "	AI-Programming-with-Python-Nanodegree:AIPND-revision-master/intropyproject-classify-pet-images/adjust_results4_isadog_hints.py		MAIN	{startLine=130.0, endLine=130.0, startOffset=16.0, endOffset=20.0}	5min	AYa0qEF41m6JgciZ3E6b	1a1dc91c907325c69271ddf0c944bc72	OPEN
