severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
INFO	2023-03-06T02:04:34+0000		13.0		python:S1135	Article-CMS---FlaskWebProject-II	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:04:34+0000	CODE_SMELL	false	"cwe / "	Article-CMS---FlaskWebProject-II:nd081-c1-provisioning-microsoft-azure-vms-project-starter-master/FlaskWebProject/__init__.py		MAIN	{startLine=13.0, endLine=13.0, startOffset=0.0, endOffset=59.0}	0min	AYa0qgMv1m6JgciZ3F6z	5ccae5d4bfd5de8ba3865d86f630cc3c	OPEN
MINOR	2023-03-06T02:04:34+0000		48.0		python:S117	Article-CMS---FlaskWebProject-II	2min		"Rename this parameter ""userId"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:04:34+0000	CODE_SMELL	false	"convention / "	Article-CMS---FlaskWebProject-II:nd081-c1-provisioning-microsoft-azure-vms-project-starter-master/FlaskWebProject/models.py		MAIN	{startLine=48.0, endLine=48.0, startOffset=39.0, endOffset=45.0}	2min	AYa0qgMx1m6JgciZ3F62	97ab89d693000a0f4ccb609ea4da4a4b	OPEN
MINOR	2023-03-06T02:04:34+0000		57.0		python:S117	Article-CMS---FlaskWebProject-II	2min		"Rename this local variable ""Randomfilename"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:04:34+0000	CODE_SMELL	false	"convention / "	Article-CMS---FlaskWebProject-II:nd081-c1-provisioning-microsoft-azure-vms-project-starter-master/FlaskWebProject/models.py		MAIN	{startLine=57.0, endLine=57.0, startOffset=12.0, endOffset=26.0}	2min	AYa0qgMx1m6JgciZ3F61	a6f7fb511d50ba273ad2da188c424498	OPEN
MINOR	2023-03-06T02:04:34+0000		22.0		python:S1481	Article-CMS---FlaskWebProject-II	5min		"Remove the unused local variable ""user""."	2023-03-06T02:04:34+0000	CODE_SMELL	false	"unused / "	Article-CMS---FlaskWebProject-II:nd081-c1-provisioning-microsoft-azure-vms-project-starter-master/FlaskWebProject/views.py		MAIN	{startLine=22.0, endLine=22.0, startOffset=4.0, endOffset=8.0}	5min	AYa0qgMq1m6JgciZ3F6k	dd0fe0a7a2ece7629e0957c490b9941c	OPEN
INFO	2023-03-06T02:04:34+0000		88.0		python:S1135	Article-CMS---FlaskWebProject-II	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:04:34+0000	CODE_SMELL	false	"cwe / "	Article-CMS---FlaskWebProject-II:nd081-c1-provisioning-microsoft-azure-vms-project-starter-master/FlaskWebProject/views.py		MAIN	{startLine=88.0, endLine=88.0, startOffset=8.0, endOffset=94.0}	0min	AYa0qgMq1m6JgciZ3F6o	4ffa2ec4ce9d21e11797aed3570ea670	OPEN
INFO	2023-03-06T02:04:34+0000		114.0		python:S1135	Article-CMS---FlaskWebProject-II	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:04:34+0000	CODE_SMELL	false	"cwe / "	Article-CMS---FlaskWebProject-II:nd081-c1-provisioning-microsoft-azure-vms-project-starter-master/FlaskWebProject/views.py		MAIN	{startLine=114.0, endLine=114.0, startOffset=4.0, endOffset=52.0}	0min	AYa0qgMq1m6JgciZ3F6p	dcc5739b483bee37cb143776a5976570	OPEN
INFO	2023-03-06T02:04:34+0000		119.0		python:S1135	Article-CMS---FlaskWebProject-II	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:04:34+0000	CODE_SMELL	false	"cwe / "	Article-CMS---FlaskWebProject-II:nd081-c1-provisioning-microsoft-azure-vms-project-starter-master/FlaskWebProject/views.py		MAIN	{startLine=119.0, endLine=119.0, startOffset=4.0, endOffset=45.0}	0min	AYa0qgMq1m6JgciZ3F6q	482064603280347ee9abb19d87c0f08e	OPEN
MAJOR	2023-03-06T02:04:34+0000		122.0		python:S1172	Article-CMS---FlaskWebProject-II	5min		"Remove the unused function parameter ""cache""."	2023-03-06T02:04:34+0000	CODE_SMELL	false	"unused / "	Article-CMS---FlaskWebProject-II:nd081-c1-provisioning-microsoft-azure-vms-project-starter-master/FlaskWebProject/views.py		MAIN	{startLine=122.0, endLine=122.0, startOffset=20.0, endOffset=30.0}	5min	AYa0qgMq1m6JgciZ3F6r	c2dafbf81fa23836dcdf28c4cd5cacfe	OPEN
MAJOR	2023-03-06T02:04:34+0000		122.0		python:S1172	Article-CMS---FlaskWebProject-II	5min		"Remove the unused function parameter ""authority""."	2023-03-06T02:04:34+0000	CODE_SMELL	false	"unused / "	Article-CMS---FlaskWebProject-II:nd081-c1-provisioning-microsoft-azure-vms-project-starter-master/FlaskWebProject/views.py		MAIN	{startLine=122.0, endLine=122.0, startOffset=32.0, endOffset=46.0}	5min	AYa0qgMq1m6JgciZ3F6s	c2dafbf81fa23836dcdf28c4cd5cacfe	OPEN
INFO	2023-03-06T02:04:34+0000		123.0		python:S1135	Article-CMS---FlaskWebProject-II	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:04:34+0000	CODE_SMELL	false	"cwe / "	Article-CMS---FlaskWebProject-II:nd081-c1-provisioning-microsoft-azure-vms-project-starter-master/FlaskWebProject/views.py		MAIN	{startLine=123.0, endLine=123.0, startOffset=4.0, endOffset=50.0}	0min	AYa0qgMq1m6JgciZ3F6t	9c09e4ab60f4d82ab678e43a3568dde5	OPEN
MAJOR	2023-03-06T02:04:34+0000		126.0		python:S1172	Article-CMS---FlaskWebProject-II	5min		"Remove the unused function parameter ""state""."	2023-03-06T02:04:34+0000	CODE_SMELL	false	"unused / "	Article-CMS---FlaskWebProject-II:nd081-c1-provisioning-microsoft-azure-vms-project-starter-master/FlaskWebProject/views.py		MAIN	{startLine=126.0, endLine=126.0, startOffset=49.0, endOffset=59.0}	5min	AYa0qgMq1m6JgciZ3F6u	83a827df9ffaef5469f03fa95321f72c	OPEN
MAJOR	2023-03-06T02:04:34+0000		126.0		python:S1172	Article-CMS---FlaskWebProject-II	5min		"Remove the unused function parameter ""authority""."	2023-03-06T02:04:34+0000	CODE_SMELL	false	"unused / "	Article-CMS---FlaskWebProject-II:nd081-c1-provisioning-microsoft-azure-vms-project-starter-master/FlaskWebProject/views.py		MAIN	{startLine=126.0, endLine=126.0, startOffset=20.0, endOffset=34.0}	5min	AYa0qgMq1m6JgciZ3F6v	83a827df9ffaef5469f03fa95321f72c	OPEN
MAJOR	2023-03-06T02:04:34+0000		126.0		python:S1172	Article-CMS---FlaskWebProject-II	5min		"Remove the unused function parameter ""scopes""."	2023-03-06T02:04:34+0000	CODE_SMELL	false	"unused / "	Article-CMS---FlaskWebProject-II:nd081-c1-provisioning-microsoft-azure-vms-project-starter-master/FlaskWebProject/views.py		MAIN	{startLine=126.0, endLine=126.0, startOffset=36.0, endOffset=47.0}	5min	AYa0qgMq1m6JgciZ3F6w	83a827df9ffaef5469f03fa95321f72c	OPEN
INFO	2023-03-06T02:04:34+0000		127.0		python:S1135	Article-CMS---FlaskWebProject-II	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:04:34+0000	CODE_SMELL	false	"cwe / "	Article-CMS---FlaskWebProject-II:nd081-c1-provisioning-microsoft-azure-vms-project-starter-master/FlaskWebProject/views.py		MAIN	{startLine=127.0, endLine=127.0, startOffset=4.0, endOffset=74.0}	0min	AYa0qgMq1m6JgciZ3F6x	fb0e34177163bcbbb66b3c21128312fc	OPEN
MAJOR	2023-03-06T02:04:34+0000		34.0		python:S125	Article-CMS---FlaskWebProject-II	5min		Remove this commented out code.	2023-03-06T02:04:34+0000	CODE_SMELL	false	"unused / "	Article-CMS---FlaskWebProject-II:nd081-c1-provisioning-microsoft-azure-vms-project-starter-master/config.py		MAIN	{startLine=34.0, endLine=34.0, startOffset=4.0, endOffset=80.0}	5min	AYa0qgM11m6JgciZ3F63	73403d70e0894245e537e0f2e8d4ad81	OPEN
