severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-06T02:09:35+0000		9.0		python:S5806	Azure-Microservices---Lessons	5min		Rename this variable; it shadows a builtin.	2023-03-06T02:09:35+0000	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	Azure-Microservices---Lessons:nd081-c2-Azure-Microservices-Exercises-master/Lab2-Create-Functions-with-MongoDB/solution/getNote/__init__.py		MAIN	{startLine=9.0, endLine=9.0, startOffset=4.0, endOffset=6.0}	5min	AYa0rpds1m6JgciZ3H_W	2819e23d78d60a1c4a420ba5ef4e4a30	OPEN
MINOR	2023-03-06T02:09:35+0000		23.0		python:S1481	Azure-Microservices---Lessons	5min		"Remove the unused local variable ""e""."	2023-03-06T02:09:35+0000	CODE_SMELL	false	"unused / "	Azure-Microservices---Lessons:nd081-c2-Azure-Microservices-Exercises-master/Lab2-Create-Functions-with-MongoDB/solution/getNote/__init__.py		MAIN	{startLine=23.0, endLine=23.0, startOffset=34.0, endOffset=35.0}	5min	AYa0rpds1m6JgciZ3H_V	10acbda15647c6a2f2d845315cec0b59	OPEN
MAJOR	2023-03-06T02:09:35+0000		7.0		python:S1172	Azure-Microservices---Lessons	5min		"Remove the unused function parameter ""req""."	2023-03-06T02:09:35+0000	CODE_SMELL	false	"unused / "	Azure-Microservices---Lessons:nd081-c2-Azure-Microservices-Exercises-master/Lab2-Create-Functions-with-MongoDB/solution/getNotes/__init__.py		MAIN	{startLine=7.0, endLine=7.0, startOffset=9.0, endOffset=30.0}	5min	AYa0rpdw1m6JgciZ3H_Y	eda7662221dede838ec2658cd70a0536	OPEN
BLOCKER	2023-03-06T02:09:35+0000		8.0		secrets:S6338	Azure-Microservices---Lessons	30min		Make sure this Azure Storage Account Key is not disclosed.	2023-03-06T02:09:35+0000	VULNERABILITY	false	"cwe / owasp-a3 / sans-top25-porous / "	Azure-Microservices---Lessons:nd081-c2-Azure-Microservices-Exercises-master/Lab2-Create-Functions-with-MongoDB/solution/local.settings copy.json		MAIN	{startLine=8.0, endLine=8.0, startOffset=125.0, endOffset=213.0}	30min	AYa0rpdv1m6JgciZ3H_X	3684a05bf335ebf6cbcc3faa5c4e5f9e	OPEN
MAJOR	2023-03-06T02:09:35+0000		16.0		python:S3457	Azure-Microservices---Lessons	10min		Remove 1 unexpected argument(s).	2023-03-06T02:09:35+0000	CODE_SMELL	false	"confusing / "	Azure-Microservices---Lessons:nd081-c2-Azure-Microservices-Exercises-master/Lab4-Create-Event-Grid-and-Topic/solution/myEventGridNoteTrigger/__init__.py		MAIN	{startLine=16.0, endLine=16.0, startOffset=65.0, endOffset=71.0}	10min	AYa0rpeA1m6JgciZ3H_p	ab250dbcf114b4fddb2922dbe608c44f	OPEN
MAJOR	2023-03-06T02:09:35+0000		8.0		python:S1172	Azure-Microservices---Lessons	5min		"Remove the unused function parameter ""req""."	2023-03-06T02:09:35+0000	CODE_SMELL	false	"unused / "	Azure-Microservices---Lessons:nd081-c2-Azure-Microservices-Exercises-master/Lab6-AzureFunction-Triggers-Notification/solution/server/httpTriggerOutputSendGrid/__init__.py		MAIN	{startLine=8.0, endLine=8.0, startOffset=9.0, endOffset=30.0}	5min	AYa0rpd-1m6JgciZ3H_n	27df5033ef69518fa887d5b490435e26	OPEN
MINOR	2023-03-06T02:09:35+0000		8.0		python:S117	Azure-Microservices---Lessons	2min		"Rename this parameter ""sendGridMessage"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:09:35+0000	CODE_SMELL	false	"convention / "	Azure-Microservices---Lessons:nd081-c2-Azure-Microservices-Exercises-master/Lab6-AzureFunction-Triggers-Notification/solution/server/httpTriggerOutputSendGrid/__init__.py		MAIN	{startLine=8.0, endLine=8.0, startOffset=32.0, endOffset=47.0}	2min	AYa0rpd-1m6JgciZ3H_o	27df5033ef69518fa887d5b490435e26	OPEN
MAJOR	2023-03-06T02:09:35+0000		16.0		python:S3457	Azure-Microservices---Lessons	10min		Remove 1 unexpected argument(s).	2023-03-06T02:09:35+0000	CODE_SMELL	false	"confusing / "	Azure-Microservices---Lessons:nd081-c2-Azure-Microservices-Exercises-master/Lab6-AzureFunction-Triggers-Notification/solution/server/myEventGridNoteTrigger/__init__.py		MAIN	{startLine=16.0, endLine=16.0, startOffset=65.0, endOffset=71.0}	10min	AYa0rpd91m6JgciZ3H_m	ab250dbcf114b4fddb2922dbe608c44f	OPEN
MAJOR	2023-03-06T02:09:35+0000		7.0		python:S1172	Azure-Microservices---Lessons	5min		"Remove the unused function parameter ""req""."	2023-03-06T02:09:35+0000	CODE_SMELL	false	"unused / "	Azure-Microservices---Lessons:nd081-c2-Azure-Microservices-Exercises-master/Lab7-Deploy-Your-Azure-Functions/server/getNotes/__init__.py		MAIN	{startLine=7.0, endLine=7.0, startOffset=9.0, endOffset=30.0}	5min	AYa0rpd01m6JgciZ3H_b	eda7662221dede838ec2658cd70a0536	OPEN
CRITICAL	2023-03-06T02:09:35+0000		21.0		python:S5754	Azure-Microservices---Lessons	5min		Specify an exception class to catch or reraise the exception	2023-03-06T02:09:35+0000	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	Azure-Microservices---Lessons:nd081-c2-Azure-Microservices-Exercises-master/Lab7-Deploy-Your-Azure-Functions/server/getNotes/__init__.py		MAIN	{startLine=21.0, endLine=21.0, startOffset=4.0, endOffset=10.0}	5min	AYa0rpd01m6JgciZ3H_c	3e264f5fbab10735799511f21ca70842	OPEN
