severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-06T01:24:13+0000		98.0		python:S117	Building-Scalable-Apps-with-Google-App-Engine-	2min		"Rename this parameter ""displayName"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T01:24:13+0000	CODE_SMELL	false	"convention / "	Building-Scalable-Apps-with-Google-App-Engine-:ud858-master/ConferenceCentral_Complete/conference.py		MAIN	{startLine=98.0, endLine=98.0, startOffset=42.0, endOffset=53.0}	2min	AYa0hRh71m6JgciZ29Od	993e0b0b3bb170d520fad2ea287d5341	OPEN
CRITICAL	2023-03-06T01:24:13+0000		121.0		python:S1192	Building-Scalable-Apps-with-Google-App-Engine-	8min		Define a constant instead of duplicating this literal 'Authorization required' 4 times.	2023-03-06T01:24:13+0000	CODE_SMELL	false	"design / "	Building-Scalable-Apps-with-Google-App-Engine-:ud858-master/ConferenceCentral_Complete/conference.py	"{locations=[{component=Building-Scalable-Apps-with-Google-App-Engine-:ud858-master/ConferenceCentral_Complete/conference.py, textRange={startLine=172.0, endLine=172.0, startOffset=50.0, endOffset=74.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Building-Scalable-Apps-with-Google-App-Engine-:ud858-master/ConferenceCentral_Complete/conference.py, textRange={startLine=246.0, endLine=246.0, startOffset=50.0, endOffset=74.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Building-Scalable-Apps-with-Google-App-Engine-:ud858-master/ConferenceCentral_Complete/conference.py, textRange={startLine=353.0, endLine=353.0, startOffset=50.0, endOffset=74.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=121.0, endLine=121.0, startOffset=50.0, endOffset=74.0}	8min	AYa0hRh71m6JgciZ29Ob	0fa896e5ebcb9689d4596d4f30574fe0	OPEN
CRITICAL	2023-03-06T01:24:13+0000		140.0		python:S1192	Building-Scalable-Apps-with-Google-App-Engine-	6min		"Define a constant instead of duplicating this literal ""%Y-%m-%d"" 3 times."	2023-03-06T01:24:13+0000	CODE_SMELL	false	"design / "	Building-Scalable-Apps-with-Google-App-Engine-:ud858-master/ConferenceCentral_Complete/conference.py	"{locations=[{component=Building-Scalable-Apps-with-Google-App-Engine-:ud858-master/ConferenceCentral_Complete/conference.py, textRange={startLine=145.0, endLine=145.0, startOffset=70.0, endOffset=80.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Building-Scalable-Apps-with-Google-App-Engine-:ud858-master/ConferenceCentral_Complete/conference.py, textRange={startLine=198.0, endLine=198.0, startOffset=51.0, endOffset=61.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=140.0, endLine=140.0, startOffset=74.0, endOffset=84.0}	6min	AYa0hRh71m6JgciZ29Oa	2282ac35dab7bde11b44d045d0171e12	OPEN
MAJOR	2023-03-06T01:24:13+0000		176.0		python:S1854	Building-Scalable-Apps-with-Google-App-Engine-	15min		Remove this assignment to local variable 'data'; the value is never used.	2023-03-06T01:24:13+0000	CODE_SMELL	false	"cwe / unused / "	Building-Scalable-Apps-with-Google-App-Engine-:ud858-master/ConferenceCentral_Complete/conference.py		MAIN	{startLine=176.0, endLine=176.0, startOffset=8.0, endOffset=91.0}	15min	AYa0hRh71m6JgciZ29Oe	876c9937f5c07c5d2766e62458acea66	OPEN
CRITICAL	2023-03-06T01:24:13+0000		183.0		python:S1192	Building-Scalable-Apps-with-Google-App-Engine-	6min		Define a constant instead of duplicating this literal 'No conference found with key: %s' 3 times.	2023-03-06T01:24:13+0000	CODE_SMELL	false	"design / "	Building-Scalable-Apps-with-Google-App-Engine-:ud858-master/ConferenceCentral_Complete/conference.py	"{locations=[{component=Building-Scalable-Apps-with-Google-App-Engine-:ud858-master/ConferenceCentral_Complete/conference.py, textRange={startLine=232.0, endLine=232.0, startOffset=16.0, endOffset=50.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Building-Scalable-Apps-with-Google-App-Engine-:ud858-master/ConferenceCentral_Complete/conference.py, textRange={startLine=457.0, endLine=457.0, startOffset=16.0, endOffset=50.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=183.0, endLine=183.0, startOffset=16.0, endOffset=50.0}	6min	AYa0hRh71m6JgciZ29Oc	79f5c4b059670ea632e3d2cd114a9e76	OPEN
MAJOR	2023-03-06T01:24:13+0000		234.0		python:S125	Building-Scalable-Apps-with-Google-App-Engine-	5min		Remove this commented out code.	2023-03-06T01:24:13+0000	CODE_SMELL	false	"unused / "	Building-Scalable-Apps-with-Google-App-Engine-:ud858-master/ConferenceCentral_Complete/conference.py		MAIN	{startLine=234.0, endLine=234.0, startOffset=8.0, endOffset=31.0}	5min	AYa0hRh71m6JgciZ29Of	09b16705769c77e61f2322be6d2815ec	OPEN
MAJOR	2023-03-06T01:24:13+0000		369.0		python:S125	Building-Scalable-Apps-with-Google-App-Engine-	5min		Remove this commented out code.	2023-03-06T01:24:13+0000	CODE_SMELL	false	"unused / "	Building-Scalable-Apps-with-Google-App-Engine-:ud858-master/ConferenceCentral_Complete/conference.py		MAIN	{startLine=369.0, endLine=369.0, startOffset=28.0, endOffset=44.0}	5min	AYa0hRh71m6JgciZ29Og	a0538f43c2b222d55d1369905a1611f4	OPEN
MAJOR	2023-03-06T01:24:13+0000		384.0		python:S125	Building-Scalable-Apps-with-Google-App-Engine-	5min		Remove this commented out code.	2023-03-06T01:24:13+0000	CODE_SMELL	false	"unused / "	Building-Scalable-Apps-with-Google-App-Engine-:ud858-master/ConferenceCentral_Complete/conference.py		MAIN	{startLine=384.0, endLine=384.0, startOffset=24.0, endOffset=52.0}	5min	AYa0hRh71m6JgciZ29Oh	254f3215536cba73642f49daa55d893b	OPEN
MAJOR	2023-03-06T01:24:13+0000		390.0		python:S125	Building-Scalable-Apps-with-Google-App-Engine-	5min		Remove this commented out code.	2023-03-06T01:24:13+0000	CODE_SMELL	false	"unused / "	Building-Scalable-Apps-with-Google-App-Engine-:ud858-master/ConferenceCentral_Complete/conference.py		MAIN	{startLine=390.0, endLine=390.0, startOffset=8.0, endOffset=28.0}	5min	AYa0hRh71m6JgciZ29Oi	b8b84313d58542b1fb318c981a6ac82c	OPEN
MAJOR	2023-03-06T01:24:13+0000		540.0		python:S125	Building-Scalable-Apps-with-Google-App-Engine-	5min		Remove this commented out code.	2023-03-06T01:24:13+0000	CODE_SMELL	false	"unused / "	Building-Scalable-Apps-with-Google-App-Engine-:ud858-master/ConferenceCentral_Complete/conference.py		MAIN	{startLine=540.0, endLine=540.0, startOffset=8.0, endOffset=24.0}	5min	AYa0hRh71m6JgciZ29Oj	0d4099ef728380d90ab407f4e1e67de3	OPEN
