severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
INFO	2023-03-06T02:02:02+0000		7.0		python:S1135	Data-Engineering-Nanodegree---Data-Lakes-with-Spark	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:02:02+0000	CODE_SMELL	false	"cwe / "	Data-Engineering-Nanodegree---Data-Lakes-with-Spark:nd027-c3-data-lakes-with-spark-master/Debugging_And_Optimization/exercises/starter/Introduction_data_skewness/skewness_introduction.py		MAIN	{startLine=7.0, endLine=7.0, startOffset=1.0, endOffset=59.0}	0min	AYa0p7Fm1m6JgciZ3Ep3	25164380766bdce2a6eed57f62f2afda	OPEN
INFO	2023-03-06T02:02:02+0000		15.0		python:S1135	Data-Engineering-Nanodegree---Data-Lakes-with-Spark	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:02:02+0000	CODE_SMELL	false	"cwe / "	Data-Engineering-Nanodegree---Data-Lakes-with-Spark:nd027-c3-data-lakes-with-spark-master/Debugging_And_Optimization/exercises/starter/Introduction_data_skewness/skewness_introduction.py		MAIN	{startLine=15.0, endLine=15.0, startOffset=4.0, endOffset=46.0}	0min	AYa0p7Fm1m6JgciZ3Ep4	599626939ecf6821ed6a9a17624275e6	OPEN
MINOR	2023-03-06T02:02:02+0000		16.0		python:S1481	Data-Engineering-Nanodegree---Data-Lakes-with-Spark	5min		"Remove the unused local variable ""year_df""."	2023-03-06T02:02:02+0000	CODE_SMELL	false	"unused / "	Data-Engineering-Nanodegree---Data-Lakes-with-Spark:nd027-c3-data-lakes-with-spark-master/Debugging_And_Optimization/exercises/starter/Introduction_data_skewness/skewness_introduction.py		MAIN	{startLine=16.0, endLine=16.0, startOffset=1.0, endOffset=8.0}	5min	AYa0p7Fm1m6JgciZ3Ep2	c7703a8ba6dac3db039c6135c8ce624c	OPEN
INFO	2023-03-06T02:02:02+0000		19.0		python:S1135	Data-Engineering-Nanodegree---Data-Lakes-with-Spark	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:02:02+0000	CODE_SMELL	false	"cwe / "	Data-Engineering-Nanodegree---Data-Lakes-with-Spark:nd027-c3-data-lakes-with-spark-master/Debugging_And_Optimization/exercises/starter/Introduction_data_skewness/skewness_introduction.py		MAIN	{startLine=19.0, endLine=19.0, startOffset=4.0, endOffset=79.0}	0min	AYa0p7Fm1m6JgciZ3Ep5	810e1b6f53725d1c249f43498d2a0fdb	OPEN
INFO	2023-03-06T02:02:02+0000		20.0		python:S1135	Data-Engineering-Nanodegree---Data-Lakes-with-Spark	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:02:02+0000	CODE_SMELL	false	"cwe / "	Data-Engineering-Nanodegree---Data-Lakes-with-Spark:nd027-c3-data-lakes-with-spark-master/Debugging_And_Optimization/exercises/starter/Introduction_data_skewness/skewness_introduction.py		MAIN	{startLine=20.0, endLine=20.0, startOffset=4.0, endOffset=35.0}	0min	AYa0p7Fm1m6JgciZ3Ep6	03570c076ef0cc466cd49efda4bae453	OPEN
INFO	2023-03-06T02:02:02+0000		6.0		python:S1135	Data-Engineering-Nanodegree---Data-Lakes-with-Spark	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:02:02+0000	CODE_SMELL	false	"cwe / "	Data-Engineering-Nanodegree---Data-Lakes-with-Spark:nd027-c3-data-lakes-with-spark-master/Debugging_And_Optimization/exercises/starter/Repartition/repartition.py		MAIN	{startLine=6.0, endLine=6.0, startOffset=4.0, endOffset=28.0}	0min	AYa0p7Fo1m6JgciZ3Ep7	27549bc310e56fe5cfade2313a1d45ea	OPEN
INFO	2023-03-06T02:02:02+0000		10.0		python:S1135	Data-Engineering-Nanodegree---Data-Lakes-with-Spark	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:02:02+0000	CODE_SMELL	false	"cwe / "	Data-Engineering-Nanodegree---Data-Lakes-with-Spark:nd027-c3-data-lakes-with-spark-master/Debugging_And_Optimization/exercises/starter/Repartition/repartition.py		MAIN	{startLine=10.0, endLine=10.0, startOffset=4.0, endOffset=80.0}	0min	AYa0p7Fo1m6JgciZ3Ep8	fde625eb1f09749f9d0f658b27573234	OPEN
INFO	2023-03-06T02:02:02+0000		17.0		python:S1135	Data-Engineering-Nanodegree---Data-Lakes-with-Spark	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:02:02+0000	CODE_SMELL	false	"cwe / "	Data-Engineering-Nanodegree---Data-Lakes-with-Spark:nd027-c3-data-lakes-with-spark-master/Debugging_And_Optimization/exercises/starter/Repartition/repartition.py		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=41.0}	0min	AYa0p7Fo1m6JgciZ3Ep9	910480cbf6af0bb20feff4f21dd7be18	OPEN
INFO	2023-03-06T02:02:02+0000		1.0		python:S1135	Data-Engineering-Nanodegree---Data-Lakes-with-Spark	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:02:02+0000	CODE_SMELL	false	"cwe / "	Data-Engineering-Nanodegree---Data-Lakes-with-Spark:nd027-c3-data-lakes-with-spark-master/Debugging_And_Optimization/exercises/starter/practice_broadcast_joins/broadcast_example.py		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=34.0}	0min	AYa0p7Fk1m6JgciZ3Ep1	2ace02d19e1af8f8716a3943a6d20d19	OPEN
INFO	2023-03-06T02:02:02+0000		7.0		python:S1135	Data-Engineering-Nanodegree---Data-Lakes-with-Spark	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:02:02+0000	CODE_SMELL	false	"cwe / "	Data-Engineering-Nanodegree---Data-Lakes-with-Spark:nd027-c3-data-lakes-with-spark-master/Setting_Spark_Cluster_In_AWS/exercises/starter/write_to_s3/file_util.py		MAIN	{startLine=7.0, endLine=7.0, startOffset=1.0, endOffset=33.0}	0min	AYa0p7Fg1m6JgciZ3Epz	d82081ec3559e4e2e99bb91d0c82845d	OPEN
