severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
INFO	2023-03-06T02:06:05+0000		10.0		python:S1135	Deploying-the-Neighborly-App-with-Azure-Functions	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:06:05+0000	CODE_SMELL	false	"cwe / "	Deploying-the-Neighborly-App-with-Azure-Functions:nd081-c2-Building-and-deploying-cloud-native-applications-from-scratch-project-starter-master/NeighborlyAPI/createAdvertisement/__init__.py		MAIN	{startLine=10.0, endLine=10.0, startOffset=31.0, endOffset=93.0}	0min	AYa0q2fQ1m6JgciZ3Go9	547066284950964af94e07175b390081	OPEN
MINOR	2023-03-06T02:06:05+0000		15.0		python:S1481	Deploying-the-Neighborly-App-with-Azure-Functions	5min		"Remove the unused local variable ""rec_id1""."	2023-03-06T02:06:05+0000	CODE_SMELL	false	"unused / "	Deploying-the-Neighborly-App-with-Azure-Functions:nd081-c2-Building-and-deploying-cloud-native-applications-from-scratch-project-starter-master/NeighborlyAPI/createAdvertisement/__init__.py		MAIN	{startLine=15.0, endLine=15.0, startOffset=12.0, endOffset=19.0}	5min	AYa0q2fQ1m6JgciZ3Go8	7b5954b24b2b1dbf760cb6bd439d9f4a	OPEN
MAJOR	2023-03-06T02:06:05+0000		8.0		python:S5806	Deploying-the-Neighborly-App-with-Azure-Functions	5min		Rename this variable; it shadows a builtin.	2023-03-06T02:06:05+0000	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	Deploying-the-Neighborly-App-with-Azure-Functions:nd081-c2-Building-and-deploying-cloud-native-applications-from-scratch-project-starter-master/NeighborlyAPI/deleteAdvertisement/__init__.py		MAIN	{startLine=8.0, endLine=8.0, startOffset=4.0, endOffset=6.0}	5min	AYa0q2fV1m6JgciZ3GpC	2819e23d78d60a1c4a420ba5ef4e4a30	OPEN
INFO	2023-03-06T02:06:05+0000		12.0		python:S1135	Deploying-the-Neighborly-App-with-Azure-Functions	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:06:05+0000	CODE_SMELL	false	"cwe / "	Deploying-the-Neighborly-App-with-Azure-Functions:nd081-c2-Building-and-deploying-cloud-native-applications-from-scratch-project-starter-master/NeighborlyAPI/deleteAdvertisement/__init__.py		MAIN	{startLine=12.0, endLine=12.0, startOffset=31.0, endOffset=93.0}	0min	AYa0q2fV1m6JgciZ3GpE	547066284950964af94e07175b390081	OPEN
MINOR	2023-03-06T02:06:05+0000		18.0		python:S1481	Deploying-the-Neighborly-App-with-Azure-Functions	5min		"Remove the unused local variable ""result""."	2023-03-06T02:06:05+0000	CODE_SMELL	false	"unused / "	Deploying-the-Neighborly-App-with-Azure-Functions:nd081-c2-Building-and-deploying-cloud-native-applications-from-scratch-project-starter-master/NeighborlyAPI/deleteAdvertisement/__init__.py		MAIN	{startLine=18.0, endLine=18.0, startOffset=12.0, endOffset=18.0}	5min	AYa0q2fV1m6JgciZ3GpB	f8f96aa8b44951fb429fa1fbba169795	OPEN
CRITICAL	2023-03-06T02:06:05+0000		21.0		python:S5754	Deploying-the-Neighborly-App-with-Azure-Functions	5min		Specify an exception class to catch or reraise the exception	2023-03-06T02:06:05+0000	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	Deploying-the-Neighborly-App-with-Azure-Functions:nd081-c2-Building-and-deploying-cloud-native-applications-from-scratch-project-starter-master/NeighborlyAPI/deleteAdvertisement/__init__.py		MAIN	{startLine=21.0, endLine=21.0, startOffset=8.0, endOffset=14.0}	5min	AYa0q2fV1m6JgciZ3GpD	3e264f5fbab10735799511f21ca70842	OPEN
MAJOR	2023-03-06T02:06:05+0000		12.0		python:S5806	Deploying-the-Neighborly-App-with-Azure-Functions	5min		Rename this variable; it shadows a builtin.	2023-03-06T02:06:05+0000	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	Deploying-the-Neighborly-App-with-Azure-Functions:nd081-c2-Building-and-deploying-cloud-native-applications-from-scratch-project-starter-master/NeighborlyAPI/getAdvertisement/__init__.py		MAIN	{startLine=12.0, endLine=12.0, startOffset=4.0, endOffset=6.0}	5min	AYa0q2fL1m6JgciZ3Go1	2819e23d78d60a1c4a420ba5ef4e4a30	OPEN
INFO	2023-03-06T02:06:05+0000		17.0		python:S1135	Deploying-the-Neighborly-App-with-Azure-Functions	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:06:05+0000	CODE_SMELL	false	"cwe / "	Deploying-the-Neighborly-App-with-Azure-Functions:nd081-c2-Building-and-deploying-cloud-native-applications-from-scratch-project-starter-master/NeighborlyAPI/getAdvertisement/__init__.py		MAIN	{startLine=17.0, endLine=17.0, startOffset=31.0, endOffset=93.0}	0min	AYa0q2fL1m6JgciZ3Go3	547066284950964af94e07175b390081	OPEN
CRITICAL	2023-03-06T02:06:05+0000		30.0		python:S5754	Deploying-the-Neighborly-App-with-Azure-Functions	5min		Specify an exception class to catch or reraise the exception	2023-03-06T02:06:05+0000	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	Deploying-the-Neighborly-App-with-Azure-Functions:nd081-c2-Building-and-deploying-cloud-native-applications-from-scratch-project-starter-master/NeighborlyAPI/getAdvertisement/__init__.py		MAIN	{startLine=30.0, endLine=30.0, startOffset=8.0, endOffset=14.0}	5min	AYa0q2fL1m6JgciZ3Go2	3e264f5fbab10735799511f21ca70842	OPEN
MAJOR	2023-03-06T02:06:05+0000		6.0		python:S1172	Deploying-the-Neighborly-App-with-Azure-Functions	5min		"Remove the unused function parameter ""req""."	2023-03-06T02:06:05+0000	CODE_SMELL	false	"unused / "	Deploying-the-Neighborly-App-with-Azure-Functions:nd081-c2-Building-and-deploying-cloud-native-applications-from-scratch-project-starter-master/NeighborlyAPI/getAdvertisements/__init__.py		MAIN	{startLine=6.0, endLine=6.0, startOffset=9.0, endOffset=30.0}	5min	AYa0q2fJ1m6JgciZ3Goy	eda7662221dede838ec2658cd70a0536	OPEN
INFO	2023-03-06T02:06:05+0000		9.0		python:S1135	Deploying-the-Neighborly-App-with-Azure-Functions	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:06:05+0000	CODE_SMELL	false	"cwe / "	Deploying-the-Neighborly-App-with-Azure-Functions:nd081-c2-Building-and-deploying-cloud-native-applications-from-scratch-project-starter-master/NeighborlyAPI/getAdvertisements/__init__.py		MAIN	{startLine=9.0, endLine=9.0, startOffset=27.0, endOffset=89.0}	0min	AYa0q2fJ1m6JgciZ3Go0	547066284950964af94e07175b390081	OPEN
CRITICAL	2023-03-06T02:06:05+0000		19.0		python:S5754	Deploying-the-Neighborly-App-with-Azure-Functions	5min		Specify an exception class to catch or reraise the exception	2023-03-06T02:06:05+0000	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	Deploying-the-Neighborly-App-with-Azure-Functions:nd081-c2-Building-and-deploying-cloud-native-applications-from-scratch-project-starter-master/NeighborlyAPI/getAdvertisements/__init__.py		MAIN	{startLine=19.0, endLine=19.0, startOffset=4.0, endOffset=10.0}	5min	AYa0q2fJ1m6JgciZ3Goz	3e264f5fbab10735799511f21ca70842	OPEN
