severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
INFO	2023-03-06T02:12:25+0000		45.0		python:S1135	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:12:25+0000	CODE_SMELL	false	"cwe / "	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects:cd0010-advanced-python-techniques-project-starter-master/database.py		MAIN	{startLine=45.0, endLine=45.0, startOffset=8.0, endOffset=73.0}	0min	AYa0sUMY1m6JgciZ3LM1	b9528213db98b64d74ce8b26b1633f08	OPEN
INFO	2023-03-06T02:12:25+0000		47.0		python:S1135	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:12:25+0000	CODE_SMELL	false	"cwe / "	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects:cd0010-advanced-python-techniques-project-starter-master/database.py		MAIN	{startLine=47.0, endLine=47.0, startOffset=8.0, endOffset=66.0}	0min	AYa0sUMY1m6JgciZ3LM2	48477667415f8b50ff416ac98a2ba713	OPEN
MAJOR	2023-03-06T02:12:25+0000		49.0		python:S1172	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects	5min		"Remove the unused function parameter ""designation""."	2023-03-06T02:12:25+0000	CODE_SMELL	false	"unused / "	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects:cd0010-advanced-python-techniques-project-starter-master/database.py		MAIN	{startLine=49.0, endLine=49.0, startOffset=37.0, endOffset=48.0}	5min	AYa0sUMY1m6JgciZ3LM3	7b867b693d114396afe7153d0b63d9c4	OPEN
INFO	2023-03-06T02:12:25+0000		62.0		python:S1135	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:12:25+0000	CODE_SMELL	false	"cwe / "	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects:cd0010-advanced-python-techniques-project-starter-master/database.py		MAIN	{startLine=62.0, endLine=62.0, startOffset=8.0, endOffset=56.0}	0min	AYa0sUMY1m6JgciZ3LM4	d0315a23cb1a738e3567b3f427a94d8b	OPEN
MAJOR	2023-03-06T02:12:25+0000		65.0		python:S1172	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects	5min		"Remove the unused function parameter ""name""."	2023-03-06T02:12:25+0000	CODE_SMELL	false	"unused / "	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects:cd0010-advanced-python-techniques-project-starter-master/database.py		MAIN	{startLine=65.0, endLine=65.0, startOffset=30.0, endOffset=34.0}	5min	AYa0sUMY1m6JgciZ3LM5	1e10036ae8be2295b3ed0f3d683539af	OPEN
INFO	2023-03-06T02:12:25+0000		79.0		python:S1135	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:12:25+0000	CODE_SMELL	false	"cwe / "	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects:cd0010-advanced-python-techniques-project-starter-master/database.py		MAIN	{startLine=79.0, endLine=79.0, startOffset=8.0, endOffset=41.0}	0min	AYa0sUMY1m6JgciZ3LM6	4bbab016137bfe9975b70aaf1ec514a8	OPEN
MAJOR	2023-03-06T02:12:25+0000		82.0		python:S1172	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects	5min		"Remove the unused function parameter ""filters""."	2023-03-06T02:12:25+0000	CODE_SMELL	false	"unused / "	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects:cd0010-advanced-python-techniques-project-starter-master/database.py		MAIN	{startLine=82.0, endLine=82.0, startOffset=20.0, endOffset=30.0}	5min	AYa0sUMY1m6JgciZ3LM7	b1e5863767ba5ea3c3833fe60fa07c26	OPEN
INFO	2023-03-06T02:12:25+0000		96.0		python:S1135	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:12:25+0000	CODE_SMELL	false	"cwe / "	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects:cd0010-advanced-python-techniques-project-starter-master/database.py		MAIN	{startLine=96.0, endLine=96.0, startOffset=8.0, endOffset=79.0}	0min	AYa0sUMY1m6JgciZ3LM8	06a8935e245e3c9723235fd5092c6088	OPEN
MAJOR	2023-03-06T02:12:25+0000		21.0		python:S1172	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects	5min		"Remove the unused function parameter ""neo_csv_path""."	2023-03-06T02:12:25+0000	CODE_SMELL	false	"unused / "	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects:cd0010-advanced-python-techniques-project-starter-master/extract.py		MAIN	{startLine=21.0, endLine=21.0, startOffset=14.0, endOffset=26.0}	5min	AYa0sUMc1m6JgciZ3LNC	fe5be74db50677f10bddcecefd0df668	OPEN
INFO	2023-03-06T02:12:25+0000		27.0		python:S1135	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:12:25+0000	CODE_SMELL	false	"cwe / "	Intermediate-Python-Nanodegree---Explore-Close-Approaches-of-Near-Earth-Objects:cd0010-advanced-python-techniques-project-starter-master/extract.py		MAIN	{startLine=27.0, endLine=27.0, startOffset=4.0, endOffset=50.0}	0min	AYa0sUMc1m6JgciZ3LND	982c0e8b9a6be2ed9f57b87fecddc027	OPEN
