severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-06T02:02:21+0000		65.0		python:S125	Flying-Car-Nanodegree-Progra---Controls-Crazyflie	5min		Remove this commented out code.	2023-03-06T02:02:21+0000	CODE_SMELL	false	"unused / "	Flying-Car-Nanodegree-Progra---Controls-Crazyflie:FCND-Controls-Crazyflie-master/attitude_flyer.py		MAIN	{startLine=65.0, endLine=65.0, startOffset=0.0, endOffset=19.0}	5min	AYa0p_WL1m6JgciZ3Ezu	498bc803d6b6b4429c847b6b633cc394	OPEN
MAJOR	2023-03-06T02:02:21+0000		77.0		python:S125	Flying-Car-Nanodegree-Progra---Controls-Crazyflie	5min		Remove this commented out code.	2023-03-06T02:02:21+0000	CODE_SMELL	false	"unused / "	Flying-Car-Nanodegree-Progra---Controls-Crazyflie:FCND-Controls-Crazyflie-master/attitude_flyer.py		MAIN	{startLine=77.0, endLine=77.0, startOffset=0.0, endOffset=19.0}	5min	AYa0p_WL1m6JgciZ3Ezv	498bc803d6b6b4429c847b6b633cc394	OPEN
MINOR	2023-03-06T02:02:21+0000		41.0		python:S1481	Flying-Car-Nanodegree-Progra---Controls-Crazyflie	5min		"Remove the unused local variable ""hdot_cmd""."	2023-03-06T02:02:21+0000	CODE_SMELL	false	"unused / "	Flying-Car-Nanodegree-Progra---Controls-Crazyflie:FCND-Controls-Crazyflie-master/inner_controller.py		MAIN	{startLine=41.0, endLine=41.0, startOffset=8.0, endOffset=16.0}	5min	AYa0p_WX1m6JgciZ3Ez4	9af10d291f1d6c2464ac37d356334161	OPEN
MINOR	2023-03-06T02:02:21+0000		42.0		python:S1481	Flying-Car-Nanodegree-Progra---Controls-Crazyflie	5min		"Remove the unused local variable ""hdot""."	2023-03-06T02:02:21+0000	CODE_SMELL	false	"unused / "	Flying-Car-Nanodegree-Progra---Controls-Crazyflie:FCND-Controls-Crazyflie-master/inner_controller.py		MAIN	{startLine=42.0, endLine=42.0, startOffset=8.0, endOffset=12.0}	5min	AYa0p_WX1m6JgciZ3Ez3	1448ec7230358f1503a93ec01b5571a1	OPEN
MAJOR	2023-03-06T02:02:21+0000		30.0		python:S1172	Flying-Car-Nanodegree-Progra---Controls-Crazyflie	5min		"Remove the unused function parameter ""pos_cmd""."	2023-03-06T02:02:21+0000	CODE_SMELL	false	"unused / "	Flying-Car-Nanodegree-Progra---Controls-Crazyflie:FCND-Controls-Crazyflie-master/outer_controller.py		MAIN	{startLine=30.0, endLine=30.0, startOffset=39.0, endOffset=46.0}	5min	AYa0p_WP1m6JgciZ3Ezw	0ff5e159e2c21ea742ac98c8a4966070	OPEN
MAJOR	2023-03-06T02:02:21+0000		30.0		python:S1172	Flying-Car-Nanodegree-Progra---Controls-Crazyflie	5min		"Remove the unused function parameter ""vel_cmd""."	2023-03-06T02:02:21+0000	CODE_SMELL	false	"unused / "	Flying-Car-Nanodegree-Progra---Controls-Crazyflie:FCND-Controls-Crazyflie-master/outer_controller.py		MAIN	{startLine=30.0, endLine=30.0, startOffset=53.0, endOffset=60.0}	5min	AYa0p_WP1m6JgciZ3Ezx	0ff5e159e2c21ea742ac98c8a4966070	OPEN
MAJOR	2023-03-06T02:02:21+0000		30.0		python:S1172	Flying-Car-Nanodegree-Progra---Controls-Crazyflie	5min		"Remove the unused function parameter ""pos""."	2023-03-06T02:02:21+0000	CODE_SMELL	false	"unused / "	Flying-Car-Nanodegree-Progra---Controls-Crazyflie:FCND-Controls-Crazyflie-master/outer_controller.py		MAIN	{startLine=30.0, endLine=30.0, startOffset=48.0, endOffset=51.0}	5min	AYa0p_WP1m6JgciZ3Ezy	0ff5e159e2c21ea742ac98c8a4966070	OPEN
MAJOR	2023-03-06T02:02:21+0000		51.0		python:S1172	Flying-Car-Nanodegree-Progra---Controls-Crazyflie	5min		"Remove the unused function parameter ""alt""."	2023-03-06T02:02:21+0000	CODE_SMELL	false	"unused / "	Flying-Car-Nanodegree-Progra---Controls-Crazyflie:FCND-Controls-Crazyflie-master/outer_controller.py		MAIN	{startLine=51.0, endLine=51.0, startOffset=40.0, endOffset=43.0}	5min	AYa0p_WP1m6JgciZ3Ez0	c110873c1911f3bbb957d4c21317ccbb	OPEN
MAJOR	2023-03-06T02:02:21+0000		51.0		python:S1172	Flying-Car-Nanodegree-Progra---Controls-Crazyflie	5min		"Remove the unused function parameter ""alt_cmd""."	2023-03-06T02:02:21+0000	CODE_SMELL	false	"unused / "	Flying-Car-Nanodegree-Progra---Controls-Crazyflie:FCND-Controls-Crazyflie-master/outer_controller.py		MAIN	{startLine=51.0, endLine=51.0, startOffset=31.0, endOffset=38.0}	5min	AYa0p_WP1m6JgciZ3Ezz	c110873c1911f3bbb957d4c21317ccbb	OPEN
INFO	2023-03-06T02:02:21+0000		57.0		python:S1135	Flying-Car-Nanodegree-Progra---Controls-Crazyflie	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:02:21+0000	CODE_SMELL	false	"cwe / "	Flying-Car-Nanodegree-Progra---Controls-Crazyflie:FCND-Controls-Crazyflie-master/trajectory_flyer.py		MAIN	{startLine=57.0, endLine=57.0, startOffset=8.0, endOffset=64.0}	0min	AYa0p_Wb1m6JgciZ3Ez5	f0f208f5d268fef4cbe09d053f731cd9	OPEN
