severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-06T01:59:56+0000		14.0		python:S125	Flying-Car-Nanodegree-Program---Drone-Python-API	5min		Remove this commented out code.	2023-03-06T01:59:56+0000	CODE_SMELL	false	"unused / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/examples/connect_drone.py		MAIN	{startLine=14.0, endLine=14.0, startOffset=4.0, endOffset=77.0}	5min	AYa0pcgg1m6JgciZ3DGZ	2612819ef0989c04bd7c5e38a689047c	OPEN
MAJOR	2023-03-06T01:59:56+0000		27.0		python:S5795	Flying-Car-Nanodegree-Program---Drone-Python-API	1min		"Replace this ""is not"" operator with ""!=""; identity operator is not reliable here."	2023-03-06T01:59:56+0000	CODE_SMELL	false	"suspicious / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/examples/websocket_server.py		MAIN	{startLine=27.0, endLine=27.0, startOffset=21.0, endOffset=27.0}	1min	AYa0pcgj1m6JgciZ3DGa	625a8a420a0d045756896031c3d804c4	OPEN
CRITICAL	2023-03-06T01:59:56+0000		43.0		python:S3776	Flying-Car-Nanodegree-Program---Drone-Python-API	8min		Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.	2023-03-06T01:59:56+0000	CODE_SMELL	false	"brain-overload / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/examples/websocket_server.py	"{locations=[{component=Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/examples/websocket_server.py, textRange={startLine=48.0, endLine=48.0, startOffset=4.0, endOffset=9.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/examples/websocket_server.py, textRange={startLine=51.0, endLine=51.0, startOffset=8.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/examples/websocket_server.py, textRange={startLine=54.0, endLine=54.0, startOffset=8.0, endOffset=12.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/examples/websocket_server.py, textRange={startLine=60.0, endLine=60.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/examples/websocket_server.py, textRange={startLine=61.0, endLine=61.0, startOffset=16.0, endOffset=19.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/examples/websocket_server.py, textRange={startLine=67.0, endLine=67.0, startOffset=12.0, endOffset=15.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/examples/websocket_server.py, textRange={startLine=68.0, endLine=68.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / "	MAIN	{startLine=43.0, endLine=43.0, startOffset=10.0, endOffset=15.0}	8min	AYa0pcgj1m6JgciZ3DGb	2e97e7e05b781aefa88ce513c32078f5	OPEN
MAJOR	2023-03-06T01:59:56+0000		92.0		python:S5795	Flying-Car-Nanodegree-Program---Drone-Python-API	1min		"Replace this ""is"" operator with ""==""; identity operator is not reliable here."	2023-03-06T01:59:56+0000	CODE_SMELL	false	"suspicious / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/examples/websocket_server.py		MAIN	{startLine=92.0, endLine=92.0, startOffset=29.0, endOffset=31.0}	1min	AYa0pcgj1m6JgciZ3DGc	1905f5a888a60366b88c102d10cafc14	OPEN
MAJOR	2023-03-06T01:59:56+0000		93.0		python:S108	Flying-Car-Nanodegree-Program---Drone-Python-API	5min		Either remove or fill this block of code.	2023-03-06T01:59:56+0000	CODE_SMELL	false	"suspicious / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/examples/websocket_server.py		MAIN	{startLine=93.0, endLine=93.0, startOffset=12.0, endOffset=16.0}	5min	AYa0pcgj1m6JgciZ3DGd	1a1dc91c907325c69271ddf0c944bc72	OPEN
INFO	2023-03-06T01:59:56+0000		15.0		python:S1135	Flying-Car-Nanodegree-Program---Drone-Python-API	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:59:56+0000	CODE_SMELL	false	"cwe / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/setup.py		MAIN	{startLine=15.0, endLine=15.0, startOffset=4.0, endOffset=26.0}	0min	AYa0pcgm1m6JgciZ3DGe	9d8ce336a9cb0efd897d3271de33cd29	OPEN
MAJOR	2023-03-06T01:59:56+0000		25.0		python:S5795	Flying-Car-Nanodegree-Program---Drone-Python-API	1min		"Replace this ""is not"" operator with ""!=""; identity operator is not reliable here."	2023-03-06T01:59:56+0000	CODE_SMELL	false	"suspicious / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/setup.py		MAIN	{startLine=25.0, endLine=25.0, startOffset=48.0, endOffset=54.0}	1min	AYa0pcgm1m6JgciZ3DGf	17253f2fc0a1ff9bad9a7b9410e35dc2	OPEN
MAJOR	2023-03-06T01:59:56+0000		8.0		python:S125	Flying-Car-Nanodegree-Program---Drone-Python-API	5min		Remove this commented out code.	2023-03-06T01:59:56+0000	CODE_SMELL	false	"unused / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/tests/test_server.py		MAIN	{startLine=8.0, endLine=8.0, startOffset=0.0, endOffset=18.0}	5min	AYa0pcgE1m6JgciZ3DFT	b355830f3107ea21c3a8c830dbb98b0f	OPEN
INFO	2023-03-06T01:59:56+0000		35.0		python:S1135	Flying-Car-Nanodegree-Program---Drone-Python-API	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:59:56+0000	CODE_SMELL	false	"cwe / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/tests/test_server.py		MAIN	{startLine=35.0, endLine=35.0, startOffset=8.0, endOffset=53.0}	0min	AYa0pcgE1m6JgciZ3DFU	b929890e97940b14d21ffd27df1c62b5	OPEN
MAJOR	2023-03-06T01:59:56+0000		56.0		python:S125	Flying-Car-Nanodegree-Program---Drone-Python-API	5min		Remove this commented out code.	2023-03-06T01:59:56+0000	CODE_SMELL	false	"unused / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/tests/test_server.py		MAIN	{startLine=56.0, endLine=56.0, startOffset=8.0, endOffset=110.0}	5min	AYa0pcgE1m6JgciZ3DFV	6a7200afe9eea02dc00b729a680e5c5b	OPEN
MAJOR	2023-03-06T01:59:56+0000		100.0		python:S125	Flying-Car-Nanodegree-Program---Drone-Python-API	5min		Remove this commented out code.	2023-03-06T01:59:56+0000	CODE_SMELL	false	"unused / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/tests/test_server.py		MAIN	{startLine=100.0, endLine=100.0, startOffset=8.0, endOffset=41.0}	5min	AYa0pcgE1m6JgciZ3DFW	48cba48407e57da8b51c8e41dd3ea5f6	OPEN
MAJOR	2023-03-06T01:59:56+0000		1.0		python:S125	Flying-Car-Nanodegree-Program---Drone-Python-API	5min		Remove this commented out code.	2023-03-06T01:59:56+0000	CODE_SMELL	false	"unused / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/udacidrone/__init__.py		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=16.0}	5min	AYa0pcgb1m6JgciZ3DGC	dd8499eb36fae3f93e0f3e154615a953	OPEN
INFO	2023-03-06T01:59:56+0000		8.0		python:S1135	Flying-Car-Nanodegree-Program---Drone-Python-API	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:59:56+0000	CODE_SMELL	false	"cwe / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/udacidrone/__init__.py		MAIN	{startLine=8.0, endLine=8.0, startOffset=0.0, endOffset=55.0}	0min	AYa0pcgb1m6JgciZ3DGD	0a884f3f4c36ba858a351c71dd025387	OPEN
MINOR	2023-03-06T01:59:56+0000		83.0		python:S1481	Flying-Car-Nanodegree-Program---Drone-Python-API	5min		"Remove the unused local variable ""e""."	2023-03-06T01:59:56+0000	CODE_SMELL	false	"unused / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/udacidrone/connection/connection.py		MAIN	{startLine=83.0, endLine=83.0, startOffset=32.0, endOffset=33.0}	5min	AYa0pcgS1m6JgciZ3DF3	5e11fcffc5ca1f600d0bf53d38f19ae7	OPEN
MINOR	2023-03-06T01:59:56+0000		89.0		python:S1481	Flying-Car-Nanodegree-Program---Drone-Python-API	5min		"Remove the unused local variable ""e""."	2023-03-06T01:59:56+0000	CODE_SMELL	false	"unused / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/udacidrone/connection/connection.py		MAIN	{startLine=89.0, endLine=89.0, startOffset=32.0, endOffset=33.0}	5min	AYa0pcgS1m6JgciZ3DF4	5e11fcffc5ca1f600d0bf53d38f19ae7	OPEN
INFO	2023-03-06T01:59:56+0000		125.0		python:S1135	Flying-Car-Nanodegree-Program---Drone-Python-API	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:59:56+0000	CODE_SMELL	false	"cwe / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/udacidrone/connection/crazyflie_connection.py		MAIN	{startLine=125.0, endLine=125.0, startOffset=8.0, endOffset=59.0}	0min	AYa0pcgP1m6JgciZ3DFg	23d919cc5bad47c6ea34b1caaa7d90f7	OPEN
INFO	2023-03-06T01:59:56+0000		134.0		python:S1135	Flying-Car-Nanodegree-Program---Drone-Python-API	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:59:56+0000	CODE_SMELL	false	"cwe / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/udacidrone/connection/crazyflie_connection.py		MAIN	{startLine=134.0, endLine=134.0, startOffset=8.0, endOffset=45.0}	0min	AYa0pcgP1m6JgciZ3DFh	ce82013ec0aa811f0371db92c91d2a79	OPEN
INFO	2023-03-06T01:59:56+0000		138.0		python:S1135	Flying-Car-Nanodegree-Program---Drone-Python-API	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:59:56+0000	CODE_SMELL	false	"cwe / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/udacidrone/connection/crazyflie_connection.py		MAIN	{startLine=138.0, endLine=138.0, startOffset=8.0, endOffset=47.0}	0min	AYa0pcgP1m6JgciZ3DFi	f75ae4cc4ba878fd177e060eecfdc433	OPEN
INFO	2023-03-06T01:59:56+0000		191.0		python:S1135	Flying-Car-Nanodegree-Program---Drone-Python-API	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:59:56+0000	CODE_SMELL	false	"cwe / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/udacidrone/connection/crazyflie_connection.py		MAIN	{startLine=191.0, endLine=191.0, startOffset=62.0, endOffset=89.0}	0min	AYa0pcgP1m6JgciZ3DFj	11d216c2fbf818b468a9dcd34fb51889	OPEN
INFO	2023-03-06T01:59:56+0000		224.0		python:S1135	Flying-Car-Nanodegree-Program---Drone-Python-API	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:59:56+0000	CODE_SMELL	false	"cwe / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/udacidrone/connection/crazyflie_connection.py		MAIN	{startLine=224.0, endLine=224.0, startOffset=8.0, endOffset=51.0}	0min	AYa0pcgP1m6JgciZ3DFk	3e718025bdb4615f637ad42e31aa9008	OPEN
INFO	2023-03-06T01:59:56+0000		248.0		python:S1135	Flying-Car-Nanodegree-Program---Drone-Python-API	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:59:56+0000	CODE_SMELL	false	"cwe / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/udacidrone/connection/crazyflie_connection.py		MAIN	{startLine=248.0, endLine=248.0, startOffset=12.0, endOffset=76.0}	0min	AYa0pcgP1m6JgciZ3DFl	8f57810e7de6f17118d32ba604a7bc06	OPEN
MAJOR	2023-03-06T01:59:56+0000		257.0		python:S125	Flying-Car-Nanodegree-Program---Drone-Python-API	5min		Remove this commented out code.	2023-03-06T01:59:56+0000	CODE_SMELL	false	"unused / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/udacidrone/connection/crazyflie_connection.py		MAIN	{startLine=257.0, endLine=257.0, startOffset=12.0, endOffset=41.0}	5min	AYa0pcgP1m6JgciZ3DFm	c0043804945c8a7c1279bcd322a0b2f1	OPEN
INFO	2023-03-06T01:59:56+0000		261.0		python:S1135	Flying-Car-Nanodegree-Program---Drone-Python-API	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:59:56+0000	CODE_SMELL	false	"cwe / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/udacidrone/connection/crazyflie_connection.py		MAIN	{startLine=261.0, endLine=261.0, startOffset=12.0, endOffset=84.0}	0min	AYa0pcgP1m6JgciZ3DFn	d4b04b447dfbdca882536bfb6139be88	OPEN
INFO	2023-03-06T01:59:56+0000		262.0		python:S1135	Flying-Car-Nanodegree-Program---Drone-Python-API	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:59:56+0000	CODE_SMELL	false	"cwe / "	Flying-Car-Nanodegree-Program---Drone-Python-API:udacidrone-master/udacidrone/connection/crazyflie_connection.py		MAIN	{startLine=262.0, endLine=262.0, startOffset=12.0, endOffset=65.0}	0min	AYa0pcgP1m6JgciZ3DFo	75861bd34c4f269d203ccf86862d0d90	OPEN
