severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-06T02:01:43+0000		22.0		python:S3626	Full-Stack-Nanodegree-program---Control-Project	1min		Remove this redundant return.	2023-03-06T02:01:43+0000	CODE_SMELL	false	"clumsy / redundant / "	Full-Stack-Nanodegree-program---Control-Project:FCND-Controls-master/controller.py		MAIN	{startLine=22.0, endLine=22.0, startOffset=8.0, endOffset=14.0}	1min	AYa0p2T61m6JgciZ3Eki	e70c4df10ef0983b9c8c31bd06b2a2c3	OPEN
MAJOR	2023-03-06T02:01:43+0000		71.0		python:S1172	Full-Stack-Nanodegree-program---Control-Project	5min		"Remove the unused function parameter ""local_position_cmd""."	2023-03-06T02:01:43+0000	CODE_SMELL	false	"unused / "	Full-Stack-Nanodegree-program---Control-Project:FCND-Controls-master/controller.py		MAIN	{startLine=71.0, endLine=71.0, startOffset=39.0, endOffset=57.0}	5min	AYa0p2T61m6JgciZ3Ekj	458a1cfe1d993f1ee138fe021435d8e9	OPEN
MAJOR	2023-03-06T02:01:43+0000		71.0		python:S1172	Full-Stack-Nanodegree-program---Control-Project	5min		"Remove the unused function parameter ""local_position""."	2023-03-06T02:01:43+0000	CODE_SMELL	false	"unused / "	Full-Stack-Nanodegree-program---Control-Project:FCND-Controls-master/controller.py		MAIN	{startLine=71.0, endLine=71.0, startOffset=79.0, endOffset=93.0}	5min	AYa0p2T61m6JgciZ3Ekl	458a1cfe1d993f1ee138fe021435d8e9	OPEN
MAJOR	2023-03-06T02:01:43+0000		71.0		python:S1172	Full-Stack-Nanodegree-program---Control-Project	5min		"Remove the unused function parameter ""local_velocity_cmd""."	2023-03-06T02:01:43+0000	CODE_SMELL	false	"unused / "	Full-Stack-Nanodegree-program---Control-Project:FCND-Controls-master/controller.py		MAIN	{startLine=71.0, endLine=71.0, startOffset=59.0, endOffset=77.0}	5min	AYa0p2T61m6JgciZ3Ekm	458a1cfe1d993f1ee138fe021435d8e9	OPEN
MAJOR	2023-03-06T02:01:43+0000		71.0		python:S1172	Full-Stack-Nanodegree-program---Control-Project	5min		"Remove the unused function parameter ""local_velocity""."	2023-03-06T02:01:43+0000	CODE_SMELL	false	"unused / "	Full-Stack-Nanodegree-program---Control-Project:FCND-Controls-master/controller.py		MAIN	{startLine=71.0, endLine=71.0, startOffset=95.0, endOffset=109.0}	5min	AYa0p2T61m6JgciZ3Ekn	458a1cfe1d993f1ee138fe021435d8e9	OPEN
MAJOR	2023-03-06T02:01:43+0000		72.0		python:S1172	Full-Stack-Nanodegree-program---Control-Project	5min		"Remove the unused function parameter ""acceleration_ff""."	2023-03-06T02:01:43+0000	CODE_SMELL	false	"unused / "	Full-Stack-Nanodegree-program---Control-Project:FCND-Controls-master/controller.py		MAIN	{startLine=72.0, endLine=72.0, startOffset=31.0, endOffset=69.0}	5min	AYa0p2T61m6JgciZ3Ekk	65703d9fa313cbd19479dfacec3eba2d	OPEN
MAJOR	2023-03-06T02:01:43+0000		86.0		python:S1172	Full-Stack-Nanodegree-program---Control-Project	5min		"Remove the unused function parameter ""attitude""."	2023-03-06T02:01:43+0000	CODE_SMELL	false	"unused / "	Full-Stack-Nanodegree-program---Control-Project:FCND-Controls-master/controller.py		MAIN	{startLine=86.0, endLine=86.0, startOffset=97.0, endOffset=105.0}	5min	AYa0p2T61m6JgciZ3Eko	4ff1ee4b577605cdf3f1affe07c0af45	OPEN
MAJOR	2023-03-06T02:01:43+0000		86.0		python:S1172	Full-Stack-Nanodegree-program---Control-Project	5min		"Remove the unused function parameter ""acceleration_ff""."	2023-03-06T02:01:43+0000	CODE_SMELL	false	"unused / "	Full-Stack-Nanodegree-program---Control-Project:FCND-Controls-master/controller.py		MAIN	{startLine=86.0, endLine=86.0, startOffset=107.0, endOffset=126.0}	5min	AYa0p2T61m6JgciZ3Ekp	4ff1ee4b577605cdf3f1affe07c0af45	OPEN
MAJOR	2023-03-06T02:01:43+0000		86.0		python:S1172	Full-Stack-Nanodegree-program---Control-Project	5min		"Remove the unused function parameter ""vertical_velocity_cmd""."	2023-03-06T02:01:43+0000	CODE_SMELL	false	"unused / "	Full-Stack-Nanodegree-program---Control-Project:FCND-Controls-master/controller.py		MAIN	{startLine=86.0, endLine=86.0, startOffset=45.0, endOffset=66.0}	5min	AYa0p2T61m6JgciZ3Ekq	4ff1ee4b577605cdf3f1affe07c0af45	OPEN
MAJOR	2023-03-06T02:01:43+0000		86.0		python:S1172	Full-Stack-Nanodegree-program---Control-Project	5min		"Remove the unused function parameter ""vertical_velocity""."	2023-03-06T02:01:43+0000	CODE_SMELL	false	"unused / "	Full-Stack-Nanodegree-program---Control-Project:FCND-Controls-master/controller.py		MAIN	{startLine=86.0, endLine=86.0, startOffset=78.0, endOffset=95.0}	5min	AYa0p2T61m6JgciZ3Ekr	4ff1ee4b577605cdf3f1affe07c0af45	OPEN
