severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-06T02:14:07+0000		85.0		python:S125	Full-Stack-Nanodegree-program---Fixed-Wing-Project	5min		Remove this commented out code.	2023-03-06T02:14:07+0000	CODE_SMELL	false	"unused / "	Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py		MAIN	{startLine=85.0, endLine=85.0, startOffset=8.0, endOffset=72.0}	5min	AYa0srnW1m6JgciZ3MfN	8586c1b0069347fc3616b8c517b9c018	OPEN
MAJOR	2023-03-06T02:14:07+0000		91.0		python:S1066	Full-Stack-Nanodegree-program---Fixed-Wing-Project	5min		Merge this if statement with the enclosing one.	2023-03-06T02:14:07+0000	CODE_SMELL	false	"clumsy / "	Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py	"{locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=90.0, endLine=90.0, startOffset=8.0, endOffset=10.0}, msg=enclosing, msgFormattings=[]}]} / "	MAIN	{startLine=91.0, endLine=91.0, startOffset=12.0, endOffset=14.0}	5min	AYa0srnW1m6JgciZ3MfM	8c1f5796748e6db0e4a71180b0ee0e3c	OPEN
INFO	2023-03-06T02:14:07+0000		156.0		python:S1135	Full-Stack-Nanodegree-program---Fixed-Wing-Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:14:07+0000	CODE_SMELL	false	"cwe / "	Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py		MAIN	{startLine=156.0, endLine=156.0, startOffset=12.0, endOffset=56.0}	0min	AYa0srnW1m6JgciZ3MfO	010c9faf19664a467f1a2ec8c44c754b	OPEN
INFO	2023-03-06T02:14:07+0000		206.0		python:S1135	Full-Stack-Nanodegree-program---Fixed-Wing-Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:14:07+0000	CODE_SMELL	false	"cwe / "	Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py		MAIN	{startLine=206.0, endLine=206.0, startOffset=12.0, endOffset=56.0}	0min	AYa0srnW1m6JgciZ3MfP	010c9faf19664a467f1a2ec8c44c754b	OPEN
CRITICAL	2023-03-06T02:14:07+0000		209.0		python:S3776	Full-Stack-Nanodegree-program---Fixed-Wing-Project	12min		Refactor this function to reduce its Cognitive Complexity from 22 to the 15 allowed.	2023-03-06T02:14:07+0000	CODE_SMELL	false	"brain-overload / "	Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py	"{locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=211.0, endLine=211.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=215.0, endLine=215.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=218.0, endLine=218.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=221.0, endLine=221.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=225.0, endLine=225.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=227.0, endLine=227.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=228.0, endLine=228.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=230.0, endLine=230.0, startOffset=16.0, endOffset=20.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=235.0, endLine=235.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=240.0, endLine=240.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=247.0, endLine=247.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=252.0, endLine=252.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=255.0, endLine=255.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=256.0, endLine=256.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=258.0, endLine=258.0, startOffset=16.0, endOffset=20.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=264.0, endLine=264.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / "	MAIN	{startLine=209.0, endLine=209.0, startOffset=8.0, endOffset=31.0}	12min	AYa0srnW1m6JgciZ3MfQ	73ad911e811aa9027b4b1295c59c01de	OPEN
MAJOR	2023-03-06T02:14:07+0000		225.0		python:S1110	Full-Stack-Nanodegree-program---Fixed-Wing-Project	1min		Remove those useless parentheses.	2023-03-06T02:14:07+0000	CODE_SMELL	false	"confusing / "	Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py	"{locations=[{component=Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py, textRange={startLine=225.0, endLine=225.0, startOffset=51.0, endOffset=52.0}, msgFormattings=[]}]} / "	MAIN	{startLine=225.0, endLine=225.0, startOffset=10.0, endOffset=11.0}	1min	AYa0srnW1m6JgciZ3MfR	59cf2e665a5e6ddd14bc3696409319d3	OPEN
INFO	2023-03-06T02:14:07+0000		265.0		python:S1135	Full-Stack-Nanodegree-program---Fixed-Wing-Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:14:07+0000	CODE_SMELL	false	"cwe / "	Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py		MAIN	{startLine=265.0, endLine=265.0, startOffset=12.0, endOffset=56.0}	0min	AYa0srnW1m6JgciZ3MfS	010c9faf19664a467f1a2ec8c44c754b	OPEN
MAJOR	2023-03-06T02:14:07+0000		270.0		python:S108	Full-Stack-Nanodegree-program---Fixed-Wing-Project	5min		Either remove or fill this block of code.	2023-03-06T02:14:07+0000	CODE_SMELL	false	"suspicious / "	Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py		MAIN	{startLine=270.0, endLine=270.0, startOffset=12.0, endOffset=16.0}	5min	AYa0srnW1m6JgciZ3MfU	1a1dc91c907325c69271ddf0c944bc72	OPEN
INFO	2023-03-06T02:14:07+0000		333.0		python:S1135	Full-Stack-Nanodegree-program---Fixed-Wing-Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:14:07+0000	CODE_SMELL	false	"cwe / "	Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py		MAIN	{startLine=333.0, endLine=333.0, startOffset=12.0, endOffset=56.0}	0min	AYa0srnW1m6JgciZ3MfV	010c9faf19664a467f1a2ec8c44c754b	OPEN
MINOR	2023-03-06T02:14:07+0000		337.0		python:S3626	Full-Stack-Nanodegree-program---Fixed-Wing-Project	1min		Remove this redundant return.	2023-03-06T02:14:07+0000	CODE_SMELL	false	"clumsy / redundant / "	Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py		MAIN	{startLine=337.0, endLine=337.0, startOffset=12.0, endOffset=18.0}	1min	AYa0srnW1m6JgciZ3MfT	e70c4df10ef0983b9c8c31bd06b2a2c3	OPEN
MAJOR	2023-03-06T02:14:07+0000		350.0		python:S125	Full-Stack-Nanodegree-program---Fixed-Wing-Project	5min		Remove this commented out code.	2023-03-06T02:14:07+0000	CODE_SMELL	false	"unused / "	Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py		MAIN	{startLine=350.0, endLine=350.0, startOffset=4.0, endOffset=54.0}	5min	AYa0srnW1m6JgciZ3MfW	371a640cf83e5b75d4d9aaebab64d2b5	OPEN
CRITICAL	2023-03-06T02:14:07+0000		358.0		python:S5754	Full-Stack-Nanodegree-program---Fixed-Wing-Project	5min		Specify an exception class to catch or reraise the exception	2023-03-06T02:14:07+0000	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/fixed_wing_project.py		MAIN	{startLine=358.0, endLine=358.0, startOffset=8.0, endOffset=14.0}	5min	AYa0srnW1m6JgciZ3MfX	3e264f5fbab10735799511f21ca70842	OPEN
MINOR	2023-03-06T02:14:07+0000		21.0		python:S3626	Full-Stack-Nanodegree-program---Fixed-Wing-Project	1min		Remove this redundant return.	2023-03-06T02:14:07+0000	CODE_SMELL	false	"clumsy / redundant / "	Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/plane_control.py		MAIN	{startLine=21.0, endLine=21.0, startOffset=8.0, endOffset=14.0}	1min	AYa0srnb1m6JgciZ3Mfa	e70c4df10ef0983b9c8c31bd06b2a2c3	OPEN
MAJOR	2023-03-06T02:14:07+0000		36.0		python:S1172	Full-Stack-Nanodegree-program---Fixed-Wing-Project	5min		"Remove the unused function parameter ""pitch_rate""."	2023-03-06T02:14:07+0000	CODE_SMELL	false	"unused / "	Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/plane_control.py		MAIN	{startLine=36.0, endLine=36.0, startOffset=32.0, endOffset=42.0}	5min	AYa0srnb1m6JgciZ3Mfb	f5fe45eac1ab41f6c5816f79f7e9506b	OPEN
MAJOR	2023-03-06T02:14:07+0000		36.0		python:S1172	Full-Stack-Nanodegree-program---Fixed-Wing-Project	5min		"Remove the unused function parameter ""pitch_cmd""."	2023-03-06T02:14:07+0000	CODE_SMELL	false	"unused / "	Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/plane_control.py		MAIN	{startLine=36.0, endLine=36.0, startOffset=44.0, endOffset=53.0}	5min	AYa0srnb1m6JgciZ3Mfc	f5fe45eac1ab41f6c5816f79f7e9506b	OPEN
MAJOR	2023-03-06T02:14:07+0000		36.0		python:S1172	Full-Stack-Nanodegree-program---Fixed-Wing-Project	5min		"Remove the unused function parameter ""pitch""."	2023-03-06T02:14:07+0000	CODE_SMELL	false	"unused / "	Full-Stack-Nanodegree-program---Fixed-Wing-Project:FCND-FixedWing-master/plane_control.py		MAIN	{startLine=36.0, endLine=36.0, startOffset=25.0, endOffset=30.0}	5min	AYa0srnb1m6JgciZ3Mfd	f5fe45eac1ab41f6c5816f79f7e9506b	OPEN
