severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T01:55:35+0000		14.0		python:S2208	Full-Stack-Nanodegree-program	5min		Import only needed names or import the module and then use its members.	2023-03-06T01:55:35+0000	CODE_SMELL	false	"pitfall / "	Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py		MAIN	{startLine=14.0, endLine=14.0, startOffset=0.0, endOffset=19.0}	5min	AYa0oeZv1m6JgciZ2_d7	5ed731d6110c3323444c23d2db3b706d	OPEN
INFO	2023-03-06T01:55:35+0000		24.0		python:S1135	Full-Stack-Nanodegree-program	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:55:35+0000	CODE_SMELL	false	"cwe / "	Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py		MAIN	{startLine=24.0, endLine=24.0, startOffset=0.0, endOffset=46.0}	0min	AYa0oeZv1m6JgciZ2_d9	393dfcb3b343e941584d0460b95da10a	OPEN
INFO	2023-03-06T01:55:35+0000		42.0		python:S1135	Full-Stack-Nanodegree-program	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:55:35+0000	CODE_SMELL	false	"cwe / "	Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py		MAIN	{startLine=42.0, endLine=42.0, startOffset=4.0, endOffset=85.0}	0min	AYa0oeZv1m6JgciZ2_d-	aa1f599c4b69076f38366bea983f3e54	OPEN
INFO	2023-03-06T01:55:35+0000		56.0		python:S1135	Full-Stack-Nanodegree-program	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:55:35+0000	CODE_SMELL	false	"cwe / "	Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py		MAIN	{startLine=56.0, endLine=56.0, startOffset=4.0, endOffset=85.0}	0min	AYa0oeZv1m6JgciZ2_d_	aa1f599c4b69076f38366bea983f3e54	OPEN
INFO	2023-03-06T01:55:35+0000		58.0		python:S1135	Full-Stack-Nanodegree-program	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:55:35+0000	CODE_SMELL	false	"cwe / "	Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py		MAIN	{startLine=58.0, endLine=58.0, startOffset=0.0, endOffset=118.0}	0min	AYa0oeZv1m6JgciZ2_eA	16b7946b799528ec1a214e2ee0d808e5	OPEN
MAJOR	2023-03-06T01:55:35+0000		67.0		python:S5806	Full-Stack-Nanodegree-program	5min		Rename this variable; it shadows a builtin.	2023-03-06T01:55:35+0000	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py	"{locations=[{component=Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py, textRange={startLine=69.0, endLine=69.0, startOffset=6.0, endOffset=12.0}, msg=Variable also assigned here., msgFormattings=[]}]} / "	MAIN	{startLine=67.0, endLine=67.0, startOffset=6.0, endOffset=12.0}	5min	AYa0oeZv1m6JgciZ2_eB	fdff0be69ea4977ef25326cdfddda441	OPEN
CRITICAL	2023-03-06T01:55:35+0000		80.0		python:S1192	Full-Stack-Nanodegree-program	8min		Define a constant instead of duplicating this literal 'pages/home.html' 4 times.	2023-03-06T01:55:35+0000	CODE_SMELL	false	"design / "	Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py	"{locations=[{component=Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py, textRange={startLine=230.0, endLine=230.0, startOffset=25.0, endOffset=42.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py, textRange={startLine=423.0, endLine=423.0, startOffset=25.0, endOffset=42.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py, textRange={startLine=487.0, endLine=487.0, startOffset=25.0, endOffset=42.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=80.0, endLine=80.0, startOffset=25.0, endOffset=42.0}	8min	AYa0oeZv1m6JgciZ2_d3	197eff739371f5cf0d40d8ada5fc3b66	OPEN
INFO	2023-03-06T01:55:35+0000		88.0		python:S1135	Full-Stack-Nanodegree-program	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:55:35+0000	CODE_SMELL	false	"cwe / "	Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py		MAIN	{startLine=88.0, endLine=88.0, startOffset=2.0, endOffset=40.0}	0min	AYa0oeZv1m6JgciZ2_eC	50758f472c976227a0447ec779dcd4b3	OPEN
CRITICAL	2023-03-06T01:55:35+0000		91.0		python:S1192	Full-Stack-Nanodegree-program	14min		"Define a constant instead of duplicating this literal ""San Francisco"" 7 times."	2023-03-06T01:55:35+0000	CODE_SMELL	false	"design / "	Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py	"{locations=[{component=Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py, textRange={startLine=137.0, endLine=137.0, startOffset=12.0, endOffset=27.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py, textRange={startLine=177.0, endLine=177.0, startOffset=12.0, endOffset=27.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py, textRange={startLine=281.0, endLine=281.0, startOffset=12.0, endOffset=27.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py, textRange={startLine=323.0, endLine=323.0, startOffset=12.0, endOffset=27.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py, textRange={startLine=360.0, endLine=360.0, startOffset=12.0, endOffset=27.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py, textRange={startLine=387.0, endLine=387.0, startOffset=12.0, endOffset=27.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=91.0, endLine=91.0, startOffset=12.0, endOffset=27.0}	14min	AYa0oeZv1m6JgciZ2_d6	e589204fc73468b26563a560222f06b9	OPEN
CRITICAL	2023-03-06T01:55:35+0000		95.0		python:S1192	Full-Stack-Nanodegree-program	10min		"Define a constant instead of duplicating this literal ""The Musical Hop"" 5 times."	2023-03-06T01:55:35+0000	CODE_SMELL	false	"design / "	Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py	"{locations=[{component=Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py, textRange={startLine=134.0, endLine=134.0, startOffset=12.0, endOffset=29.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py, textRange={startLine=291.0, endLine=291.0, startOffset=20.0, endOffset=37.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py, textRange={startLine=384.0, endLine=384.0, startOffset=12.0, endOffset=29.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Full-Stack-Nanodegree-program:FSND-master/projects/01_fyyur/starter_code/app.py, textRange={startLine=435.0, endLine=435.0, startOffset=18.0, endOffset=35.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=95.0, endLine=95.0, startOffset=14.0, endOffset=31.0}	10min	AYa0oeZv1m6JgciZ2_dt	67edf6bfa1856fdfdf8e36636ca4a2e3	OPEN
