severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-06T01:56:46+0000		14.0		python:S1542	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine	10min		"Rename function ""deleteMatches"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T01:56:46+0000	CODE_SMELL	false	"convention / "	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine:fullstack-nanodegree-vm-master/vagrant/tournament/tournament.py		MAIN	{startLine=14.0, endLine=14.0, startOffset=4.0, endOffset=17.0}	10min	AYa0otrz1m6JgciZ3AWE	24c10e82004e12dc90a717873d1d2881	OPEN
MAJOR	2023-03-06T01:56:46+0000		18.0		python:S1542	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine	10min		"Rename function ""deletePlayers"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T01:56:46+0000	CODE_SMELL	false	"convention / "	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine:fullstack-nanodegree-vm-master/vagrant/tournament/tournament.py		MAIN	{startLine=18.0, endLine=18.0, startOffset=4.0, endOffset=17.0}	10min	AYa0otrz1m6JgciZ3AWF	44e0fe40537171e3fe27504712cf1066	OPEN
MAJOR	2023-03-06T01:56:46+0000		22.0		python:S1542	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine	10min		"Rename function ""countPlayers"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T01:56:46+0000	CODE_SMELL	false	"convention / "	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine:fullstack-nanodegree-vm-master/vagrant/tournament/tournament.py		MAIN	{startLine=22.0, endLine=22.0, startOffset=4.0, endOffset=16.0}	10min	AYa0otrz1m6JgciZ3AWG	acaacf69456b273841ac4589fc3f264e	OPEN
MAJOR	2023-03-06T01:56:46+0000		26.0		python:S1542	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine	10min		"Rename function ""registerPlayer"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T01:56:46+0000	CODE_SMELL	false	"convention / "	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine:fullstack-nanodegree-vm-master/vagrant/tournament/tournament.py		MAIN	{startLine=26.0, endLine=26.0, startOffset=4.0, endOffset=18.0}	10min	AYa0otrz1m6JgciZ3AWH	b7636d26511f75f22b614b9a1db89132	OPEN
MAJOR	2023-03-06T01:56:46+0000		37.0		python:S1542	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine	10min		"Rename function ""playerStandings"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T01:56:46+0000	CODE_SMELL	false	"convention / "	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine:fullstack-nanodegree-vm-master/vagrant/tournament/tournament.py		MAIN	{startLine=37.0, endLine=37.0, startOffset=4.0, endOffset=19.0}	10min	AYa0otrz1m6JgciZ3AWI	ee38ce80d9ce62517d636c7fe44be817	OPEN
MAJOR	2023-03-06T01:56:46+0000		52.0		python:S1542	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine	10min		"Rename function ""reportMatch"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T01:56:46+0000	CODE_SMELL	false	"convention / "	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine:fullstack-nanodegree-vm-master/vagrant/tournament/tournament.py		MAIN	{startLine=52.0, endLine=52.0, startOffset=4.0, endOffset=15.0}	10min	AYa0otrz1m6JgciZ3AWJ	53f7f7633c90e9caa25ac6d7dbd2715b	OPEN
MAJOR	2023-03-06T01:56:46+0000		61.0		python:S1542	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine	10min		"Rename function ""swissPairings"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T01:56:46+0000	CODE_SMELL	false	"convention / "	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine:fullstack-nanodegree-vm-master/vagrant/tournament/tournament.py		MAIN	{startLine=61.0, endLine=61.0, startOffset=4.0, endOffset=17.0}	10min	AYa0otrz1m6JgciZ3AWK	3e8a9c17f3d9f7601ca4455be37384aa	OPEN
CRITICAL	2023-03-06T01:56:46+0000		9.0		python:S2208	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine	5min		Import only needed names or import the module and then use its members.	2023-03-06T01:56:46+0000	CODE_SMELL	false	"pitfall / "	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine:fullstack-nanodegree-vm-master/vagrant/tournament/tournament_test.py		MAIN	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=24.0}	5min	AYa0otr11m6JgciZ3AWL	8da3377534661fc05be517dfd53823d4	OPEN
MAJOR	2023-03-06T01:56:46+0000		11.0		python:S1542	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine	10min		"Rename function ""testCount"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T01:56:46+0000	CODE_SMELL	false	"convention / "	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine:fullstack-nanodegree-vm-master/vagrant/tournament/tournament_test.py		MAIN	{startLine=11.0, endLine=11.0, startOffset=4.0, endOffset=13.0}	10min	AYa0otr11m6JgciZ3AWM	b8429899f4cd3dd8d4de7cadb895d5fe	OPEN
MAJOR	2023-03-06T01:56:46+0000		25.0		python:PrintStatementUsage	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine	5min		Replace print statement by built-in function.	2023-03-06T01:56:46+0000	CODE_SMELL	false	"obsolete / python3 / "	Full-Stack-Web-Developer-Nanodegree---Program-Virtual-Machine:fullstack-nanodegree-vm-master/vagrant/tournament/tournament_test.py		MAIN	{startLine=25.0, endLine=25.0, startOffset=4.0, endOffset=9.0}	5min	AYa0otr11m6JgciZ3AWN	248b294f163c1e946c24bdcdaf4e0669	OPEN
