severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-06T01:57:42+0000		16.0		python:S101	Full-stack-Nanodegree---Lessons	5min		"Rename class ""webServerHandler"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$."	2023-03-06T01:57:42+0000	CODE_SMELL	false	"convention / "	Full-stack-Nanodegree---Lessons:Full-Stack-Foundations-master/Lesson-2/Objective-1-Solution/webserver.py		MAIN	{startLine=16.0, endLine=16.0, startOffset=6.0, endOffset=22.0}	5min	AYa0o7_W1m6JgciZ3BDR	364c9fe26b955e74c9313fbce099ca58	OPEN
MAJOR	2023-03-06T01:57:42+0000		41.0		python:PrintStatementUsage	Full-stack-Nanodegree---Lessons	5min		Replace print statement by built-in function.	2023-03-06T01:57:42+0000	CODE_SMELL	false	"obsolete / python3 / "	Full-stack-Nanodegree---Lessons:Full-Stack-Foundations-master/Lesson-2/Objective-1-Solution/webserver.py		MAIN	{startLine=41.0, endLine=41.0, startOffset=8.0, endOffset=13.0}	5min	AYa0o7_W1m6JgciZ3BDS	4a8c35d220a496b6ee3124ae526f7a8e	OPEN
MAJOR	2023-03-06T01:57:42+0000		44.0		python:PrintStatementUsage	Full-stack-Nanodegree---Lessons	5min		Replace print statement by built-in function.	2023-03-06T01:57:42+0000	CODE_SMELL	false	"obsolete / python3 / "	Full-stack-Nanodegree---Lessons:Full-Stack-Foundations-master/Lesson-2/Objective-1-Solution/webserver.py		MAIN	{startLine=44.0, endLine=44.0, startOffset=8.0, endOffset=13.0}	5min	AYa0o7_W1m6JgciZ3BDT	d36ec9ba35bddda2e9d671ee2b123865	OPEN
MINOR	2023-03-06T01:57:42+0000		16.0		python:S101	Full-stack-Nanodegree---Lessons	5min		"Rename class ""webServerHandler"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$."	2023-03-06T01:57:42+0000	CODE_SMELL	false	"convention / "	Full-stack-Nanodegree---Lessons:Full-Stack-Foundations-master/Lesson-2/Objective-2-Solution/webserver.py		MAIN	{startLine=16.0, endLine=16.0, startOffset=6.0, endOffset=22.0}	5min	AYa0o7_c1m6JgciZ3BDa	364c9fe26b955e74c9313fbce099ca58	OPEN
MAJOR	2023-03-06T01:57:42+0000		46.0		python:PrintStatementUsage	Full-stack-Nanodegree---Lessons	5min		Replace print statement by built-in function.	2023-03-06T01:57:42+0000	CODE_SMELL	false	"obsolete / python3 / "	Full-stack-Nanodegree---Lessons:Full-Stack-Foundations-master/Lesson-2/Objective-2-Solution/webserver.py		MAIN	{startLine=46.0, endLine=46.0, startOffset=8.0, endOffset=13.0}	5min	AYa0o7_c1m6JgciZ3BDb	4a8c35d220a496b6ee3124ae526f7a8e	OPEN
MAJOR	2023-03-06T01:57:42+0000		49.0		python:PrintStatementUsage	Full-stack-Nanodegree---Lessons	5min		Replace print statement by built-in function.	2023-03-06T01:57:42+0000	CODE_SMELL	false	"obsolete / python3 / "	Full-stack-Nanodegree---Lessons:Full-Stack-Foundations-master/Lesson-2/Objective-2-Solution/webserver.py		MAIN	{startLine=49.0, endLine=49.0, startOffset=8.0, endOffset=13.0}	5min	AYa0o7_c1m6JgciZ3BDc	d36ec9ba35bddda2e9d671ee2b123865	OPEN
MINOR	2023-03-06T01:57:42+0000		16.0		python:S101	Full-stack-Nanodegree---Lessons	5min		"Rename class ""webServerHandler"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$."	2023-03-06T01:57:42+0000	CODE_SMELL	false	"convention / "	Full-stack-Nanodegree---Lessons:Full-Stack-Foundations-master/Lesson-2/Objective-3-Solution/webserver.py		MAIN	{startLine=16.0, endLine=16.0, startOffset=6.0, endOffset=22.0}	5min	AYa0o7_Z1m6JgciZ3BDV	364c9fe26b955e74c9313fbce099ca58	OPEN
CRITICAL	2023-03-06T01:57:42+0000		23.0		python:S1192	Full-stack-Nanodegree---Lessons	6min		Define a constant instead of duplicating this literal 'text/html' 3 times.	2023-03-06T01:57:42+0000	CODE_SMELL	false	"design / "	Full-stack-Nanodegree---Lessons:Full-Stack-Foundations-master/Lesson-2/Objective-3-Solution/webserver.py	"{locations=[{component=Full-stack-Nanodegree---Lessons:Full-Stack-Foundations-master/Lesson-2/Objective-3-Solution/webserver.py, textRange={startLine=42.0, endLine=42.0, startOffset=49.0, endOffset=60.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Full-stack-Nanodegree---Lessons:Full-Stack-Foundations-master/Lesson-2/Objective-3-Solution/webserver.py, textRange={startLine=77.0, endLine=77.0, startOffset=53.0, endOffset=64.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=23.0, endLine=23.0, startOffset=49.0, endOffset=60.0}	6min	AYa0o7_Z1m6JgciZ3BDU	c908357c341ecaace235097dee9a3ce2	OPEN
MINOR	2023-03-06T01:57:42+0000		72.0		python:S117	Full-stack-Nanodegree---Lessons	2min		"Rename this local variable ""newRestaurant"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T01:57:42+0000	CODE_SMELL	false	"convention / "	Full-stack-Nanodegree---Lessons:Full-Stack-Foundations-master/Lesson-2/Objective-3-Solution/webserver.py		MAIN	{startLine=72.0, endLine=72.0, startOffset=20.0, endOffset=33.0}	2min	AYa0o7_Z1m6JgciZ3BDW	ebf15f400c3812832a2832b958d58b5b	OPEN
CRITICAL	2023-03-06T01:57:42+0000		81.0		python:S5754	Full-stack-Nanodegree---Lessons	5min		Specify an exception class to catch or reraise the exception	2023-03-06T01:57:42+0000	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	Full-stack-Nanodegree---Lessons:Full-Stack-Foundations-master/Lesson-2/Objective-3-Solution/webserver.py		MAIN	{startLine=81.0, endLine=81.0, startOffset=8.0, endOffset=14.0}	5min	AYa0o7_Z1m6JgciZ3BDX	3e264f5fbab10735799511f21ca70842	OPEN
