severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
INFO	2023-03-06T02:09:17+0000		28.0		python:S1135	Fully-Convolutional-Network---Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"cwe / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=28.0, endLine=28.0, startOffset=4.0, endOffset=30.0}	0min	AYa0rlNC1m6JgciZ3H6t	c043ff4bc60bbfd1aecc8746a84e6199	OPEN
MINOR	2023-03-06T02:09:17+0000		30.0		python:S1481	Fully-Convolutional-Network---Project	5min		"Remove the unused local variable ""vgg_tag""."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"unused / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=30.0, endLine=30.0, startOffset=4.0, endOffset=11.0}	5min	AYa0rlNC1m6JgciZ3H6p	9ec3ff1eed0accd8542a5cd583f48db0	OPEN
MINOR	2023-03-06T02:09:17+0000		31.0		python:S1481	Fully-Convolutional-Network---Project	5min		"Remove the unused local variable ""vgg_input_tensor_name""."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"unused / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=31.0, endLine=31.0, startOffset=4.0, endOffset=25.0}	5min	AYa0rlNC1m6JgciZ3H6n	a68b621deeb5170633120ba2c57ff925	OPEN
MINOR	2023-03-06T02:09:17+0000		32.0		python:S1481	Fully-Convolutional-Network---Project	5min		"Remove the unused local variable ""vgg_keep_prob_tensor_name""."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"unused / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=32.0, endLine=32.0, startOffset=4.0, endOffset=29.0}	5min	AYa0rlNC1m6JgciZ3H6s	b05c00e04befadca0c5c11cf0281f6df	OPEN
MINOR	2023-03-06T02:09:17+0000		33.0		python:S1481	Fully-Convolutional-Network---Project	5min		"Remove the unused local variable ""vgg_layer3_out_tensor_name""."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"unused / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=33.0, endLine=33.0, startOffset=4.0, endOffset=30.0}	5min	AYa0rlNC1m6JgciZ3H6q	fdc7a2033ee66cbc8d7e4539de0449db	OPEN
MINOR	2023-03-06T02:09:17+0000		34.0		python:S1481	Fully-Convolutional-Network---Project	5min		"Remove the unused local variable ""vgg_layer4_out_tensor_name""."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"unused / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=34.0, endLine=34.0, startOffset=4.0, endOffset=30.0}	5min	AYa0rlNC1m6JgciZ3H6o	3d2c5bd48c53f672e489db1020f6a3c4	OPEN
MINOR	2023-03-06T02:09:17+0000		35.0		python:S1481	Fully-Convolutional-Network---Project	5min		"Remove the unused local variable ""vgg_layer7_out_tensor_name""."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"unused / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=35.0, endLine=35.0, startOffset=4.0, endOffset=30.0}	5min	AYa0rlNC1m6JgciZ3H6r	7992e8d472de2aa266d44dbfe89580e8	OPEN
INFO	2023-03-06T02:09:17+0000		50.0		python:S1135	Fully-Convolutional-Network---Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"cwe / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=50.0, endLine=50.0, startOffset=4.0, endOffset=30.0}	0min	AYa0rlNC1m6JgciZ3H6u	c043ff4bc60bbfd1aecc8746a84e6199	OPEN
INFO	2023-03-06T02:09:17+0000		64.0		python:S1135	Fully-Convolutional-Network---Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"cwe / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=64.0, endLine=64.0, startOffset=4.0, endOffset=30.0}	0min	AYa0rlNC1m6JgciZ3H6v	c043ff4bc60bbfd1aecc8746a84e6199	OPEN
INFO	2023-03-06T02:09:17+0000		84.0		python:S1135	Fully-Convolutional-Network---Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"cwe / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=84.0, endLine=84.0, startOffset=4.0, endOffset=30.0}	0min	AYa0rlNC1m6JgciZ3H6w	c043ff4bc60bbfd1aecc8746a84e6199	OPEN
MINOR	2023-03-06T02:09:17+0000		90.0		python:S1481	Fully-Convolutional-Network---Project	5min		"Remove the unused local variable ""num_classes""."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"unused / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=15.0}	5min	AYa0rlNC1m6JgciZ3H6y	4a1a1e685582bdfbb5d26f6f6cb0665e	OPEN
MINOR	2023-03-06T02:09:17+0000		93.0		python:S1481	Fully-Convolutional-Network---Project	5min		"Remove the unused local variable ""runs_dir""."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"unused / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=93.0, endLine=93.0, startOffset=4.0, endOffset=12.0}	5min	AYa0rlNC1m6JgciZ3H6z	63b1be1b71589780516b2b6e5e0ac961	OPEN
MINOR	2023-03-06T02:09:17+0000		103.0		python:S1481	Fully-Convolutional-Network---Project	5min		"Remove the unused local variable ""sess""."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"unused / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=103.0, endLine=103.0, startOffset=25.0, endOffset=29.0}	5min	AYa0rlNC1m6JgciZ3H6x	61a06e3eca5254dd46945a2704376eb1	OPEN
MINOR	2023-03-06T02:09:17+0000		105.0		python:S1481	Fully-Convolutional-Network---Project	5min		"Remove the unused local variable ""vgg_path""."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"unused / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=105.0, endLine=105.0, startOffset=8.0, endOffset=16.0}	5min	AYa0rlNC1m6JgciZ3H61	f11ee9ce432251c681783365c3d0cbb4	OPEN
MINOR	2023-03-06T02:09:17+0000		107.0		python:S1481	Fully-Convolutional-Network---Project	5min		"Remove the unused local variable ""get_batches_fn""."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"unused / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=107.0, endLine=107.0, startOffset=8.0, endOffset=22.0}	5min	AYa0rlNC1m6JgciZ3H60	17f290be549170bf380b055de4fe1db0	OPEN
INFO	2023-03-06T02:09:17+0000		112.0		python:S1135	Fully-Convolutional-Network---Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"cwe / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=112.0, endLine=112.0, startOffset=8.0, endOffset=70.0}	0min	AYa0rlNC1m6JgciZ3H62	19ae7ac3273378f8ff82b26f16b23dc2	OPEN
INFO	2023-03-06T02:09:17+0000		114.0		python:S1135	Fully-Convolutional-Network---Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"cwe / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=114.0, endLine=114.0, startOffset=8.0, endOffset=52.0}	0min	AYa0rlNC1m6JgciZ3H63	7b509eee7173b7247a185514b5adbcee	OPEN
INFO	2023-03-06T02:09:17+0000		116.0		python:S1135	Fully-Convolutional-Network---Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:09:17+0000	CODE_SMELL	false	"cwe / "	Fully-Convolutional-Network---Project:CarND-Semantic-Segmentation-master/main.py		MAIN	{startLine=116.0, endLine=116.0, startOffset=8.0, endOffset=71.0}	0min	AYa0rlNC1m6JgciZ3H64	f10f3b3bb464d6f43452af3d8361c1ec	OPEN
