severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
INFO	2023-03-06T02:00:33+0000		92.0		python:S1135	Implementing-Privacy-in-Software-Applications---Lessons	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:00:33+0000	CODE_SMELL	false	"cwe / "	Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/main/hiring_store.py		MAIN	{startLine=92.0, endLine=92.0, startOffset=8.0, endOffset=31.0}	0min	AYa0pnBj1m6JgciZ3De_	9da1757d4e5dac62524d3206a7254d4a	OPEN
INFO	2023-03-06T02:00:33+0000		100.0		python:S1135	Implementing-Privacy-in-Software-Applications---Lessons	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:00:33+0000	CODE_SMELL	false	"cwe / "	Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/main/hiring_store.py		MAIN	{startLine=100.0, endLine=100.0, startOffset=8.0, endOffset=31.0}	0min	AYa0pnBj1m6JgciZ3DfA	9da1757d4e5dac62524d3206a7254d4a	OPEN
INFO	2023-03-06T02:00:33+0000		107.0		python:S1135	Implementing-Privacy-in-Software-Applications---Lessons	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:00:33+0000	CODE_SMELL	false	"cwe / "	Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/main/hiring_store.py		MAIN	{startLine=107.0, endLine=107.0, startOffset=8.0, endOffset=31.0}	0min	AYa0pnBj1m6JgciZ3DfB	9da1757d4e5dac62524d3206a7254d4a	OPEN
CRITICAL	2023-03-06T02:00:33+0000		16.0		python:S1192	Implementing-Privacy-in-Software-Applications---Lessons	10min		"Define a constant instead of duplicating this literal ""bobjones@email.com"" 5 times."	2023-03-06T02:00:33+0000	CODE_SMELL	false	"design / "	Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py	"{locations=[{component=Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py, textRange={startLine=29.0, endLine=29.0, startOffset=57.0, endOffset=77.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py, textRange={startLine=42.0, endLine=42.0, startOffset=57.0, endOffset=77.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py, textRange={startLine=60.0, endLine=60.0, startOffset=57.0, endOffset=77.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py, textRange={startLine=79.0, endLine=79.0, startOffset=57.0, endOffset=77.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=16.0, endLine=16.0, startOffset=57.0, endOffset=77.0}	10min	AYa0pnBg1m6JgciZ3De-	e8abe78a182fe8f3b3aff6e4b5f2e01c	OPEN
CRITICAL	2023-03-06T02:00:33+0000		16.0		python:S1192	Implementing-Privacy-in-Software-Applications---Lessons	10min		"Define a constant instead of duplicating this literal ""Bob Jones"" 5 times."	2023-03-06T02:00:33+0000	CODE_SMELL	false	"design / "	Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py	"{locations=[{component=Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py, textRange={startLine=29.0, endLine=29.0, startOffset=44.0, endOffset=55.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py, textRange={startLine=42.0, endLine=42.0, startOffset=44.0, endOffset=55.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py, textRange={startLine=60.0, endLine=60.0, startOffset=44.0, endOffset=55.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py, textRange={startLine=79.0, endLine=79.0, startOffset=44.0, endOffset=55.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=16.0, endLine=16.0, startOffset=44.0, endOffset=55.0}	10min	AYa0pnBg1m6JgciZ3De9	e8abe78a182fe8f3b3aff6e4b5f2e01c	OPEN
CRITICAL	2023-03-06T02:00:33+0000		17.0		python:S1192	Implementing-Privacy-in-Software-Applications---Lessons	8min		"Define a constant instead of duplicating this literal ""Linda Vasquez"" 4 times."	2023-03-06T02:00:33+0000	CODE_SMELL	false	"design / "	Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py	"{locations=[{component=Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py, textRange={startLine=30.0, endLine=30.0, startOffset=44.0, endOffset=59.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py, textRange={startLine=43.0, endLine=43.0, startOffset=44.0, endOffset=59.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py, textRange={startLine=61.0, endLine=61.0, startOffset=44.0, endOffset=59.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=17.0, endLine=17.0, startOffset=44.0, endOffset=59.0}	8min	AYa0pnBg1m6JgciZ3De7	dd887291f77cd7748c2ac758e2b2b5f4	OPEN
CRITICAL	2023-03-06T02:00:33+0000		17.0		python:S1192	Implementing-Privacy-in-Software-Applications---Lessons	8min		"Define a constant instead of duplicating this literal ""lvasquez@email.com"" 4 times."	2023-03-06T02:00:33+0000	CODE_SMELL	false	"design / "	Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py	"{locations=[{component=Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py, textRange={startLine=30.0, endLine=30.0, startOffset=61.0, endOffset=81.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py, textRange={startLine=43.0, endLine=43.0, startOffset=61.0, endOffset=81.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-2/exercises/starter/src/test/test_hiring_store.py, textRange={startLine=61.0, endLine=61.0, startOffset=61.0, endOffset=81.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=17.0, endLine=17.0, startOffset=61.0, endOffset=81.0}	8min	AYa0pnBg1m6JgciZ3De8	dd887291f77cd7748c2ac758e2b2b5f4	OPEN
INFO	2023-03-06T02:00:33+0000		34.0		python:S1135	Implementing-Privacy-in-Software-Applications---Lessons	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:00:33+0000	CODE_SMELL	false	"cwe / "	Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-3/exercises/starter/main/pii_detection.py		MAIN	{startLine=34.0, endLine=34.0, startOffset=4.0, endOffset=27.0}	0min	AYa0pnA91m6JgciZ3DeQ	9da1757d4e5dac62524d3206a7254d4a	OPEN
MAJOR	2023-03-06T02:00:33+0000		38.0		python:S1172	Implementing-Privacy-in-Software-Applications---Lessons	5min		"Remove the unused function parameter ""free_text""."	2023-03-06T02:00:33+0000	CODE_SMELL	false	"unused / "	Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-3/exercises/starter/main/pii_detection.py		MAIN	{startLine=38.0, endLine=38.0, startOffset=22.0, endOffset=36.0}	5min	AYa0pnA91m6JgciZ3DeR	bd4223cd0189c3730142c6d174f5502a	OPEN
MINOR	2023-03-06T02:00:33+0000		46.0		python:S1481	Implementing-Privacy-in-Software-Applications---Lessons	5min		"Remove the unused local variable ""all_possible_id_numbers""."	2023-03-06T02:00:33+0000	CODE_SMELL	false	"unused / "	Implementing-Privacy-in-Software-Applications---Lessons:cd0455_-Implementing_Privacy_in_Software_Applications-main/lesson-3/exercises/starter/main/pii_detection.py		MAIN	{startLine=46.0, endLine=46.0, startOffset=4.0, endOffset=27.0}	5min	AYa0pnA91m6JgciZ3DeS	599f5af6ac7887661a582cc457d3c47f	OPEN
