severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-06T02:14:40+0000		5.0		python:S6035	Implementing-Privacy-in-Software-Applications-	5min		Replace this alternation with a character class.	2023-03-06T02:14:40+0000	CODE_SMELL	false	"regex / "	Implementing-Privacy-in-Software-Applications-:cd0455-implementing-privacy-in-software-applications-tree-solution--main/backend/main/detection/pii_detection.py		MAIN	{startLine=5.0, endLine=5.0, startOffset=41.0, endOffset=45.0}	5min	AYa0s1IO1m6JgciZ3NLO	da2416238cf7c32c18962def8a29830f	OPEN
MAJOR	2023-03-06T02:14:40+0000		5.0		python:S6035	Implementing-Privacy-in-Software-Applications-	5min		Replace this alternation with a character class.	2023-03-06T02:14:40+0000	CODE_SMELL	false	"regex / "	Implementing-Privacy-in-Software-Applications-:cd0455-implementing-privacy-in-software-applications-tree-solution--main/backend/main/detection/pii_detection.py		MAIN	{startLine=5.0, endLine=5.0, startOffset=53.0, endOffset=57.0}	5min	AYa0s1IO1m6JgciZ3NLP	da2416238cf7c32c18962def8a29830f	OPEN
MAJOR	2023-03-06T02:14:40+0000		6.0		python:S6035	Implementing-Privacy-in-Software-Applications-	5min		Replace this alternation with a character class.	2023-03-06T02:14:40+0000	CODE_SMELL	false	"regex / "	Implementing-Privacy-in-Software-Applications-:cd0455-implementing-privacy-in-software-applications-tree-solution--main/backend/main/detection/pii_detection.py		MAIN	{startLine=6.0, endLine=6.0, startOffset=51.0, endOffset=55.0}	5min	AYa0s1IO1m6JgciZ3NLQ	d16bfddd991b049919aa7197e03b169f	OPEN
MAJOR	2023-03-06T02:14:40+0000		6.0		python:S6035	Implementing-Privacy-in-Software-Applications-	5min		Replace this alternation with a character class.	2023-03-06T02:14:40+0000	CODE_SMELL	false	"regex / "	Implementing-Privacy-in-Software-Applications-:cd0455-implementing-privacy-in-software-applications-tree-solution--main/backend/main/detection/pii_detection.py		MAIN	{startLine=6.0, endLine=6.0, startOffset=63.0, endOffset=67.0}	5min	AYa0s1IO1m6JgciZ3NLR	d16bfddd991b049919aa7197e03b169f	OPEN
MINOR	2023-03-06T02:14:40+0000		6.0		python:S5842	Implementing-Privacy-in-Software-Applications-	5min		Rework this part of the regex to not match the empty string.	2023-03-06T02:14:40+0000	BUG	false	"regex / "	Implementing-Privacy-in-Software-Applications-:cd0455-implementing-privacy-in-software-applications-tree-solution--main/backend/main/detection/pii_detection.py		MAIN	{startLine=6.0, endLine=6.0, startOffset=34.0, endOffset=41.0}	5min	AYa0s1IO1m6JgciZ3NLS	d16bfddd991b049919aa7197e03b169f	OPEN
CRITICAL	2023-03-06T02:14:40+0000		174.0		python:S1192	Implementing-Privacy-in-Software-Applications-	6min		"Define a constant instead of duplicating this literal ""first ballot"" 3 times."	2023-03-06T02:14:40+0000	CODE_SMELL	false	"design / "	Implementing-Privacy-in-Software-Applications-:cd0455-implementing-privacy-in-software-applications-tree-solution--main/backend/test/balloting_tests.py	"{locations=[{component=Implementing-Privacy-in-Software-Applications-:cd0455-implementing-privacy-in-software-applications-tree-solution--main/backend/test/balloting_tests.py, textRange={startLine=193.0, endLine=193.0, startOffset=15.0, endOffset=29.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Implementing-Privacy-in-Software-Applications-:cd0455-implementing-privacy-in-software-applications-tree-solution--main/backend/test/balloting_tests.py, textRange={startLine=204.0, endLine=204.0, startOffset=73.0, endOffset=87.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=174.0, endLine=174.0, startOffset=73.0, endOffset=87.0}	6min	AYa0s1IU1m6JgciZ3NLT	1420d8c84fb6416bb60f313e2eddb3da	OPEN
MAJOR	2023-03-06T02:14:40+0000		341.0		python:S2201	Implementing-Privacy-in-Software-Applications-	5min		"The return value of ""str.format"" must be used."	2023-03-06T02:14:40+0000	BUG	false		Implementing-Privacy-in-Software-Applications-:cd0455-implementing-privacy-in-software-applications-tree-solution--main/backend/test/balloting_tests.py		MAIN	{startLine=341.0, endLine=341.0, startOffset=44.0, endOffset=78.0}	5min	AYa0s1IU1m6JgciZ3NLU	514e479a55d2587ace0e52663e1e6ccf	OPEN
CRITICAL	2023-03-06T02:14:40+0000		38.0		python:S1192	Implementing-Privacy-in-Software-Applications-	6min		"Define a constant instead of duplicating this literal ""Couldn't register {0} {1}"" 3 times."	2023-03-06T02:14:40+0000	CODE_SMELL	false	"design / "	Implementing-Privacy-in-Software-Applications-:cd0455-implementing-privacy-in-software-applications-tree-solution--main/backend/test/registry_tests.py	"{locations=[{component=Implementing-Privacy-in-Software-Applications-:cd0455-implementing-privacy-in-software-applications-tree-solution--main/backend/test/registry_tests.py, textRange={startLine=50.0, endLine=50.0, startOffset=47.0, endOffset=74.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Implementing-Privacy-in-Software-Applications-:cd0455-implementing-privacy-in-software-applications-tree-solution--main/backend/test/registry_tests.py, textRange={startLine=62.0, endLine=62.0, startOffset=47.0, endOffset=74.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=38.0, endLine=38.0, startOffset=51.0, endOffset=78.0}	6min	AYa0s1IZ1m6JgciZ3NLW	5889d436972aaa288a8e1ebd9c4809cd	OPEN
MAJOR	2023-03-06T02:14:40+0000		52.0		python:S3457	Implementing-Privacy-in-Software-Applications-	10min		Remove this unused argument.	2023-03-06T02:14:40+0000	CODE_SMELL	false	"confusing / "	Implementing-Privacy-in-Software-Applications-:cd0455-implementing-privacy-in-software-applications-tree-solution--main/backend/test/registry_tests.py		MAIN	{startLine=52.0, endLine=52.0, startOffset=78.0, endOffset=94.0}	10min	AYa0s1IZ1m6JgciZ3NLX	b634625a07f61484fc46b7ecd7af37f5	OPEN
MAJOR	2023-03-06T02:14:40+0000		52.0		python:S3457	Implementing-Privacy-in-Software-Applications-	10min		Remove this unused argument.	2023-03-06T02:14:40+0000	CODE_SMELL	false	"confusing / "	Implementing-Privacy-in-Software-Applications-:cd0455-implementing-privacy-in-software-applications-tree-solution--main/backend/test/registry_tests.py		MAIN	{startLine=52.0, endLine=52.0, startOffset=96.0, endOffset=111.0}	10min	AYa0s1IZ1m6JgciZ3NLY	b634625a07f61484fc46b7ecd7af37f5	OPEN
INFO	2023-03-06T02:14:40+0000		49.0		typescript:S1135	Implementing-Privacy-in-Software-Applications-	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:14:40+0000	CODE_SMELL	false	"cwe / "	Implementing-Privacy-in-Software-Applications-:cd0455-implementing-privacy-in-software-applications-tree-solution--main/frontend/src/BallotForm.tsx		MAIN	{startLine=49.0, endLine=49.0, startOffset=7.0, endOffset=11.0}	0min	AYa0s1Ic1m6JgciZ3NLa	bf2578bc6b4723898899daff1a766e6a	OPEN
MINOR	2023-03-06T02:14:40+0000		68.0		typescript:S4325	Implementing-Privacy-in-Software-Applications-	1min		This assertion is unnecessary since it does not change the type of the expression.	2023-03-06T02:14:40+0000	CODE_SMELL	true	"redundant / "	Implementing-Privacy-in-Software-Applications-:cd0455-implementing-privacy-in-software-applications-tree-solution--main/frontend/src/BallotForm.tsx		MAIN	{startLine=68.0, endLine=68.0, startOffset=78.0, endOffset=118.0}	1min	AYa0s1Ic1m6JgciZ3NLb	2e95863dec95383fe71fc93e3f5b70fa	OPEN
