severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-06T01:59:02+0000		10.0		python:PrintStatementUsage	Intro-to-Programming-Nanodegree-Starter-Code	5min		Replace print statement by built-in function.	2023-03-06T01:59:02+0000	CODE_SMELL	false	"obsolete / python3 / "	Intro-to-Programming-Nanodegree-Starter-Code:ipnd-starter-code-master/stage_2/lesson_2.1_serious_programming/programming.py		MAIN	{startLine=10.0, endLine=10.0, startOffset=0.0, endOffset=5.0}	5min	AYa0pOsh1m6JgciZ3CjG	3d6ae21b6b0edba424a47fc1664ea933	OPEN
MAJOR	2023-03-06T01:59:02+0000		11.0		python:PrintStatementUsage	Intro-to-Programming-Nanodegree-Starter-Code	5min		Replace print statement by built-in function.	2023-03-06T01:59:02+0000	CODE_SMELL	false	"obsolete / python3 / "	Intro-to-Programming-Nanodegree-Starter-Code:ipnd-starter-code-master/stage_2/lesson_2.1_serious_programming/programming.py		MAIN	{startLine=11.0, endLine=11.0, startOffset=0.0, endOffset=5.0}	5min	AYa0pOsh1m6JgciZ3CjH	edbee95f013ab4438281fd01501d6c80	OPEN
MAJOR	2023-03-06T01:59:02+0000		10.0		python:PrintStatementUsage	Intro-to-Programming-Nanodegree-Starter-Code	5min		Replace print statement by built-in function.	2023-03-06T01:59:02+0000	CODE_SMELL	false	"obsolete / python3 / "	Intro-to-Programming-Nanodegree-Starter-Code:ipnd-starter-code-master/stage_2/lesson_2.2_variables_strings/strings.py		MAIN	{startLine=10.0, endLine=10.0, startOffset=0.0, endOffset=5.0}	5min	AYa0pOsW1m6JgciZ3Ci4	c0a5ccd66f27808a1eeb7da6c5102fc4	OPEN
MAJOR	2023-03-06T01:59:02+0000		11.0		python:PrintStatementUsage	Intro-to-Programming-Nanodegree-Starter-Code	5min		Replace print statement by built-in function.	2023-03-06T01:59:02+0000	CODE_SMELL	false	"obsolete / python3 / "	Intro-to-Programming-Nanodegree-Starter-Code:ipnd-starter-code-master/stage_2/lesson_2.2_variables_strings/strings.py		MAIN	{startLine=11.0, endLine=11.0, startOffset=0.0, endOffset=5.0}	5min	AYa0pOsW1m6JgciZ3Ci5	e90653042602b0f18af9baa92b89d14a	OPEN
MAJOR	2023-03-06T01:59:02+0000		14.0		python:PrintStatementUsage	Intro-to-Programming-Nanodegree-Starter-Code	5min		Replace print statement by built-in function.	2023-03-06T01:59:02+0000	CODE_SMELL	false	"obsolete / python3 / "	Intro-to-Programming-Nanodegree-Starter-Code:ipnd-starter-code-master/stage_2/lesson_2.2_variables_strings/strings.py		MAIN	{startLine=14.0, endLine=14.0, startOffset=0.0, endOffset=5.0}	5min	AYa0pOsW1m6JgciZ3Ci6	e6bf24712127b815af25bc5a0db23913	OPEN
MAJOR	2023-03-06T01:59:02+0000		16.0		python:PrintStatementUsage	Intro-to-Programming-Nanodegree-Starter-Code	5min		Replace print statement by built-in function.	2023-03-06T01:59:02+0000	CODE_SMELL	false	"obsolete / python3 / "	Intro-to-Programming-Nanodegree-Starter-Code:ipnd-starter-code-master/stage_2/lesson_2.2_variables_strings/variables.py		MAIN	{startLine=16.0, endLine=16.0, startOffset=0.0, endOffset=5.0}	5min	AYa0pOsS1m6JgciZ3Ci3	53ef100673950e0641b848549b336c9a	OPEN
MAJOR	2023-03-06T01:59:02+0000		12.0		python:PrintStatementUsage	Intro-to-Programming-Nanodegree-Starter-Code	5min		Replace print statement by built-in function.	2023-03-06T01:59:02+0000	CODE_SMELL	false	"obsolete / python3 / "	Intro-to-Programming-Nanodegree-Starter-Code:ipnd-starter-code-master/stage_2/lesson_2.3_functions/procedures.py		MAIN	{startLine=12.0, endLine=12.0, startOffset=0.0, endOffset=5.0}	5min	AYa0pOsa1m6JgciZ3CjB	ded74fcecdfd2113e0f2210b9854634c	OPEN
MAJOR	2023-03-06T01:59:02+0000		12.0		python:PrintStatementUsage	Intro-to-Programming-Nanodegree-Starter-Code	5min		Replace print statement by built-in function.	2023-03-06T01:59:02+0000	CODE_SMELL	false	"obsolete / python3 / "	Intro-to-Programming-Nanodegree-Starter-Code:ipnd-starter-code-master/stage_2/lesson_2.4_control_flow_loops/loops.py		MAIN	{startLine=12.0, endLine=12.0, startOffset=8.0, endOffset=13.0}	5min	AYa0pOsX1m6JgciZ3Ci7	66c496faf5074fc26aa0f3e250587c76	OPEN
MAJOR	2023-03-06T01:59:02+0000		10.0		python:PrintStatementUsage	Intro-to-Programming-Nanodegree-Starter-Code	5min		Replace print statement by built-in function.	2023-03-06T01:59:02+0000	CODE_SMELL	false	"obsolete / python3 / "	Intro-to-Programming-Nanodegree-Starter-Code:ipnd-starter-code-master/stage_2/lesson_2.4_control_flow_loops/making_decisions.py		MAIN	{startLine=10.0, endLine=10.0, startOffset=0.0, endOffset=5.0}	5min	AYa0pOsZ1m6JgciZ3Ci8	0d4880e5e9c21ff2cd746657a994e99b	OPEN
MAJOR	2023-03-06T01:59:02+0000		11.0		python:PrintStatementUsage	Intro-to-Programming-Nanodegree-Starter-Code	5min		Replace print statement by built-in function.	2023-03-06T01:59:02+0000	CODE_SMELL	false	"obsolete / python3 / "	Intro-to-Programming-Nanodegree-Starter-Code:ipnd-starter-code-master/stage_2/lesson_2.4_control_flow_loops/making_decisions.py		MAIN	{startLine=11.0, endLine=11.0, startOffset=0.0, endOffset=5.0}	5min	AYa0pOsZ1m6JgciZ3Ci9	9b92f32f3ab7a8c4de5f5af89c16e474	OPEN
