severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T01:59:38+0000		87.0		python:S1192	Introduction-to-Programming-Nanodegree	6min		"Define a constant instead of duplicating this literal ""A computer is a machine that can carry out instructions given to it by a programmer."" 3 times."	2023-03-06T01:59:38+0000	CODE_SMELL	false	"design / "	Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/content.py	"{locations=[{component=Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/content.py, textRange={startLine=168.0, endLine=168.0, startOffset=23.0, endOffset=109.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/content.py, textRange={startLine=253.0, endLine=253.0, startOffset=23.0, endOffset=109.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=87.0, endLine=87.0, startOffset=23.0, endOffset=109.0}	6min	AYa0pXvf1m6JgciZ3DAO	cdf4337cca7c69bbb182de2580c123fe	OPEN
CRITICAL	2023-03-06T01:59:38+0000		89.0		python:S1192	Introduction-to-Programming-Nanodegree	6min		"Define a constant instead of duplicating this literal ""Grammar refers to the rules that govern what statements are 'legal' in a language. Python has it's own grammar."" 3 times."	2023-03-06T01:59:38+0000	CODE_SMELL	false	"design / "	Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/content.py	"{locations=[{component=Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/content.py, textRange={startLine=170.0, endLine=170.0, startOffset=22.0, endOffset=135.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/content.py, textRange={startLine=255.0, endLine=255.0, startOffset=22.0, endOffset=135.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=89.0, endLine=89.0, startOffset=22.0, endOffset=135.0}	6min	AYa0pXvf1m6JgciZ3DAM	14851b5cac73775a46e411fd20510ec7	OPEN
CRITICAL	2023-03-06T01:59:38+0000		96.0		python:S1192	Introduction-to-Programming-Nanodegree	6min		"Define a constant instead of duplicating this literal ""https://www.udacity.com/course/viewer#!/c-ud552-nd/l-3574398630"" 3 times."	2023-03-06T01:59:38+0000	CODE_SMELL	false	"design / "	Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/content.py	"{locations=[{component=Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/content.py, textRange={startLine=108.0, endLine=108.0, startOffset=11.0, endOffset=76.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/content.py, textRange={startLine=120.0, endLine=120.0, startOffset=11.0, endOffset=76.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=96.0, endLine=96.0, startOffset=11.0, endOffset=76.0}	6min	AYa0pXvf1m6JgciZ3DAN	a4b03870f843a943bf4c92abb740ad94	OPEN
CRITICAL	2023-03-06T01:59:38+0000		99.0		python:S1192	Introduction-to-Programming-Nanodegree	6min		"Define a constant instead of duplicating this literal ""A variable is a titled container that holds information. "" 3 times."	2023-03-06T01:59:38+0000	CODE_SMELL	false	"design / "	Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/content.py	"{locations=[{component=Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/content.py, textRange={startLine=180.0, endLine=180.0, startOffset=22.0, endOffset=81.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/content.py, textRange={startLine=265.0, endLine=265.0, startOffset=22.0, endOffset=81.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=99.0, endLine=99.0, startOffset=22.0, endOffset=81.0}	6min	AYa0pXvf1m6JgciZ3DAL	6317304177592411dfe2475365e93df9	OPEN
CRITICAL	2023-03-06T01:59:38+0000		101.0		python:S1192	Introduction-to-Programming-Nanodegree	6min		"Define a constant instead of duplicating this literal ""A string is just text. We create strings by using single or double quotes."" 3 times."	2023-03-06T01:59:38+0000	CODE_SMELL	false	"design / "	Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/content.py	"{locations=[{component=Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/content.py, textRange={startLine=182.0, endLine=182.0, startOffset=22.0, endOffset=98.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/content.py, textRange={startLine=267.0, endLine=267.0, startOffset=22.0, endOffset=98.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=101.0, endLine=101.0, startOffset=22.0, endOffset=98.0}	6min	AYa0pXvf1m6JgciZ3DAP	b1d030595064917e6721d54739cc0ee5	OPEN
MAJOR	2023-03-06T01:59:38+0000		666.0		python:S125	Introduction-to-Programming-Nanodegree	5min		Remove this commented out code.	2023-03-06T01:59:38+0000	CODE_SMELL	false	"unused / "	Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/content.py		MAIN	{startLine=666.0, endLine=666.0, startOffset=2.0, endOffset=43.0}	5min	AYa0pXvf1m6JgciZ3DAe	45b2a86555fca4aa286610af009616e9	OPEN
INFO	2023-03-06T01:59:38+0000		1.0		python:S1135	Introduction-to-Programming-Nanodegree	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:59:38+0000	CODE_SMELL	false	"cwe / "	Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/handlers.py		MAIN	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=32.0}	0min	AYa0pXvm1m6JgciZ3DAg	a7e584f21dba31cf07c6bdbcdaa65f33	OPEN
INFO	2023-03-06T01:59:38+0000		2.0		python:S1135	Introduction-to-Programming-Nanodegree	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:59:38+0000	CODE_SMELL	false	"cwe / "	Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/handlers.py		MAIN	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=57.0}	0min	AYa0pXvm1m6JgciZ3DAh	3a4c87a260ad639309d7c349ebe00920	OPEN
INFO	2023-03-06T01:59:38+0000		3.0		python:S1135	Introduction-to-Programming-Nanodegree	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:59:38+0000	CODE_SMELL	false	"cwe / "	Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/handlers.py		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=77.0}	0min	AYa0pXvm1m6JgciZ3DAi	8677631c4acd9106d2745ad6c16442bd	OPEN
INFO	2023-03-06T01:59:38+0000		4.0		python:S1135	Introduction-to-Programming-Nanodegree	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:59:38+0000	CODE_SMELL	false	"cwe / "	Introduction-to-Programming-Nanodegree:intro-programming-nd-example-code-master/andy-final-project-example/handlers.py		MAIN	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=89.0}	0min	AYa0pXvm1m6JgciZ3DAj	3d2cbae3ba5302aeb5f32281a9bc7493	OPEN
