severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-06T02:13:28+0000		9.0		python:S117	Pacman-Game	2min		"Rename this local variable ""answerDiscount"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:13:28+0000	CODE_SMELL	false	"convention / "	Pacman-Game:ud820-proj-master/analysis.py		MAIN	{startLine=9.0, endLine=9.0, startOffset=2.0, endOffset=16.0}	2min	AYa0sjBV1m6JgciZ3L5e	63ae6c6bcf7e95b7535b4ccc9f8656a7	OPEN
MINOR	2023-03-06T02:13:28+0000		10.0		python:S117	Pacman-Game	2min		"Rename this local variable ""answerNoise"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:13:28+0000	CODE_SMELL	false	"convention / "	Pacman-Game:ud820-proj-master/analysis.py		MAIN	{startLine=10.0, endLine=10.0, startOffset=2.0, endOffset=13.0}	2min	AYa0sjBV1m6JgciZ3L5f	292c5b730748eeaf9ad7c500333f4a04	OPEN
MINOR	2023-03-06T02:13:28+0000		14.0		python:S117	Pacman-Game	2min		"Rename this local variable ""answerDiscount"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:13:28+0000	CODE_SMELL	false	"convention / "	Pacman-Game:ud820-proj-master/analysis.py		MAIN	{startLine=14.0, endLine=14.0, startOffset=2.0, endOffset=16.0}	2min	AYa0sjBV1m6JgciZ3L5g	63ae6c6bcf7e95b7535b4ccc9f8656a7	OPEN
MINOR	2023-03-06T02:13:28+0000		15.0		python:S117	Pacman-Game	2min		"Rename this local variable ""answerNoise"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:13:28+0000	CODE_SMELL	false	"convention / "	Pacman-Game:ud820-proj-master/analysis.py		MAIN	{startLine=15.0, endLine=15.0, startOffset=2.0, endOffset=13.0}	2min	AYa0sjBV1m6JgciZ3L5i	292c5b730748eeaf9ad7c500333f4a04	OPEN
MINOR	2023-03-06T02:13:28+0000		16.0		python:S117	Pacman-Game	2min		"Rename this local variable ""answerLivingReward"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:13:28+0000	CODE_SMELL	false	"convention / "	Pacman-Game:ud820-proj-master/analysis.py		MAIN	{startLine=16.0, endLine=16.0, startOffset=2.0, endOffset=20.0}	2min	AYa0sjBV1m6JgciZ3L5h	815442da0066d7bfcf103a7d53f92532	OPEN
MINOR	2023-03-06T02:13:28+0000		21.0		python:S117	Pacman-Game	2min		"Rename this local variable ""answerDiscount"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:13:28+0000	CODE_SMELL	false	"convention / "	Pacman-Game:ud820-proj-master/analysis.py		MAIN	{startLine=21.0, endLine=21.0, startOffset=2.0, endOffset=16.0}	2min	AYa0sjBV1m6JgciZ3L5j	63ae6c6bcf7e95b7535b4ccc9f8656a7	OPEN
MINOR	2023-03-06T02:13:28+0000		22.0		python:S117	Pacman-Game	2min		"Rename this local variable ""answerNoise"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:13:28+0000	CODE_SMELL	false	"convention / "	Pacman-Game:ud820-proj-master/analysis.py		MAIN	{startLine=22.0, endLine=22.0, startOffset=2.0, endOffset=13.0}	2min	AYa0sjBV1m6JgciZ3L5l	292c5b730748eeaf9ad7c500333f4a04	OPEN
MINOR	2023-03-06T02:13:28+0000		23.0		python:S117	Pacman-Game	2min		"Rename this local variable ""answerLivingReward"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:13:28+0000	CODE_SMELL	false	"convention / "	Pacman-Game:ud820-proj-master/analysis.py		MAIN	{startLine=23.0, endLine=23.0, startOffset=2.0, endOffset=20.0}	2min	AYa0sjBV1m6JgciZ3L5k	815442da0066d7bfcf103a7d53f92532	OPEN
MINOR	2023-03-06T02:13:28+0000		28.0		python:S117	Pacman-Game	2min		"Rename this local variable ""answerDiscount"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:13:28+0000	CODE_SMELL	false	"convention / "	Pacman-Game:ud820-proj-master/analysis.py		MAIN	{startLine=28.0, endLine=28.0, startOffset=2.0, endOffset=16.0}	2min	AYa0sjBV1m6JgciZ3L5m	63ae6c6bcf7e95b7535b4ccc9f8656a7	OPEN
MINOR	2023-03-06T02:13:28+0000		29.0		python:S117	Pacman-Game	2min		"Rename this local variable ""answerNoise"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:13:28+0000	CODE_SMELL	false	"convention / "	Pacman-Game:ud820-proj-master/analysis.py		MAIN	{startLine=29.0, endLine=29.0, startOffset=2.0, endOffset=13.0}	2min	AYa0sjBV1m6JgciZ3L5o	292c5b730748eeaf9ad7c500333f4a04	OPEN
