severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T02:05:28+0000		9.0		python:S2208	Python-scikit-learn-for-analyzing-the-dataset	5min		Import only needed names or import the module and then use its members.	2023-03-06T02:05:28+0000	CODE_SMELL	false	"pitfall / "	Python-scikit-learn-for-analyzing-the-dataset:ud675-proj-master/boston_data.py		MAIN	{startLine=9.0, endLine=9.0, startOffset=0.0, endOffset=19.0}	5min	AYa0qteD1m6JgciZ3GXb	d19c6396e051f6431084beba4c36ca3b	OPEN
CRITICAL	2023-03-06T02:05:28+0000		6.0		python:S2208	Python-scikit-learn-for-analyzing-the-dataset	5min		Import only needed names or import the module and then use its members.	2023-03-06T02:05:28+0000	CODE_SMELL	false	"pitfall / "	Python-scikit-learn-for-analyzing-the-dataset:ud675-proj-master/complexity/boosting.py		MAIN	{startLine=6.0, endLine=6.0, startOffset=0.0, endOffset=19.0}	5min	AYa0qtd31m6JgciZ3GXI	d19c6396e051f6431084beba4c36ca3b	OPEN
CRITICAL	2023-03-06T02:05:28+0000		6.0		python:S2208	Python-scikit-learn-for-analyzing-the-dataset	5min		Import only needed names or import the module and then use its members.	2023-03-06T02:05:28+0000	CODE_SMELL	false	"pitfall / "	Python-scikit-learn-for-analyzing-the-dataset:ud675-proj-master/complexity/dt.py		MAIN	{startLine=6.0, endLine=6.0, startOffset=0.0, endOffset=19.0}	5min	AYa0qtd91m6JgciZ3GXR	d19c6396e051f6431084beba4c36ca3b	OPEN
CRITICAL	2023-03-06T02:05:28+0000		6.0		python:S2208	Python-scikit-learn-for-analyzing-the-dataset	5min		Import only needed names or import the module and then use its members.	2023-03-06T02:05:28+0000	CODE_SMELL	false	"pitfall / "	Python-scikit-learn-for-analyzing-the-dataset:ud675-proj-master/complexity/knn.py		MAIN	{startLine=6.0, endLine=6.0, startOffset=0.0, endOffset=19.0}	5min	AYa0qtd71m6JgciZ3GXQ	d19c6396e051f6431084beba4c36ca3b	OPEN
CRITICAL	2023-03-06T02:05:28+0000		7.0		python:S2208	Python-scikit-learn-for-analyzing-the-dataset	5min		Import only needed names or import the module and then use its members.	2023-03-06T02:05:28+0000	CODE_SMELL	false	"pitfall / "	Python-scikit-learn-for-analyzing-the-dataset:ud675-proj-master/complexity/neuralnets.py		MAIN	{startLine=7.0, endLine=7.0, startOffset=0.0, endOffset=19.0}	5min	AYa0qtd61m6JgciZ3GXK	d19c6396e051f6431084beba4c36ca3b	OPEN
MINOR	2023-03-06T02:05:28+0000		62.0		python:S117	Python-scikit-learn-for-analyzing-the-dataset	2min		"Rename this parameter ""M"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:05:28+0000	CODE_SMELL	false	"convention / "	Python-scikit-learn-for-analyzing-the-dataset:ud675-proj-master/complexity/neuralnets.py		MAIN	{startLine=62.0, endLine=62.0, startOffset=38.0, endOffset=39.0}	2min	AYa0qtd61m6JgciZ3GXL	0a99e6279f1e0e96cf42462dceacbee3	OPEN
MINOR	2023-03-06T02:05:28+0000		62.0		python:S100	Python-scikit-learn-for-analyzing-the-dataset	5min		"Rename method ""backPropagate"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:05:28+0000	CODE_SMELL	false	"convention / "	Python-scikit-learn-for-analyzing-the-dataset:ud675-proj-master/complexity/neuralnets.py		MAIN	{startLine=62.0, endLine=62.0, startOffset=6.0, endOffset=19.0}	5min	AYa0qtd61m6JgciZ3GXM	0a99e6279f1e0e96cf42462dceacbee3	OPEN
MINOR	2023-03-06T02:05:28+0000		89.0		python:S117	Python-scikit-learn-for-analyzing-the-dataset	2min		"Rename this parameter ""M"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:05:28+0000	CODE_SMELL	false	"convention / "	Python-scikit-learn-for-analyzing-the-dataset:ud675-proj-master/complexity/neuralnets.py		MAIN	{startLine=89.0, endLine=89.0, startOffset=58.0, endOffset=59.0}	2min	AYa0qtd61m6JgciZ3GXN	2c3703475fab1b36bbd8fdde11280b6e	OPEN
MAJOR	2023-03-06T02:05:28+0000		114.0		python:PrintStatementUsage	Python-scikit-learn-for-analyzing-the-dataset	5min		Replace print statement by built-in function.	2023-03-06T02:05:28+0000	CODE_SMELL	false	"obsolete / python3 / "	Python-scikit-learn-for-analyzing-the-dataset:ud675-proj-master/complexity/neuralnets.py		MAIN	{startLine=114.0, endLine=114.0, startOffset=8.0, endOffset=13.0}	5min	AYa0qtd61m6JgciZ3GXO	6f47a1d2637e0c21baff91251f820131	OPEN
MAJOR	2023-03-06T02:05:28+0000		119.0		python:PrintStatementUsage	Python-scikit-learn-for-analyzing-the-dataset	5min		Replace print statement by built-in function.	2023-03-06T02:05:28+0000	CODE_SMELL	false	"obsolete / python3 / "	Python-scikit-learn-for-analyzing-the-dataset:ud675-proj-master/complexity/neuralnets.py		MAIN	{startLine=119.0, endLine=119.0, startOffset=10.0, endOffset=15.0}	5min	AYa0qtd61m6JgciZ3GXP	037103ce90fd304ce9b66361b9c78860	OPEN
CRITICAL	2023-03-06T02:05:28+0000		6.0		python:S2208	Python-scikit-learn-for-analyzing-the-dataset	5min		Import only needed names or import the module and then use its members.	2023-03-06T02:05:28+0000	CODE_SMELL	false	"pitfall / "	Python-scikit-learn-for-analyzing-the-dataset:ud675-proj-master/complexity/nn.py		MAIN	{startLine=6.0, endLine=6.0, startOffset=0.0, endOffset=19.0}	5min	AYa0qtd21m6JgciZ3GXH	d19c6396e051f6431084beba4c36ca3b	OPEN
CRITICAL	2023-03-06T02:05:28+0000		6.0		python:S2208	Python-scikit-learn-for-analyzing-the-dataset	5min		Import only needed names or import the module and then use its members.	2023-03-06T02:05:28+0000	CODE_SMELL	false	"pitfall / "	Python-scikit-learn-for-analyzing-the-dataset:ud675-proj-master/complexity/nn_epochs.py		MAIN	{startLine=6.0, endLine=6.0, startOffset=0.0, endOffset=19.0}	5min	AYa0qtd41m6JgciZ3GXJ	d19c6396e051f6431084beba4c36ca3b	OPEN
