severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-06T01:59:20+0000		144.0		python:S3626	Robotics-Program---Deep-Learning-Lab-Segmentation	1min		Remove this redundant continue.	2023-03-06T01:59:20+0000	CODE_SMELL	false	"clumsy / redundant / "	Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/data_iterator.py	"{locations=[{component=Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/data_iterator.py, textRange={startLine=133.0, endLine=133.0, startOffset=8.0, endOffset=11.0}, msgFormattings=[]}]} / "	MAIN	{startLine=144.0, endLine=144.0, startOffset=16.0, endOffset=24.0}	1min	AYa0pTfL1m6JgciZ3C7C	7aa28ed115707345d0274032757e8991	OPEN
MAJOR	2023-03-06T01:59:20+0000		68.0		python:S1172	Robotics-Program---Deep-Learning-Lab-Segmentation	5min		"Remove the unused function parameter ""pred_run_name""."	2023-03-06T01:59:20+0000	CODE_SMELL	false	"unused / "	Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/plotting_tools.py		MAIN	{startLine=68.0, endLine=68.0, startOffset=23.0, endOffset=36.0}	5min	AYa0pTfH1m6JgciZ3C6_	2864e08ccce4d48d64b9b2f43c96f8d1	OPEN
MINOR	2023-03-06T01:59:20+0000		104.0		python:S1481	Robotics-Program---Deep-Learning-Lab-Segmentation	5min		"Remove the unused local variable ""train_line""."	2023-03-06T01:59:20+0000	CODE_SMELL	false	"unused / "	Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/plotting_tools.py		MAIN	{startLine=104.0, endLine=104.0, startOffset=4.0, endOffset=14.0}	5min	AYa0pTfH1m6JgciZ3C7B	cb62fac3a9995dad554224e74f04b0f2	OPEN
MINOR	2023-03-06T01:59:20+0000		108.0		python:S1481	Robotics-Program---Deep-Learning-Lab-Segmentation	5min		"Remove the unused local variable ""val_line""."	2023-03-06T01:59:20+0000	CODE_SMELL	false	"unused / "	Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/plotting_tools.py		MAIN	{startLine=108.0, endLine=108.0, startOffset=8.0, endOffset=16.0}	5min	AYa0pTfH1m6JgciZ3C7A	db1bdadb00a5ea14b80d535fe6a04a59	OPEN
MAJOR	2023-03-06T01:59:20+0000		48.0		python:S1066	Robotics-Program---Deep-Learning-Lab-Segmentation	5min		Merge this if statement with the enclosing one.	2023-03-06T01:59:20+0000	CODE_SMELL	false	"clumsy / "	Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/scoring_utils.py	"{locations=[{component=Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/scoring_utils.py, textRange={startLine=47.0, endLine=47.0, startOffset=4.0, endOffset=6.0}, msg=enclosing, msgFormattings=[]}]} / "	MAIN	{startLine=48.0, endLine=48.0, startOffset=8.0, endOffset=10.0}	5min	AYa0pTfP1m6JgciZ3C7L	918b691a1f984945b2ea4d47698cbcad	OPEN
MAJOR	2023-03-06T01:59:20+0000		52.0		python:S1066	Robotics-Program---Deep-Learning-Lab-Segmentation	5min		Merge this if statement with the enclosing one.	2023-03-06T01:59:20+0000	CODE_SMELL	false	"clumsy / "	Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/scoring_utils.py	"{locations=[{component=Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/scoring_utils.py, textRange={startLine=51.0, endLine=51.0, startOffset=4.0, endOffset=6.0}, msg=enclosing, msgFormattings=[]}]} / "	MAIN	{startLine=52.0, endLine=52.0, startOffset=8.0, endOffset=10.0}	5min	AYa0pTfP1m6JgciZ3C7M	994fa664756ee58ccad74165f043bbdc	OPEN
MAJOR	2023-03-06T01:59:20+0000		63.0		python:S125	Robotics-Program---Deep-Learning-Lab-Segmentation	5min		Remove this commented out code.	2023-03-06T01:59:20+0000	CODE_SMELL	false	"unused / "	Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/scoring_utils.py		MAIN	{startLine=63.0, endLine=63.0, startOffset=8.0, endOffset=22.0}	5min	AYa0pTfP1m6JgciZ3C7N	9d696d45e755b5d331b0e5cceb4ebd33	OPEN
MAJOR	2023-03-06T01:59:20+0000		96.0		python:S5806	Robotics-Program---Deep-Learning-Lab-Segmentation	5min		Rename this variable; it shadows a builtin.	2023-03-06T01:59:20+0000	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/separable_conv2d.py		MAIN	{startLine=96.0, endLine=96.0, startOffset=4.0, endOffset=9.0}	5min	AYa0pTfN1m6JgciZ3C7H	b5b31690145f02c4942493a66413f6fb	OPEN
MINOR	2023-03-06T01:59:20+0000		106.0		python:S1481	Robotics-Program---Deep-Learning-Lab-Segmentation	5min		"Remove the unused local variable ""channel_multiplier""."	2023-03-06T01:59:20+0000	CODE_SMELL	false	"unused / "	Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/separable_conv2d.py		MAIN	{startLine=106.0, endLine=106.0, startOffset=4.0, endOffset=22.0}	5min	AYa0pTfN1m6JgciZ3C7F	145e5f871dda344b393f4e729313375f	OPEN
MINOR	2023-03-06T01:59:20+0000		108.0		python:S1481	Robotics-Program---Deep-Learning-Lab-Segmentation	5min		"Remove the unused local variable ""in_channels""."	2023-03-06T01:59:20+0000	CODE_SMELL	false	"unused / "	Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/separable_conv2d.py		MAIN	{startLine=108.0, endLine=108.0, startOffset=6.0, endOffset=17.0}	5min	AYa0pTfN1m6JgciZ3C7D	4373e212c430309b2837c27fb19b598f	OPEN
MINOR	2023-03-06T01:59:20+0000		110.0		python:S1481	Robotics-Program---Deep-Learning-Lab-Segmentation	5min		"Remove the unused local variable ""in_channels""."	2023-03-06T01:59:20+0000	CODE_SMELL	false	"unused / "	Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/separable_conv2d.py		MAIN	{startLine=110.0, endLine=110.0, startOffset=6.0, endOffset=17.0}	5min	AYa0pTfN1m6JgciZ3C7E	678fcc93315716494c00cfd9c3308eca	OPEN
MINOR	2023-03-06T01:59:20+0000		112.0		python:S1481	Robotics-Program---Deep-Learning-Lab-Segmentation	5min		"Remove the unused local variable ""out_channels""."	2023-03-06T01:59:20+0000	CODE_SMELL	false	"unused / "	Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/separable_conv2d.py		MAIN	{startLine=112.0, endLine=112.0, startOffset=4.0, endOffset=16.0}	5min	AYa0pTfN1m6JgciZ3C7G	2d0fb67adc4be7cd3258073688568dd5	OPEN
MAJOR	2023-03-06T01:59:20+0000		248.0		python:S107	Robotics-Program---Deep-Learning-Lab-Segmentation	20min		"Method ""__init__"" has 19 parameters, which is greater than the 13 authorized."	2023-03-06T01:59:20+0000	CODE_SMELL	false	"brain-overload / "	Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/separable_conv2d.py		MAIN	{startLine=248.0, endLine=266.0, startOffset=15.0, endOffset=23.0}	20min	AYa0pTfN1m6JgciZ3C7I	208dd6ade44db6c2acee9d7ffbe46b04	OPEN
INFO	2023-03-06T01:59:20+0000		493.0		python:S1135	Robotics-Program---Deep-Learning-Lab-Segmentation	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:59:20+0000	CODE_SMELL	false	"cwe / "	Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/separable_conv2d.py		MAIN	{startLine=493.0, endLine=493.0, startOffset=4.0, endOffset=68.0}	0min	AYa0pTfN1m6JgciZ3C7J	be1bd58b14479b756ea54254d8728056	OPEN
INFO	2023-03-06T01:59:20+0000		500.0		python:S1135	Robotics-Program---Deep-Learning-Lab-Segmentation	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:59:20+0000	CODE_SMELL	false	"cwe / "	Robotics-Program---Deep-Learning-Lab-Segmentation:RoboND-Segmentation-Lab-master/code/utils/separable_conv2d.py		MAIN	{startLine=500.0, endLine=500.0, startOffset=4.0, endOffset=68.0}	0min	AYa0pTfN1m6JgciZ3C7K	be1bd58b14479b756ea54254d8728056	OPEN
