severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
INFO	2023-03-06T02:07:47+0000		9.0		python:S1135	Robotics-Program-Quadrotor-Controls-Lab	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:07:47+0000	CODE_SMELL	false	"cwe / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/pid_controller.py		MAIN	{startLine=9.0, endLine=9.0, startOffset=8.0, endOffset=13.0}	0min	AYa0rO4K1m6JgciZ3Hki	318def6f5784febe31487da9f28a24c0	OPEN
INFO	2023-03-06T02:07:47+0000		12.0		python:S1135	Robotics-Program-Quadrotor-Controls-Lab	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:07:47+0000	CODE_SMELL	false	"cwe / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/pid_controller.py		MAIN	{startLine=12.0, endLine=12.0, startOffset=8.0, endOffset=13.0}	0min	AYa0rO4K1m6JgciZ3Hkj	318def6f5784febe31487da9f28a24c0	OPEN
MINOR	2023-03-06T02:07:47+0000		15.0		python:S100	Robotics-Program-Quadrotor-Controls-Lab	5min		"Rename method ""setTarget"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:07:47+0000	CODE_SMELL	false	"convention / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/pid_controller.py		MAIN	{startLine=15.0, endLine=15.0, startOffset=8.0, endOffset=17.0}	5min	AYa0rO4K1m6JgciZ3Hkk	7c8ee5651bbb106c5282969c2b8640ac	OPEN
INFO	2023-03-06T02:07:47+0000		16.0		python:S1135	Robotics-Program-Quadrotor-Controls-Lab	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:07:47+0000	CODE_SMELL	false	"cwe / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/pid_controller.py		MAIN	{startLine=16.0, endLine=16.0, startOffset=8.0, endOffset=13.0}	0min	AYa0rO4K1m6JgciZ3Hkl	318def6f5784febe31487da9f28a24c0	OPEN
MINOR	2023-03-06T02:07:47+0000		19.0		python:S100	Robotics-Program-Quadrotor-Controls-Lab	5min		"Rename method ""setKP"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:07:47+0000	CODE_SMELL	false	"convention / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/pid_controller.py		MAIN	{startLine=19.0, endLine=19.0, startOffset=8.0, endOffset=13.0}	5min	AYa0rO4K1m6JgciZ3Hkm	5ef9d6327be47440c1184a6d2caa1301	OPEN
INFO	2023-03-06T02:07:47+0000		20.0		python:S1135	Robotics-Program-Quadrotor-Controls-Lab	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:07:47+0000	CODE_SMELL	false	"cwe / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/pid_controller.py		MAIN	{startLine=20.0, endLine=20.0, startOffset=8.0, endOffset=13.0}	0min	AYa0rO4K1m6JgciZ3Hkn	318def6f5784febe31487da9f28a24c0	OPEN
MINOR	2023-03-06T02:07:47+0000		23.0		python:S100	Robotics-Program-Quadrotor-Controls-Lab	5min		"Rename method ""setKI"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:07:47+0000	CODE_SMELL	false	"convention / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/pid_controller.py		MAIN	{startLine=23.0, endLine=23.0, startOffset=8.0, endOffset=13.0}	5min	AYa0rO4K1m6JgciZ3Hko	92b330e328a9ff19c690d1e9a522d86a	OPEN
INFO	2023-03-06T02:07:47+0000		24.0		python:S1135	Robotics-Program-Quadrotor-Controls-Lab	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:07:47+0000	CODE_SMELL	false	"cwe / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/pid_controller.py		MAIN	{startLine=24.0, endLine=24.0, startOffset=8.0, endOffset=13.0}	0min	AYa0rO4K1m6JgciZ3Hkp	318def6f5784febe31487da9f28a24c0	OPEN
MINOR	2023-03-06T02:07:47+0000		27.0		python:S100	Robotics-Program-Quadrotor-Controls-Lab	5min		"Rename method ""setKD"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:07:47+0000	CODE_SMELL	false	"convention / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/pid_controller.py		MAIN	{startLine=27.0, endLine=27.0, startOffset=8.0, endOffset=13.0}	5min	AYa0rO4K1m6JgciZ3Hkq	a1537f2ad7ec171b17edd4f8d3735f0c	OPEN
INFO	2023-03-06T02:07:47+0000		28.0		python:S1135	Robotics-Program-Quadrotor-Controls-Lab	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:07:47+0000	CODE_SMELL	false	"cwe / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/pid_controller.py		MAIN	{startLine=28.0, endLine=28.0, startOffset=8.0, endOffset=13.0}	0min	AYa0rO4K1m6JgciZ3Hkr	318def6f5784febe31487da9f28a24c0	OPEN
MINOR	2023-03-06T02:07:47+0000		31.0		python:S100	Robotics-Program-Quadrotor-Controls-Lab	5min		"Rename method ""setMaxWindup"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:07:47+0000	CODE_SMELL	false	"convention / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/pid_controller.py		MAIN	{startLine=31.0, endLine=31.0, startOffset=8.0, endOffset=20.0}	5min	AYa0rO4K1m6JgciZ3Hks	15fae9f3d16ccac0406f3c7501a6b475	OPEN
INFO	2023-03-06T02:07:47+0000		32.0		python:S1135	Robotics-Program-Quadrotor-Controls-Lab	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:07:47+0000	CODE_SMELL	false	"cwe / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/pid_controller.py		MAIN	{startLine=32.0, endLine=32.0, startOffset=8.0, endOffset=13.0}	0min	AYa0rO4K1m6JgciZ3Hkt	318def6f5784febe31487da9f28a24c0	OPEN
INFO	2023-03-06T02:07:47+0000		36.0		python:S1135	Robotics-Program-Quadrotor-Controls-Lab	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T02:07:47+0000	CODE_SMELL	false	"cwe / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/pid_controller.py		MAIN	{startLine=36.0, endLine=36.0, startOffset=8.0, endOffset=13.0}	0min	AYa0rO4K1m6JgciZ3Hku	318def6f5784febe31487da9f28a24c0	OPEN
CRITICAL	2023-03-06T02:07:47+0000		48.0		python:S1192	Robotics-Program-Quadrotor-Controls-Lab	6min		Define a constant instead of duplicating this literal 'quadrotor path' 3 times.	2023-03-06T02:07:47+0000	CODE_SMELL	false	"design / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/plotting_helpers.py	"{locations=[{component=Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/plotting_helpers.py, textRange={startLine=107.0, endLine=107.0, startOffset=14.0, endOffset=30.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/plotting_helpers.py, textRange={startLine=181.0, endLine=181.0, startOffset=14.0, endOffset=30.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=48.0, endLine=48.0, startOffset=14.0, endOffset=30.0}	6min	AYa0rO4F1m6JgciZ3Hkb	3678831584befb9eb2e57e259211fc40	OPEN
CRITICAL	2023-03-06T02:07:47+0000		62.0		python:S1192	Robotics-Program-Quadrotor-Controls-Lab	6min		Define a constant instead of duplicating this literal 'upper right' 3 times.	2023-03-06T02:07:47+0000	CODE_SMELL	false	"design / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/plotting_helpers.py	"{locations=[{component=Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/plotting_helpers.py, textRange={startLine=121.0, endLine=121.0, startOffset=19.0, endOffset=32.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/plotting_helpers.py, textRange={startLine=195.0, endLine=195.0, startOffset=19.0, endOffset=32.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=62.0, endLine=62.0, startOffset=19.0, endOffset=32.0}	6min	AYa0rO4F1m6JgciZ3Hka	5d7d5927bde03add9c14b8793c05d554	OPEN
MAJOR	2023-03-06T02:07:47+0000		76.0		python:S1172	Robotics-Program-Quadrotor-Controls-Lab	5min		"Remove the unused function parameter ""out_fname""."	2023-03-06T02:07:47+0000	CODE_SMELL	false	"unused / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/plotting_helpers.py		MAIN	{startLine=76.0, endLine=76.0, startOffset=17.0, endOffset=55.0}	5min	AYa0rO4F1m6JgciZ3Hkc	10391e20ef2a61e663b7e81aadb6ed24	OPEN
MAJOR	2023-03-06T02:07:47+0000		136.0		python:S1172	Robotics-Program-Quadrotor-Controls-Lab	5min		"Remove the unused function parameter ""out_fname""."	2023-03-06T02:07:47+0000	CODE_SMELL	false	"unused / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/plotting_helpers.py		MAIN	{startLine=136.0, endLine=136.0, startOffset=19.0, endOffset=59.0}	5min	AYa0rO4F1m6JgciZ3Hkd	8ef5c3abf3afcb194ed18a85dc4fe37c	OPEN
CRITICAL	2023-03-06T02:07:47+0000		11.0		python:S3776	Robotics-Program-Quadrotor-Controls-Lab	8min		Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.	2023-03-06T02:07:47+0000	CODE_SMELL	false	"brain-overload / "	Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/twiddle.py	"{locations=[{component=Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/twiddle.py, textRange={startLine=12.0, endLine=12.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/twiddle.py, textRange={startLine=18.0, endLine=18.0, startOffset=8.0, endOffset=11.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/twiddle.py, textRange={startLine=21.0, endLine=21.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/twiddle.py, textRange={startLine=25.0, endLine=25.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/twiddle.py, textRange={startLine=29.0, endLine=29.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/twiddle.py, textRange={startLine=32.0, endLine=32.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/twiddle.py, textRange={startLine=36.0, endLine=36.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/twiddle.py, textRange={startLine=39.0, endLine=39.0, startOffset=16.0, endOffset=20.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Robotics-Program-Quadrotor-Controls-Lab:RoboND-Controls-Lab-master/quad_controller/src/quad_controller/twiddle.py, textRange={startLine=41.0, endLine=41.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / "	MAIN	{startLine=11.0, endLine=11.0, startOffset=8.0, endOffset=11.0}	8min	AYa0rO4C1m6JgciZ3HkZ	ec227b0544ae49167c5934f4f717fe97	OPEN
