severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-06T01:57:21+0000		54.0		python:S125	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking	5min		Remove this commented out code.	2023-03-06T01:57:21+0000	CODE_SMELL	false	"unused / "	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/loop_over_dataset.py		MAIN	{startLine=54.0, endLine=54.0, startOffset=0.0, endOffset=116.0}	5min	AYa0o3LS1m6JgciZ3Ale	205244a51f9508805b7e9f45cb091311	OPEN
CRITICAL	2023-03-06T01:57:21+0000		35.0		python:S3776	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking	18min		Refactor this function to reduce its Cognitive Complexity from 28 to the 15 allowed.	2023-03-06T01:57:21+0000	CODE_SMELL	false	"brain-overload / "	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py	"{locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=44.0, endLine=44.0, startOffset=4.0, endOffset=7.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=45.0, endLine=45.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=45.0, endLine=45.0, startOffset=25.0, endOffset=27.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=48.0, endLine=48.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=50.0, endLine=50.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=52.0, endLine=52.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=74.0, endLine=74.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=76.0, endLine=76.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=78.0, endLine=78.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=111.0, endLine=111.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=116.0, endLine=116.0, startOffset=12.0, endOffset=15.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=137.0, endLine=137.0, startOffset=4.0, endOffset=7.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=138.0, endLine=138.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=141.0, endLine=141.0, startOffset=4.0, endOffset=7.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=155.0, endLine=155.0, startOffset=69.0, endOffset=71.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=161.0, endLine=161.0, startOffset=4.0, endOffset=7.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=162.0, endLine=162.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / "	MAIN	{startLine=35.0, endLine=35.0, startOffset=4.0, endOffset=15.0}	18min	AYa0o3Kf1m6JgciZ3Aji	405d0be9bacb1b4f559a13d441f4fa2b	OPEN
MAJOR	2023-03-06T01:57:21+0000		61.0		python:S1854	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking	15min		Remove this assignment to local variable 'z'; the value is never used.	2023-03-06T01:57:21+0000	CODE_SMELL	false	"cwe / unused / "	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py		MAIN	{startLine=61.0, endLine=61.0, startOffset=12.0, endOffset=26.0}	15min	AYa0o3Kf1m6JgciZ3Aje	c7e59159ad91752aa91ca979174bb889	OPEN
MINOR	2023-03-06T01:57:21+0000		101.0		python:S117	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking	2min		"Rename this local variable ""corners_3D"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T01:57:21+0000	CODE_SMELL	false	"convention / "	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py		MAIN	{startLine=101.0, endLine=101.0, startOffset=12.0, endOffset=22.0}	2min	AYa0o3Kf1m6JgciZ3Ajg	0ddcc64771baf5c36da483034b6f8066	OPEN
MINOR	2023-03-06T01:57:21+0000		115.0		python:S117	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking	2min		"Rename this local variable ""corners_2D"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T01:57:21+0000	CODE_SMELL	false	"convention / "	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py		MAIN	{startLine=115.0, endLine=115.0, startOffset=12.0, endOffset=22.0}	2min	AYa0o3Kf1m6JgciZ3Ajf	f933ed37964bfb7efedc8986adeef70d	OPEN
MINOR	2023-03-06T01:57:21+0000		124.0		python:S117	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking	2min		"Rename this local variable ""paths_2D"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T01:57:21+0000	CODE_SMELL	false	"convention / "	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py		MAIN	{startLine=124.0, endLine=124.0, startOffset=12.0, endOffset=20.0}	2min	AYa0o3Kf1m6JgciZ3Ajh	35b36044c54937cb417adcd0908381f3	OPEN
CRITICAL	2023-03-06T01:57:21+0000		172.0		python:S3776	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking	25min		Refactor this function to reduce its Cognitive Complexity from 35 to the 15 allowed.	2023-03-06T01:57:21+0000	CODE_SMELL	false	"brain-overload / "	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py	"{locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=177.0, endLine=177.0, startOffset=4.0, endOffset=7.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=184.0, endLine=184.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=186.0, endLine=186.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=189.0, endLine=189.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=194.0, endLine=194.0, startOffset=12.0, endOffset=15.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=196.0, endLine=196.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=198.0, endLine=198.0, startOffset=20.0, endOffset=22.0}, msg=+5 (incl 4 for nesting), msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=198.0, endLine=198.0, startOffset=157.0, endOffset=160.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=202.0, endLine=202.0, startOffset=24.0, endOffset=26.0}, msg=+6 (incl 5 for nesting), msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=204.0, endLine=204.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=212.0, endLine=212.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=223.0, endLine=223.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/evaluation.py, textRange={startLine=225.0, endLine=225.0, startOffset=4.0, endOffset=8.0}, msg=+1, msgFormattings=[]}]} / "	MAIN	{startLine=172.0, endLine=172.0, startOffset=4.0, endOffset=13.0}	25min	AYa0o3Kf1m6JgciZ3Ajj	118d134aa8e3e77a7ab162547d04fbac	OPEN
MAJOR	2023-03-06T01:57:21+0000		29.0		python:S5806	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking	5min		Rename this variable; it shadows a builtin.	2023-03-06T01:57:21+0000	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/helpers.py		MAIN	{startLine=29.0, endLine=29.0, startOffset=8.0, endOffset=14.0}	5min	AYa0o3Kc1m6JgciZ3Ajd	32b13ee67ad01a0a003b03760323454c	OPEN
MAJOR	2023-03-06T01:57:21+0000		65.0		python:S1172	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking	5min		"Remove the unused function parameter ""pixel_pose""."	2023-03-06T01:57:21+0000	CODE_SMELL	false	"unused / "	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/objdet_tools.py		MAIN	{startLine=65.0, endLine=65.0, startOffset=64.0, endOffset=74.0}	5min	AYa0o3Kh1m6JgciZ3Ajk	b531cacba24a72d8e02823094cbc3fe0	OPEN
MAJOR	2023-03-06T01:57:21+0000		65.0		python:S1172	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking	5min		"Remove the unused function parameter ""frame_pose""."	2023-03-06T01:57:21+0000	CODE_SMELL	false	"unused / "	Self-Driving-Car-Engineer-Nanodegree---SDCND-:-Sensor-Fusion-and-Tracking:nd013-c2-fusion-starter-main/misc/objdet_tools.py		MAIN	{startLine=65.0, endLine=65.0, startOffset=76.0, endOffset=86.0}	5min	AYa0o3Kh1m6JgciZ3Ajl	b531cacba24a72d8e02823094cbc3fe0	OPEN
