severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-06T02:11:44+0000		62.0		python:S125	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises	5min		Remove this commented out code.	2023-03-06T02:11:44+0000	CODE_SMELL	false	"unused / "	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises:nd013-c2-fusion-exercises-main/basic_loop.py		MAIN	{startLine=62.0, endLine=62.0, startOffset=0.0, endOffset=115.0}	5min	AYa0sJdb1m6JgciZ3J4O	205244a51f9508805b7e9f45cb091311	OPEN
MAJOR	2023-03-06T02:11:44+0000		29.0		python:S1172	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises	5min		"Remove the unused function parameter ""lidar_name""."	2023-03-06T02:11:44+0000	CODE_SMELL	false	"unused / "	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises:nd013-c2-fusion-exercises-main/lesson-1-lidar-sensor/exercises/starter/l1_exercises.py		MAIN	{startLine=29.0, endLine=29.0, startOffset=33.0, endOffset=43.0}	5min	AYa0sJe41m6JgciZ3J5m	3d282b1705575b025f660a603c4de348	OPEN
MAJOR	2023-03-06T02:11:44+0000		29.0		python:S1172	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises	5min		"Remove the unused function parameter ""frame""."	2023-03-06T02:11:44+0000	CODE_SMELL	false	"unused / "	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises:nd013-c2-fusion-exercises-main/lesson-1-lidar-sensor/exercises/starter/l1_exercises.py		MAIN	{startLine=29.0, endLine=29.0, startOffset=26.0, endOffset=31.0}	5min	AYa0sJe41m6JgciZ3J5n	3d282b1705575b025f660a603c4de348	OPEN
MAJOR	2023-03-06T02:11:44+0000		41.0		python:S1172	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises	5min		"Remove the unused function parameter ""lidar_name""."	2023-03-06T02:11:44+0000	CODE_SMELL	false	"unused / "	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises:nd013-c2-fusion-exercises-main/lesson-1-lidar-sensor/exercises/starter/l1_exercises.py		MAIN	{startLine=41.0, endLine=41.0, startOffset=34.0, endOffset=44.0}	5min	AYa0sJe41m6JgciZ3J5o	3c5e5c26af92dbde6ebde7ed9638ebb6	OPEN
MAJOR	2023-03-06T02:11:44+0000		41.0		python:S1172	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises	5min		"Remove the unused function parameter ""frame""."	2023-03-06T02:11:44+0000	CODE_SMELL	false	"unused / "	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises:nd013-c2-fusion-exercises-main/lesson-1-lidar-sensor/exercises/starter/l1_exercises.py		MAIN	{startLine=41.0, endLine=41.0, startOffset=27.0, endOffset=32.0}	5min	AYa0sJe41m6JgciZ3J5p	3c5e5c26af92dbde6ebde7ed9638ebb6	OPEN
MAJOR	2023-03-06T02:11:44+0000		52.0		python:S1172	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises	5min		"Remove the unused function parameter ""frame""."	2023-03-06T02:11:44+0000	CODE_SMELL	false	"unused / "	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises:nd013-c2-fusion-exercises-main/lesson-1-lidar-sensor/exercises/starter/l1_exercises.py		MAIN	{startLine=52.0, endLine=52.0, startOffset=25.0, endOffset=30.0}	5min	AYa0sJe41m6JgciZ3J5q	fd7ae5ba560d9c5a0723eaa15992d3a4	OPEN
MINOR	2023-03-06T02:11:44+0000		54.0		python:S1481	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises	5min		"Remove the unused local variable ""positives""."	2023-03-06T02:11:44+0000	CODE_SMELL	false	"unused / "	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises:nd013-c2-fusion-exercises-main/lesson-2-object-detection/exercises/solution/l2_exercises.py		MAIN	{startLine=54.0, endLine=54.0, startOffset=4.0, endOffset=13.0}	5min	AYa0sJey1m6JgciZ3J5l	2437d87046789dd03418f18b4c28738a	OPEN
MINOR	2023-03-06T02:11:44+0000		8.0		python:S100	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises	5min		"Rename method ""F"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:11:44+0000	CODE_SMELL	false	"convention / "	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises:nd013-c2-fusion-exercises-main/lesson-3-EKF/exercises/solution/1_predict_update.py		MAIN	{startLine=8.0, endLine=8.0, startOffset=8.0, endOffset=9.0}	5min	AYa0sJeR1m6JgciZ3J5J	1884c77630b39d1715a173e60c290b62	OPEN
MINOR	2023-03-06T02:11:44+0000		13.0		python:S100	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises	5min		"Rename method ""Q"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:11:44+0000	CODE_SMELL	false	"convention / "	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises:nd013-c2-fusion-exercises-main/lesson-3-EKF/exercises/solution/1_predict_update.py		MAIN	{startLine=13.0, endLine=13.0, startOffset=8.0, endOffset=9.0}	5min	AYa0sJeR1m6JgciZ3J5K	5ab50fda78c167eba9092fedf42ec144	OPEN
MINOR	2023-03-06T02:11:44+0000		18.0		python:S100	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises	5min		"Rename method ""H"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:11:44+0000	CODE_SMELL	false	"convention / "	Self-Driving-Car-Engineer-Nanodegree---Sensor-Fusion-Exercises:nd013-c2-fusion-exercises-main/lesson-3-EKF/exercises/solution/1_predict_update.py		MAIN	{startLine=18.0, endLine=18.0, startOffset=8.0, endOffset=9.0}	5min	AYa0sJeR1m6JgciZ3J5L	7e76a2c557679c279edb50b2e3a356ab	OPEN
