severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
INFO	2023-03-06T01:56:27+0000		3.0		python:S1135	Transfer-Learning-Lab-with-VGG	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:56:27+0000	CODE_SMELL	false	"cwe / "	Transfer-Learning-Lab-with-VGG:CarND-Transfer-Learning-Lab-master/feature_extraction.py		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=41.0}	0min	AYa0opbD1m6JgciZ3ARA	1aa75bc9c590aac922afa0ab55c6250b	OPEN
MINOR	2023-03-06T01:56:27+0000		29.0		python:S117	Transfer-Learning-Lab-with-VGG	2min		"Rename this local variable ""X_train"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T01:56:27+0000	CODE_SMELL	false	"convention / "	Transfer-Learning-Lab-with-VGG:CarND-Transfer-Learning-Lab-master/feature_extraction.py		MAIN	{startLine=29.0, endLine=29.0, startOffset=4.0, endOffset=11.0}	2min	AYa0opbD1m6JgciZ3ARB	d768c1932189c192f069a105a4ed8335	OPEN
MINOR	2023-03-06T01:56:27+0000		31.0		python:S117	Transfer-Learning-Lab-with-VGG	2min		"Rename this local variable ""X_val"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T01:56:27+0000	CODE_SMELL	false	"convention / "	Transfer-Learning-Lab-with-VGG:CarND-Transfer-Learning-Lab-master/feature_extraction.py		MAIN	{startLine=31.0, endLine=31.0, startOffset=4.0, endOffset=9.0}	2min	AYa0opbD1m6JgciZ3ARC	1096b9bbc22a54971ff77b0310506b75	OPEN
MINOR	2023-03-06T01:56:27+0000		39.0		python:S117	Transfer-Learning-Lab-with-VGG	2min		"Rename this local variable ""X_train"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T01:56:27+0000	CODE_SMELL	false	"convention / "	Transfer-Learning-Lab-with-VGG:CarND-Transfer-Learning-Lab-master/feature_extraction.py		MAIN	{startLine=39.0, endLine=39.0, startOffset=4.0, endOffset=11.0}	2min	AYa0opbD1m6JgciZ3ARD	1f086823270158b88d62172372afb39c	OPEN
MINOR	2023-03-06T01:56:27+0000		39.0		python:S117	Transfer-Learning-Lab-with-VGG	2min		"Rename this local variable ""X_val"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T01:56:27+0000	CODE_SMELL	false	"convention / "	Transfer-Learning-Lab-with-VGG:CarND-Transfer-Learning-Lab-master/feature_extraction.py		MAIN	{startLine=39.0, endLine=39.0, startOffset=22.0, endOffset=27.0}	2min	AYa0opbD1m6JgciZ3ARE	1f086823270158b88d62172372afb39c	OPEN
INFO	2023-03-06T01:56:27+0000		44.0		python:S1135	Transfer-Learning-Lab-with-VGG	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:56:27+0000	CODE_SMELL	false	"cwe / "	Transfer-Learning-Lab-with-VGG:CarND-Transfer-Learning-Lab-master/feature_extraction.py		MAIN	{startLine=44.0, endLine=44.0, startOffset=4.0, endOffset=50.0}	0min	AYa0opbD1m6JgciZ3ARF	571cd4d5e7a57d74617960fbb545bb8a	OPEN
INFO	2023-03-06T01:56:27+0000		50.0		python:S1135	Transfer-Learning-Lab-with-VGG	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:56:27+0000	CODE_SMELL	false	"cwe / "	Transfer-Learning-Lab-with-VGG:CarND-Transfer-Learning-Lab-master/feature_extraction.py		MAIN	{startLine=50.0, endLine=50.0, startOffset=4.0, endOffset=33.0}	0min	AYa0opbD1m6JgciZ3ARG	0fdf9e7535ccdfc9cd79e6a8efc58831	OPEN
MINOR	2023-03-06T01:56:27+0000		33.0		python:S117	Transfer-Learning-Lab-with-VGG	2min		"Rename this local variable ""X_train"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T01:56:27+0000	CODE_SMELL	false	"convention / "	Transfer-Learning-Lab-with-VGG:CarND-Transfer-Learning-Lab-master/feature_extraction_solution.py		MAIN	{startLine=33.0, endLine=33.0, startOffset=4.0, endOffset=11.0}	2min	AYa0opa_1m6JgciZ3AQ8	d768c1932189c192f069a105a4ed8335	OPEN
MINOR	2023-03-06T01:56:27+0000		35.0		python:S117	Transfer-Learning-Lab-with-VGG	2min		"Rename this local variable ""X_val"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T01:56:27+0000	CODE_SMELL	false	"convention / "	Transfer-Learning-Lab-with-VGG:CarND-Transfer-Learning-Lab-master/feature_extraction_solution.py		MAIN	{startLine=35.0, endLine=35.0, startOffset=4.0, endOffset=9.0}	2min	AYa0opa_1m6JgciZ3AQ9	1096b9bbc22a54971ff77b0310506b75	OPEN
MINOR	2023-03-06T01:56:27+0000		43.0		python:S117	Transfer-Learning-Lab-with-VGG	2min		"Rename this local variable ""X_train"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T01:56:27+0000	CODE_SMELL	false	"convention / "	Transfer-Learning-Lab-with-VGG:CarND-Transfer-Learning-Lab-master/feature_extraction_solution.py		MAIN	{startLine=43.0, endLine=43.0, startOffset=4.0, endOffset=11.0}	2min	AYa0opa_1m6JgciZ3AQ-	1f086823270158b88d62172372afb39c	OPEN
