severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T02:13:07+0000		20.0		python:S2208	Didi-Self-driving-Car-Challenge	5min		Import only needed names or import the module and then use its members.	2023-03-06T02:13:07+0000	CODE_SMELL	false	"pitfall / "	Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py		MAIN	{startLine=20.0, endLine=20.0, startOffset=0.0, endOffset=27.0}	5min	AYa0sePc1m6JgciZ3Lp6	1a06b56dbb25a20d31b4447d0a2a055b	OPEN
CRITICAL	2023-03-06T02:13:07+0000		21.0		python:S2208	Didi-Self-driving-Car-Challenge	5min		Import only needed names or import the module and then use its members.	2023-03-06T02:13:07+0000	CODE_SMELL	false	"pitfall / "	Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py		MAIN	{startLine=21.0, endLine=21.0, startOffset=0.0, endOffset=23.0}	5min	AYa0sePc1m6JgciZ3Lp7	8f71513eef26306b8cf494ecb7b726e5	OPEN
CRITICAL	2023-03-06T02:13:07+0000		22.0		python:S2208	Didi-Self-driving-Car-Challenge	5min		Import only needed names or import the module and then use its members.	2023-03-06T02:13:07+0000	CODE_SMELL	false	"pitfall / "	Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py		MAIN	{startLine=22.0, endLine=22.0, startOffset=0.0, endOffset=31.0}	5min	AYa0sePc1m6JgciZ3Lp8	ab29c0fe987010aa0c07fa324d3e361c	OPEN
MINOR	2023-03-06T02:13:07+0000		184.0		python:S1940	Didi-Self-driving-Car-Challenge	2min		"Use the opposite operator (""not in"") instead."	2023-03-06T02:13:07+0000	CODE_SMELL	false	"pitfall / "	Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py		MAIN	{startLine=184.0, endLine=184.0, startOffset=11.0, endOffset=41.0}	2min	AYa0sePc1m6JgciZ3Lp9	72afa88964e9462331882d681faba730	OPEN
MINOR	2023-03-06T02:13:07+0000		323.0		python:S1481	Didi-Self-driving-Car-Challenge	5min		"Remove the unused local variable ""norm_pts""."	2023-03-06T02:13:07+0000	CODE_SMELL	false	"unused / "	Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py		MAIN	{startLine=323.0, endLine=323.0, startOffset=8.0, endOffset=16.0}	5min	AYa0sePc1m6JgciZ3Lp-	a3a6fc02ed4c6a014a6d1de5d9428636	OPEN
CRITICAL	2023-03-06T02:13:07+0000		325.0		python:S5797	Didi-Self-driving-Car-Challenge	2min		Replace this expression; used as a condition it will always be constant.	2023-03-06T02:13:07+0000	CODE_SMELL	false	"suspicious / "	Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py		MAIN	{startLine=325.0, endLine=325.0, startOffset=11.0, endOffset=16.0}	2min	AYa0sePc1m6JgciZ3Lp5	a3b7e129908df70465154f3269980434	OPEN
MINOR	2023-03-06T02:13:07+0000		330.0		python:S1481	Didi-Self-driving-Car-Challenge	5min		"Remove the unused local variable ""norm_pts""."	2023-03-06T02:13:07+0000	CODE_SMELL	false	"unused / "	Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py		MAIN	{startLine=330.0, endLine=330.0, startOffset=12.0, endOffset=20.0}	5min	AYa0sePc1m6JgciZ3Lp_	df67434bb2842e89067dbc328b5a81bb	OPEN
CRITICAL	2023-03-06T02:13:07+0000		365.0		python:S3776	Didi-Self-driving-Car-Challenge	25min		Refactor this function to reduce its Cognitive Complexity from 35 to the 15 allowed.	2023-03-06T02:13:07+0000	CODE_SMELL	false	"brain-overload / "	Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py	"{locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=380.0, endLine=380.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=384.0, endLine=384.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=390.0, endLine=390.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=399.0, endLine=399.0, startOffset=4.0, endOffset=7.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=402.0, endLine=402.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=406.0, endLine=406.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=408.0, endLine=408.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=412.0, endLine=412.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=415.0, endLine=415.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=427.0, endLine=427.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=443.0, endLine=443.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=444.0, endLine=444.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=459.0, endLine=459.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=463.0, endLine=463.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=470.0, endLine=470.0, startOffset=4.0, endOffset=7.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=472.0, endLine=472.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=489.0, endLine=489.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=507.0, endLine=507.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=510.0, endLine=510.0, startOffset=8.0, endOffset=12.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=515.0, endLine=515.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=520.0, endLine=520.0, startOffset=8.0, endOffset=12.0}, msg=+1, msgFormattings=[]}]} / "	MAIN	{startLine=365.0, endLine=365.0, startOffset=4.0, endOffset=20.0}	25min	AYa0sePc1m6JgciZ3LqA	482c7fd2e60884236695d4a00b7c427d	OPEN
MAJOR	2023-03-06T02:13:07+0000		559.0		python:S1134	Didi-Self-driving-Car-Challenge	0min		"Take the required action to fix the issue indicated by this ""FIXME"" comment."	2023-03-06T02:13:07+0000	CODE_SMELL	false	"cwe / "	Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py		MAIN	{startLine=559.0, endLine=559.0, startOffset=8.0, endOffset=111.0}	0min	AYa0sePc1m6JgciZ3LqB	2755deaf356be2cb0dada25e055b81cd	OPEN
CRITICAL	2023-03-06T02:13:07+0000		579.0		python:S3776	Didi-Self-driving-Car-Challenge	1h2min		Refactor this function to reduce its Cognitive Complexity from 72 to the 15 allowed.	2023-03-06T02:13:07+0000	CODE_SMELL	false	"brain-overload / "	Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py	"{locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=607.0, endLine=607.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=609.0, endLine=609.0, startOffset=4.0, endOffset=8.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=612.0, endLine=612.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=620.0, endLine=620.0, startOffset=27.0, endOffset=29.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=646.0, endLine=646.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=650.0, endLine=650.0, startOffset=4.0, endOffset=7.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=659.0, endLine=659.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=666.0, endLine=666.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=668.0, endLine=668.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=670.0, endLine=670.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=672.0, endLine=672.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=672.0, endLine=672.0, startOffset=42.0, endOffset=45.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=675.0, endLine=675.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=677.0, endLine=677.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=684.0, endLine=684.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=688.0, endLine=688.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=692.0, endLine=692.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=696.0, endLine=696.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=700.0, endLine=700.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=705.0, endLine=705.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=710.0, endLine=710.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=711.0, endLine=711.0, startOffset=16.0, endOffset=19.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=712.0, endLine=712.0, startOffset=20.0, endOffset=22.0}, msg=+5 (incl 4 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=715.0, endLine=715.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=720.0, endLine=720.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=723.0, endLine=723.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=726.0, endLine=726.0, startOffset=12.0, endOffset=15.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=728.0, endLine=728.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=728.0, endLine=728.0, startOffset=58.0, endOffset=61.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=732.0, endLine=732.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=732.0, endLine=732.0, startOffset=58.0, endOffset=61.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=742.0, endLine=742.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=745.0, endLine=745.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=754.0, endLine=754.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=754.0, endLine=754.0, startOffset=39.0, endOffset=42.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=760.0, endLine=760.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=765.0, endLine=765.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Didi-Self-driving-Car-Challenge:didi-competition-master/tracklets/python/bag_to_kitti.py, textRange={startLine=768.0, endLine=768.0, startOffset=8.0, endOffset=12.0}, msg=+1, msgFormattings=[]}]} / "	MAIN	{startLine=579.0, endLine=579.0, startOffset=4.0, endOffset=8.0}	1h2min	AYa0sePc1m6JgciZ3LqC	36999f0b7d2b4dd75cc52066ae8a601f	OPEN
