severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-17T11:20:18+0000		14.0		typescript:S1186	Angular-Course---PostReader	5min		Unexpected empty constructor.	2023-03-17T11:20:18+0000	CODE_SMELL	true	"suspicious / "	Angular-Course---PostReader:src/app/create-post/create-post.component.ts		MAIN	{startLine=14.0, endLine=14.0, startOffset=16.0, endOffset=19.0}	5min	AYbvTNjBIZYa0Rfl_t8e	16a47861159046dc7590ae9341dad244	OPEN
CRITICAL	2023-03-17T11:20:18+0000		16.0		typescript:S1186	Angular-Course---PostReader	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T11:20:18+0000	CODE_SMELL	true	"suspicious / "	Angular-Course---PostReader:src/app/create-post/create-post.component.ts		MAIN	{startLine=16.0, endLine=17.0, startOffset=19.0, endOffset=3.0}	5min	AYbvTNjBIZYa0Rfl_t8f	eb0b1c7245babb8e369fd11f7e238b1b	OPEN
CRITICAL	2023-03-17T11:20:18+0000		10.0		typescript:S1186	Angular-Course---PostReader	5min		Unexpected empty constructor.	2023-03-17T11:20:18+0000	CODE_SMELL	true	"suspicious / "	Angular-Course---PostReader:src/app/history/history.component.ts		MAIN	{startLine=10.0, endLine=10.0, startOffset=16.0, endOffset=19.0}	5min	AYbvTNjMIZYa0Rfl_t8k	16a47861159046dc7590ae9341dad244	OPEN
CRITICAL	2023-03-17T11:20:18+0000		12.0		typescript:S1186	Angular-Course---PostReader	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T11:20:18+0000	CODE_SMELL	true	"suspicious / "	Angular-Course---PostReader:src/app/history/history.component.ts		MAIN	{startLine=12.0, endLine=13.0, startOffset=19.0, endOffset=3.0}	5min	AYbvTNjMIZYa0Rfl_t8l	eb0b1c7245babb8e369fd11f7e238b1b	OPEN
CRITICAL	2023-03-17T11:20:18+0000		10.0		typescript:S1186	Angular-Course---PostReader	5min		Unexpected empty constructor.	2023-03-17T11:20:18+0000	CODE_SMELL	true	"suspicious / "	Angular-Course---PostReader:src/app/nav-bar/nav-bar.component.ts		MAIN	{startLine=10.0, endLine=10.0, startOffset=16.0, endOffset=19.0}	5min	AYbvTNjFIZYa0Rfl_t8h	16a47861159046dc7590ae9341dad244	OPEN
CRITICAL	2023-03-17T11:20:18+0000		12.0		typescript:S1186	Angular-Course---PostReader	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T11:20:18+0000	CODE_SMELL	true	"suspicious / "	Angular-Course---PostReader:src/app/nav-bar/nav-bar.component.ts		MAIN	{startLine=12.0, endLine=13.0, startOffset=19.0, endOffset=3.0}	5min	AYbvTNjFIZYa0Rfl_t8i	eb0b1c7245babb8e369fd11f7e238b1b	OPEN
CRITICAL	2023-03-17T11:20:18+0000		22.0		typescript:S1186	Angular-Course---PostReader	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T11:20:18+0000	CODE_SMELL	true	"suspicious / "	Angular-Course---PostReader:src/app/post-item/post-item.component.ts		MAIN	{startLine=22.0, endLine=23.0, startOffset=19.0, endOffset=3.0}	5min	AYbvTNjIIZYa0Rfl_t8j	eb0b1c7245babb8e369fd11f7e238b1b	OPEN
MINOR	2023-03-17T11:20:18+0000		18.0		typescript:S4138	Angular-Course---PostReader	5min		Expected a `for-of` loop instead of a `for` loop with this simple iteration.	2023-03-17T11:20:18+0000	CODE_SMELL	true	"clumsy / "	Angular-Course---PostReader:src/app/posts/posts.component.ts		MAIN	{startLine=18.0, endLine=21.0, startOffset=6.0, endOffset=7.0}	5min	AYbvTNjDIZYa0Rfl_t8g	3467fc4381d0ed5ad8f8de0904c30f27	OPEN
MINOR	2023-03-17T11:20:18+0000		3.0		typescript:S1128	Angular-Course---PostReader	2min		Remove this unused import of 'Observable'.	2023-03-17T11:20:18+0000	CODE_SMELL	true	"es2015 / unused / "	Angular-Course---PostReader:src/app/services/post.service.ts		MAIN	{startLine=3.0, endLine=3.0, startOffset=9.0, endOffset=19.0}	2min	AYbvTNi9IZYa0Rfl_t8d	04ff6e8a9739c6621d2f5ef5bc454178	OPEN
MAJOR	2023-03-17T11:20:18+0000		16.0		typescript:S125	Angular-Course---PostReader	5min		Remove this commented out code.	2023-03-17T11:20:18+0000	CODE_SMELL	true	"unused / "	Angular-Course---PostReader:src/environments/environment.ts		MAIN	{startLine=16.0, endLine=16.0, startOffset=0.0, endOffset=67.0}	5min	AYbvTNjSIZYa0Rfl_t8n	b0a3d87b8c3caf0e5e6762304e6dcf96	OPEN
MAJOR	2023-03-17T11:20:18+0000		28.0		typescript:S125	Angular-Course---PostReader	5min		Remove this commented out code.	2023-03-17T11:20:18+0000	CODE_SMELL	true	"unused / "	Angular-Course---PostReader:src/polyfills.ts		MAIN	{startLine=28.0, endLine=28.0, startOffset=0.0, endOffset=68.0}	5min	AYbvTNjUIZYa0Rfl_t8o	498770bf1ba9d52059accfb089c7db5e	OPEN
MAJOR	2023-03-17T11:20:18+0000		35.0		typescript:S125	Angular-Course---PostReader	5min		Remove this commented out code.	2023-03-17T11:20:18+0000	CODE_SMELL	true	"unused / "	Angular-Course---PostReader:src/polyfills.ts		MAIN	{startLine=35.0, endLine=35.0, startOffset=0.0, endOffset=78.0}	5min	AYbvTNjUIZYa0Rfl_t8p	b6f55ade2913344031e83173e02c644b	OPEN
MAJOR	2023-03-17T11:20:18+0000		25.0		typescript:S2201	Angular-Course---PostReader	5min		"Consider using ""forEach"" instead of ""map"" as its return value is not being used here."	2023-03-17T11:20:18+0000	BUG	false		Angular-Course---PostReader:src/test.ts		MAIN	{startLine=25.0, endLine=25.0, startOffset=0.0, endOffset=27.0}	5min	AYbvTNjQIZYa0Rfl_t8m	8bd298e132e63c036af36603cef46e73	OPEN
