severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
INFO	2023-03-17T11:38:10+0000		31.0		typescript:S1135	Angular-Store---MyCart-Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-17T11:38:10+0000	CODE_SMELL	false	"cwe / "	Angular-Store---MyCart-Project:cd12815-mycart-and-store-with-springboot-main/starter/src/main/webapp/angular-frontend/src/app/components/cart/cart.component.ts		MAIN	{startLine=31.0, endLine=31.0, startOffset=5.0, endOffset=9.0}	0min	AYbvXTN5IZYa0Rfl_7cN	953acd52a23f310b45ba9ea2a2cab570	OPEN
MINOR	2023-03-17T11:38:10+0000		33.0		typescript:S3626	Angular-Store---MyCart-Project	1min		Remove this redundant jump.	2023-03-17T11:38:10+0000	CODE_SMELL	true	"clumsy / redundant / "	Angular-Store---MyCart-Project:cd12815-mycart-and-store-with-springboot-main/starter/src/main/webapp/angular-frontend/src/app/components/cart/cart.component.ts		MAIN	{startLine=33.0, endLine=33.0, startOffset=4.0, endOffset=10.0}	1min	AYbvXTN5IZYa0Rfl_7cO	e70c4df10ef0983b9c8c31bd06b2a2c3	OPEN
CRITICAL	2023-03-17T11:38:10+0000		51.0		typescript:S3504	Angular-Store---MyCart-Project	5min		Unexpected var, use let or const instead.	2023-03-17T11:38:10+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Angular-Store---MyCart-Project:cd12815-mycart-and-store-with-springboot-main/starter/src/main/webapp/angular-frontend/src/app/components/cart/cart.component.ts		MAIN	{startLine=51.0, endLine=51.0, startOffset=4.0, endOffset=13.0}	5min	AYbvXTN5IZYa0Rfl_7cP	c9c6dfab9c3ed7734fe19f0f2f7caa3d	OPEN
INFO	2023-03-17T11:38:10+0000		55.0		typescript:S1135	Angular-Store---MyCart-Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-17T11:38:10+0000	CODE_SMELL	false	"cwe / "	Angular-Store---MyCart-Project:cd12815-mycart-and-store-with-springboot-main/starter/src/main/webapp/angular-frontend/src/app/components/cart/cart.component.ts		MAIN	{startLine=55.0, endLine=55.0, startOffset=6.0, endOffset=10.0}	0min	AYbvXTN5IZYa0Rfl_7cQ	97d54825a553ca1a8abc73f1a7d4300f	OPEN
CRITICAL	2023-03-17T11:38:10+0000		25.0		typescript:S1186	Angular-Store---MyCart-Project	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T11:38:10+0000	CODE_SMELL	true	"suspicious / "	Angular-Store---MyCart-Project:cd12815-mycart-and-store-with-springboot-main/starter/src/main/webapp/angular-frontend/src/app/components/product-item/product-item.component.ts		MAIN	{startLine=25.0, endLine=26.0, startOffset=19.0, endOffset=3.0}	5min	AYbvXTN0IZYa0Rfl_7cM	eb0b1c7245babb8e369fd11f7e238b1b	OPEN
INFO	2023-03-17T11:38:10+0000		22.0		typescript:S1135	Angular-Store---MyCart-Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-17T11:38:10+0000	CODE_SMELL	false	"cwe / "	Angular-Store---MyCart-Project:cd12815-mycart-and-store-with-springboot-main/starter/src/main/webapp/angular-frontend/src/app/components/product-list/product-list.component.ts		MAIN	{startLine=22.0, endLine=22.0, startOffset=3.0, endOffset=7.0}	0min	AYbvXTN7IZYa0Rfl_7cR	cc7d78cfdee79b5b7326526591390be7	OPEN
CRITICAL	2023-03-17T11:38:10+0000		10.0		typescript:S1186	Angular-Store---MyCart-Project	5min		Unexpected empty constructor.	2023-03-17T11:38:10+0000	CODE_SMELL	true	"suspicious / "	Angular-Store---MyCart-Project:cd12815-mycart-and-store-with-springboot-main/starter/src/main/webapp/angular-frontend/src/app/layout/header/header.component.ts		MAIN	{startLine=10.0, endLine=10.0, startOffset=16.0, endOffset=19.0}	5min	AYbvXTOEIZYa0Rfl_7cT	16a47861159046dc7590ae9341dad244	OPEN
CRITICAL	2023-03-17T11:38:10+0000		12.0		typescript:S1186	Angular-Store---MyCart-Project	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T11:38:10+0000	CODE_SMELL	true	"suspicious / "	Angular-Store---MyCart-Project:cd12815-mycart-and-store-with-springboot-main/starter/src/main/webapp/angular-frontend/src/app/layout/header/header.component.ts		MAIN	{startLine=12.0, endLine=13.0, startOffset=19.0, endOffset=3.0}	5min	AYbvXTOEIZYa0Rfl_7cU	eb0b1c7245babb8e369fd11f7e238b1b	OPEN
INFO	2023-03-17T11:38:10+0000		1.0		typescript:S1135	Angular-Store---MyCart-Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-17T11:38:10+0000	CODE_SMELL	false	"cwe / "	Angular-Store---MyCart-Project:cd12815-mycart-and-store-with-springboot-main/starter/src/main/webapp/angular-frontend/src/app/models/Order.ts		MAIN	{startLine=1.0, endLine=1.0, startOffset=2.0, endOffset=6.0}	0min	AYbvXTOHIZYa0Rfl_7cV	4a788b7772cd020274890aa3b39a850b	OPEN
INFO	2023-03-17T11:38:10+0000		1.0		typescript:S1135	Angular-Store---MyCart-Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-17T11:38:10+0000	CODE_SMELL	false	"cwe / "	Angular-Store---MyCart-Project:cd12815-mycart-and-store-with-springboot-main/starter/src/main/webapp/angular-frontend/src/app/models/Product.ts		MAIN	{startLine=1.0, endLine=1.0, startOffset=2.0, endOffset=6.0}	0min	AYbvXTOJIZYa0Rfl_7cW	586a677e3275be722c4f2fc7481895a9	OPEN
INFO	2023-03-17T11:38:10+0000		15.0		typescript:S1135	Angular-Store---MyCart-Project	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-17T11:38:10+0000	CODE_SMELL	false	"cwe / "	Angular-Store---MyCart-Project:cd12815-mycart-and-store-with-springboot-main/starter/src/main/webapp/angular-frontend/src/app/services/product.service.ts		MAIN	{startLine=15.0, endLine=15.0, startOffset=4.0, endOffset=8.0}	0min	AYbvXTOAIZYa0Rfl_7cS	6943bf3c1fb0a73c7524e81e44b13e0f	OPEN
MAJOR	2023-03-17T11:38:10+0000		16.0		typescript:S125	Angular-Store---MyCart-Project	5min		Remove this commented out code.	2023-03-17T11:38:10+0000	CODE_SMELL	true	"unused / "	Angular-Store---MyCart-Project:cd12815-mycart-and-store-with-springboot-main/starter/src/main/webapp/angular-frontend/src/environments/environment.ts		MAIN	{startLine=16.0, endLine=16.0, startOffset=0.0, endOffset=70.0}	5min	AYbvXTOMIZYa0Rfl_7cX	411dff2c5999103920d180b4105e51e5	OPEN
MAJOR	2023-03-17T11:38:10+0000		27.0		typescript:S2201	Angular-Store---MyCart-Project	5min		"Consider using ""forEach"" instead of ""map"" as its return value is not being used here."	2023-03-17T11:38:10+0000	BUG	false		Angular-Store---MyCart-Project:cd12815-mycart-and-store-with-springboot-main/starter/src/main/webapp/angular-frontend/src/test.ts		MAIN	{startLine=27.0, endLine=27.0, startOffset=0.0, endOffset=27.0}	5min	AYbvXTOPIZYa0Rfl_7cY	8bd298e132e63c036af36603cef46e73	OPEN
