severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-17T11:16:00+0000		3.0		typescript:S1128	Cloud-DevOps-C3-Refresh-Project-Starter	2min		Remove this unused import of 'NestModule'.	2023-03-17T11:16:00+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/app/app.module.ts		MAIN	{startLine=3.0, endLine=3.0, startOffset=2.0, endOffset=12.0}	2min	AYbvSRZ-IZYa0Rfl_kKU	5d8fc528467decb567f6af9e6a811872	OPEN
MINOR	2023-03-17T11:16:00+0000		4.0		typescript:S1128	Cloud-DevOps-C3-Refresh-Project-Starter	2min		Remove this unused import of 'MiddlewareConsumer'.	2023-03-17T11:16:00+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/app/app.module.ts		MAIN	{startLine=4.0, endLine=4.0, startOffset=2.0, endOffset=20.0}	2min	AYbvSRZ-IZYa0Rfl_kKV	0d5a7a0a35b7a93decf144674d2e7c39	OPEN
MINOR	2023-03-17T11:16:00+0000		5.0		typescript:S1128	Cloud-DevOps-C3-Refresh-Project-Starter	2min		Remove this unused import of 'RequestMethod'.	2023-03-17T11:16:00+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/app/app.module.ts		MAIN	{startLine=5.0, endLine=5.0, startOffset=2.0, endOffset=15.0}	2min	AYbvSRZ-IZYa0Rfl_kKW	99363abe8841c6e968a545979cdd8d31	OPEN
MAJOR	2023-03-17T11:16:00+0000		2.0		typescript:S125	Cloud-DevOps-C3-Refresh-Project-Starter	5min		Remove this commented out code.	2023-03-17T11:16:00+0000	CODE_SMELL	true	"unused / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/app/app.service.ts		MAIN	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=62.0}	5min	AYbvSRZ7IZYa0Rfl_kKT	257f1836af5d07b52fc37499f124fc99	OPEN
MINOR	2023-03-17T11:16:00+0000		1.0		typescript:S1128	Cloud-DevOps-C3-Refresh-Project-Starter	2min		Remove this unused import of 'joi'.	2023-03-17T11:16:00+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/common/commands/validation/joiValidator.ts		MAIN	{startLine=1.0, endLine=1.0, startOffset=12.0, endOffset=15.0}	2min	AYbvSRZHIZYa0Rfl_kKM	b1a5b369f31362a3312a901f99ec0727	OPEN
CRITICAL	2023-03-17T11:16:00+0000		13.0		typescript:S1186	Cloud-DevOps-C3-Refresh-Project-Starter	5min		Unexpected empty constructor.	2023-03-17T11:16:00+0000	CODE_SMELL	true	"suspicious / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/common/common.module.ts		MAIN	{startLine=13.0, endLine=13.0, startOffset=16.0, endOffset=18.0}	5min	AYbvSRZnIZYa0Rfl_kKP	16a47861159046dc7590ae9341dad244	OPEN
MINOR	2023-03-17T11:16:00+0000		5.0		typescript:S1128	Cloud-DevOps-C3-Refresh-Project-Starter	2min		Remove this unused import of 'DeleteResult'.	2023-03-17T11:16:00+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/common/entities/baseRepository.ts		MAIN	{startLine=5.0, endLine=5.0, startOffset=2.0, endOffset=14.0}	2min	AYbvSRZXIZYa0Rfl_kKN	b0afe3e4a2942195250f791f73e738dd	OPEN
MINOR	2023-03-17T11:16:00+0000		5.0		typescript:S1128	Cloud-DevOps-C3-Refresh-Project-Starter	2min		Remove this unused import of 'ModuleRef'.	2023-03-17T11:16:00+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/common/events/syncEventDispatcher.ts		MAIN	{startLine=5.0, endLine=5.0, startOffset=9.0, endOffset=18.0}	2min	AYbvSRZeIZYa0Rfl_kKO	0493bb9a3f7c18a36eb6d924eef08b3e	OPEN
MINOR	2023-03-17T11:16:00+0000		4.0		typescript:S1128	Cloud-DevOps-C3-Refresh-Project-Starter	2min		Remove this unused import of 'Product'.	2023-03-17T11:16:00+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/config/config.service.ts		MAIN	{startLine=4.0, endLine=4.0, startOffset=9.0, endOffset=16.0}	2min	AYbvSRZzIZYa0Rfl_kKQ	862fadb0dcce6e8d2f358a02fafc6dff	OPEN
MINOR	2023-03-17T11:16:00+0000		5.0		typescript:S1128	Cloud-DevOps-C3-Refresh-Project-Starter	2min		Remove this unused import of 'Order'.	2023-03-17T11:16:00+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/config/config.service.ts		MAIN	{startLine=5.0, endLine=5.0, startOffset=9.0, endOffset=14.0}	2min	AYbvSRZzIZYa0Rfl_kKR	f55b59c42ee92259a0e757d697d12a11	OPEN
MINOR	2023-03-17T11:16:00+0000		6.0		typescript:S1128	Cloud-DevOps-C3-Refresh-Project-Starter	2min		Remove this unused import of 'Employee'.	2023-03-17T11:16:00+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/config/config.service.ts		MAIN	{startLine=6.0, endLine=6.0, startOffset=9.0, endOffset=17.0}	2min	AYbvSRZzIZYa0Rfl_kKS	aa782e2157760605f448093c1720ea95	OPEN
MAJOR	2023-03-17T11:16:00+0000		26.0		typescript:S107	Cloud-DevOps-C3-Refresh-Project-Starter	20min		Constructor has too many parameters (21). Maximum allowed is 7.	2023-03-17T11:16:00+0000	CODE_SMELL	false	"brain-overload / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/domain/employees/commands/create-employee.command.ts		MAIN	{startLine=26.0, endLine=26.0, startOffset=2.0, endOffset=13.0}	20min	AYbvSRYDIZYa0Rfl_kJ6	b56aee8613a926198495743993369581	OPEN
MINOR	2023-03-17T11:16:00+0000		1.0		typescript:S1128	Cloud-DevOps-C3-Refresh-Project-Starter	2min		Remove this unused import of 'moment'.	2023-03-17T11:16:00+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/domain/employees/commands/handlers/employee-name-updater.handler.ts		MAIN	{startLine=1.0, endLine=1.0, startOffset=12.0, endOffset=18.0}	2min	AYbvSRXcIZYa0Rfl_kJ3	55dc5062ae7be6a9ed2415a526c8ada6	OPEN
MINOR	2023-03-17T11:16:00+0000		7.0		typescript:S1128	Cloud-DevOps-C3-Refresh-Project-Starter	2min		Remove this unused import of 'SalaryType'.	2023-03-17T11:16:00+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/domain/employees/commands/handlers/employee-name-updater.handler.ts		MAIN	{startLine=7.0, endLine=7.0, startOffset=9.0, endOffset=19.0}	2min	AYbvSRXcIZYa0Rfl_kJ4	9ff1d38bdebb8e791f9c0c0123807d2a	OPEN
MAJOR	2023-03-17T11:16:00+0000		25.0		typescript:S107	Cloud-DevOps-C3-Refresh-Project-Starter	20min		Constructor has too many parameters (20). Maximum allowed is 7.	2023-03-17T11:16:00+0000	CODE_SMELL	false	"brain-overload / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/domain/employees/commands/update-employee.command.ts		MAIN	{startLine=25.0, endLine=25.0, startOffset=2.0, endOffset=13.0}	20min	AYbvSRX0IZYa0Rfl_kJ5	eddf9906167ad7cbf84643522396c9a1	OPEN
MINOR	2023-03-17T11:16:00+0000		4.0		typescript:S1128	Cloud-DevOps-C3-Refresh-Project-Starter	2min		Remove this unused import of 'UseGuards'.	2023-03-17T11:16:00+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/domain/employees/employee.controller.ts		MAIN	{startLine=4.0, endLine=4.0, startOffset=2.0, endOffset=11.0}	2min	AYbvSRYLIZYa0Rfl_kJ7	6d9a1a1520270395515c7e5cb390a333	OPEN
MINOR	2023-03-17T11:16:00+0000		10.0		typescript:S1128	Cloud-DevOps-C3-Refresh-Project-Starter	2min		Remove this unused import of 'Delete'.	2023-03-17T11:16:00+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/domain/employees/employee.controller.ts		MAIN	{startLine=10.0, endLine=10.0, startOffset=2.0, endOffset=8.0}	2min	AYbvSRYLIZYa0Rfl_kJ8	6367c6244af84c6071411c62f7e4d109	OPEN
MINOR	2023-03-17T11:16:00+0000		14.0		typescript:S1128	Cloud-DevOps-C3-Refresh-Project-Starter	2min		Remove this unused import of 'AuthGuard'.	2023-03-17T11:16:00+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/domain/employees/employee.controller.ts		MAIN	{startLine=14.0, endLine=14.0, startOffset=9.0, endOffset=18.0}	2min	AYbvSRYLIZYa0Rfl_kJ9	40b502f8270e2dfc402f0fca88fa1bb8	OPEN
MINOR	2023-03-17T11:16:00+0000		120.0		typescript:S4325	Cloud-DevOps-C3-Refresh-Project-Starter	1min		This assertion is unnecessary since it does not change the type of the expression.	2023-03-17T11:16:00+0000	CODE_SMELL	true	"redundant / "	Cloud-DevOps-C3-Refresh-Project-Starter:cdond-c3-projectstarter-master/backend/src/modules/domain/employees/employee.controller.ts		MAIN	{startLine=120.0, endLine=120.0, startOffset=11.0, endOffset=30.0}	1min	AYbvSRYLIZYa0Rfl_kJ-	186ef1039e1140ddce0c57c4d13e5a7a	OPEN
