severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-18T13:57:32+0000		3.0		typescript:S1128	Cloud-Developer-ND---Course-03---Monolith-to-Microservices	2min		Remove this unused import of 'ApiService'.	2023-03-18T13:57:32+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-Developer-ND---Course-03---Monolith-to-Microservices:nd9990-c3-microservices-v1-master/lesson-1-Best-Practices/exercises/udacity-c3-frontend/src/app/api/api.module.ts		MAIN	{startLine=3.0, endLine=3.0, startOffset=9.0, endOffset=19.0}	2min	AYb1A1wwknHrXAICIGbC	3ed9f6787f9a3f05537c138a293db5b4	OPEN
MINOR	2023-03-18T13:57:32+0000		2.0		typescript:S1128	Cloud-Developer-ND---Course-03---Monolith-to-Microservices	2min		Remove this unused import of 'HttpErrorResponse'.	2023-03-18T13:57:32+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-Developer-ND---Course-03---Monolith-to-Microservices:nd9990-c3-microservices-v1-master/lesson-1-Best-Practices/exercises/udacity-c3-frontend/src/app/api/api.service.ts		MAIN	{startLine=2.0, endLine=2.0, startOffset=35.0, endOffset=52.0}	2min	AYb1A1w0knHrXAICIGbD	e50325190f58a44db97ba092bb4643e7	OPEN
MINOR	2023-03-18T13:57:32+0000		4.0		typescript:S1128	Cloud-Developer-ND---Course-03---Monolith-to-Microservices	2min		Remove this unused import of 'Observable'.	2023-03-18T13:57:32+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-Developer-ND---Course-03---Monolith-to-Microservices:nd9990-c3-microservices-v1-master/lesson-1-Best-Practices/exercises/udacity-c3-frontend/src/app/api/api.service.ts		MAIN	{startLine=4.0, endLine=4.0, startOffset=9.0, endOffset=19.0}	2min	AYb1A1w0knHrXAICIGbE	04ff6e8a9739c6621d2f5ef5bc454178	OPEN
MINOR	2023-03-18T13:57:32+0000		5.0		typescript:S1128	Cloud-Developer-ND---Course-03---Monolith-to-Microservices	2min		Remove this unused import of 'FeedItem'.	2023-03-18T13:57:32+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-Developer-ND---Course-03---Monolith-to-Microservices:nd9990-c3-microservices-v1-master/lesson-1-Best-Practices/exercises/udacity-c3-frontend/src/app/api/api.service.ts		MAIN	{startLine=5.0, endLine=5.0, startOffset=9.0, endOffset=17.0}	2min	AYb1A1w0knHrXAICIGbF	5d1eda2e4d2d97af9107b7593d7bfa11	OPEN
MINOR	2023-03-18T13:57:32+0000		6.0		typescript:S1128	Cloud-Developer-ND---Course-03---Monolith-to-Microservices	2min		Remove this unused import of 'catchError'.	2023-03-18T13:57:32+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-Developer-ND---Course-03---Monolith-to-Microservices:nd9990-c3-microservices-v1-master/lesson-1-Best-Practices/exercises/udacity-c3-frontend/src/app/api/api.service.ts		MAIN	{startLine=6.0, endLine=6.0, startOffset=9.0, endOffset=19.0}	2min	AYb1A1w0knHrXAICIGbG	a1364c492ff966bb8c3257e999ce7792	OPEN
MINOR	2023-03-18T13:57:32+0000		6.0		typescript:S1128	Cloud-Developer-ND---Course-03---Monolith-to-Microservices	2min		Remove this unused import of 'tap'.	2023-03-18T13:57:32+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-Developer-ND---Course-03---Monolith-to-Microservices:nd9990-c3-microservices-v1-master/lesson-1-Best-Practices/exercises/udacity-c3-frontend/src/app/api/api.service.ts		MAIN	{startLine=6.0, endLine=6.0, startOffset=21.0, endOffset=24.0}	2min	AYb1A1w0knHrXAICIGbH	a1364c492ff966bb8c3257e999ce7792	OPEN
MINOR	2023-03-18T13:57:32+0000		66.0		typescript:S4325	Cloud-Developer-ND---Course-03---Monolith-to-Microservices	1min		This assertion is unnecessary since it does not change the type of the expression.	2023-03-18T13:57:32+0000	CODE_SMELL	true	"redundant / "	Cloud-Developer-ND---Course-03---Monolith-to-Microservices:nd9990-c3-microservices-v1-master/lesson-1-Best-Practices/exercises/udacity-c3-frontend/src/app/api/api.service.ts		MAIN	{startLine=66.0, endLine=66.0, startOffset=21.0, endOffset=31.0}	1min	AYb1A1w0knHrXAICIGbI	c4803a2de0c8854a7946ff5e8468c001	OPEN
MINOR	2023-03-18T13:57:32+0000		66.0		typescript:S4325	Cloud-Developer-ND---Course-03---Monolith-to-Microservices	1min		This assertion is unnecessary since it does not change the type of the expression.	2023-03-18T13:57:32+0000	CODE_SMELL	true	"redundant / "	Cloud-Developer-ND---Course-03---Monolith-to-Microservices:nd9990-c3-microservices-v1-master/lesson-1-Best-Practices/exercises/udacity-c3-frontend/src/app/api/api.service.ts		MAIN	{startLine=66.0, endLine=66.0, startOffset=44.0, endOffset=54.0}	1min	AYb1A1w0knHrXAICIGbJ	c4803a2de0c8854a7946ff5e8468c001	OPEN
MINOR	2023-03-18T13:57:32+0000		7.0		typescript:S1128	Cloud-Developer-ND---Course-03---Monolith-to-Microservices	2min		Remove this unused import of 'catchError'.	2023-03-18T13:57:32+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-Developer-ND---Course-03---Monolith-to-Microservices:nd9990-c3-microservices-v1-master/lesson-1-Best-Practices/exercises/udacity-c3-frontend/src/app/auth/auth-login/auth-login.component.ts		MAIN	{startLine=7.0, endLine=7.0, startOffset=9.0, endOffset=19.0}	2min	AYb1A1wjknHrXAICIGa-	2d8722639aa0a4082ae579167f946d9f	OPEN
CRITICAL	2023-03-18T13:57:32+0000		46.0		typescript:S1186	Cloud-Developer-ND---Course-03---Monolith-to-Microservices	5min		Unexpected empty method 'ngOnInit'.	2023-03-18T13:57:32+0000	CODE_SMELL	true	"suspicious / "	Cloud-Developer-ND---Course-03---Monolith-to-Microservices:nd9990-c3-microservices-v1-master/lesson-1-Best-Practices/exercises/udacity-c3-frontend/src/app/auth/auth-menu-button/auth-menu-button.component.ts		MAIN	{startLine=46.0, endLine=46.0, startOffset=13.0, endOffset=15.0}	5min	AYb1A1wMknHrXAICIGay	a73ef0c42fd36cffbb05f07b660de442	OPEN
CRITICAL	2023-03-18T13:57:32+0000		13.0		typescript:S1186	Cloud-Developer-ND---Course-03---Monolith-to-Microservices	5min		Unexpected empty method 'ngOnInit'.	2023-03-18T13:57:32+0000	CODE_SMELL	true	"suspicious / "	Cloud-Developer-ND---Course-03---Monolith-to-Microservices:nd9990-c3-microservices-v1-master/lesson-1-Best-Practices/exercises/udacity-c3-frontend/src/app/auth/auth-menu-button/auth-menu-user/auth-menu-user.component.ts		MAIN	{startLine=13.0, endLine=13.0, startOffset=13.0, endOffset=15.0}	5min	AYb1A1wRknHrXAICIGaz	a73ef0c42fd36cffbb05f07b660de442	OPEN
MINOR	2023-03-18T13:57:32+0000		3.0		typescript:S1128	Cloud-Developer-ND---Course-03---Monolith-to-Microservices	2min		Remove this unused import of 'FormsModule'.	2023-03-18T13:57:32+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-Developer-ND---Course-03---Monolith-to-Microservices:nd9990-c3-microservices-v1-master/lesson-1-Best-Practices/exercises/udacity-c3-frontend/src/app/auth/auth-register/auth-register.component.spec.ts		MAIN	{startLine=3.0, endLine=3.0, startOffset=9.0, endOffset=20.0}	2min	AYb1A1wpknHrXAICIGa_	25dc28133e925e854b44055bb2c3e4b3	OPEN
MINOR	2023-03-18T13:57:32+0000		5.0		typescript:S1128	Cloud-Developer-ND---Course-03---Monolith-to-Microservices	2min		Remove this unused import of 'RouterModule'.	2023-03-18T13:57:32+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-Developer-ND---Course-03---Monolith-to-Microservices:nd9990-c3-microservices-v1-master/lesson-1-Best-Practices/exercises/udacity-c3-frontend/src/app/auth/auth.module.ts		MAIN	{startLine=5.0, endLine=5.0, startOffset=9.0, endOffset=21.0}	2min	AYb1A1wfknHrXAICIGa8	dcd77182f3748b2b5139f47ed0d2278d	OPEN
MINOR	2023-03-18T13:57:32+0000		13.0		typescript:S1128	Cloud-Developer-ND---Course-03---Monolith-to-Microservices	2min		Remove this unused import of 'ApiService'.	2023-03-18T13:57:32+0000	CODE_SMELL	true	"es2015 / unused / "	Cloud-Developer-ND---Course-03---Monolith-to-Microservices:nd9990-c3-microservices-v1-master/lesson-1-Best-Practices/exercises/udacity-c3-frontend/src/app/auth/auth.module.ts		MAIN	{startLine=13.0, endLine=13.0, startOffset=9.0, endOffset=19.0}	2min	AYb1A1wfknHrXAICIGa9	83f722a3916cdda082367070230426fc	OPEN
MAJOR	2023-03-18T13:57:32+0000		31.0		typescript:S125	Cloud-Developer-ND---Course-03---Monolith-to-Microservices	5min		Remove this commented out code.	2023-03-18T13:57:32+0000	CODE_SMELL	true	"unused / "	Cloud-Developer-ND---Course-03---Monolith-to-Microservices:nd9990-c3-microservices-v1-master/lesson-1-Best-Practices/exercises/udacity-c3-frontend/src/app/auth/services/auth.guard.service.ts		MAIN	{startLine=31.0, endLine=33.0, startOffset=0.0, endOffset=43.0}	5min	AYb1A1waknHrXAICIGa4	30c9941e8d8915a5715438da9177117c	OPEN
MAJOR	2023-03-18T13:57:32+0000		35.0		typescript:S125	Cloud-Developer-ND---Course-03---Monolith-to-Microservices	5min		Remove this commented out code.	2023-03-18T13:57:32+0000	CODE_SMELL	true	"unused / "	Cloud-Developer-ND---Course-03---Monolith-to-Microservices:nd9990-c3-microservices-v1-master/lesson-1-Best-Practices/exercises/udacity-c3-frontend/src/app/auth/services/auth.guard.service.ts		MAIN	{startLine=35.0, endLine=39.0, startOffset=0.0, endOffset=38.0}	5min	AYb1A1waknHrXAICIGa5	7e57f30fcb145ea06d32906987f59c40	OPEN
