severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
INFO	2023-03-17T11:19:36+0000		45.0		typescript:S1135	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-17T11:19:36+0000	CODE_SMELL	false	"cwe / "	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management:cd0039-Identity-and-Access-Management-master/Project/03_coffee_shop_full_stack/starter_code/frontend/src/app/app.component.spec.ts		MAIN	{startLine=45.0, endLine=45.0, startOffset=5.0, endOffset=9.0}	0min	AYbvTFVRIZYa0Rfl_tby	0f44d46923e4c82d33ba1afb68cf1d6f	OPEN
MINOR	2023-03-17T11:19:36+0000		17.0		typescript:S1128	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management	2min		Remove this unused import of 'from'.	2023-03-17T11:19:36+0000	CODE_SMELL	true	"es2015 / unused / "	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management:cd0039-Identity-and-Access-Management-master/Project/03_coffee_shop_full_stack/starter_code/frontend/src/app/app.module.ts		MAIN	{startLine=17.0, endLine=17.0, startOffset=9.0, endOffset=13.0}	2min	AYbvTFVXIZYa0Rfl_tb1	6ce04365475cfa673009012088c5d070	OPEN
CRITICAL	2023-03-17T11:19:36+0000		12.0		typescript:S1186	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management	5min		Unexpected empty constructor.	2023-03-17T11:19:36+0000	CODE_SMELL	true	"suspicious / "	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management:cd0039-Identity-and-Access-Management-master/Project/03_coffee_shop_full_stack/starter_code/frontend/src/app/pages/drink-menu/drink-graphic/drink-graphic.component.ts		MAIN	{startLine=12.0, endLine=12.0, startOffset=16.0, endOffset=19.0}	5min	AYbvTFU8IZYa0Rfl_tbs	16a47861159046dc7590ae9341dad244	OPEN
CRITICAL	2023-03-17T11:19:36+0000		14.0		typescript:S1186	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T11:19:36+0000	CODE_SMELL	true	"suspicious / "	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management:cd0039-Identity-and-Access-Management-master/Project/03_coffee_shop_full_stack/starter_code/frontend/src/app/pages/drink-menu/drink-graphic/drink-graphic.component.ts		MAIN	{startLine=14.0, endLine=14.0, startOffset=13.0, endOffset=15.0}	5min	AYbvTFU8IZYa0Rfl_tbt	a73ef0c42fd36cffbb05f07b660de442	OPEN
CRITICAL	2023-03-17T11:19:36+0000		16.0		typescript:S1186	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T11:19:36+0000	CODE_SMELL	true	"suspicious / "	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management:cd0039-Identity-and-Access-Management-master/Project/03_coffee_shop_full_stack/starter_code/frontend/src/app/pages/user-page/user-page.page.ts		MAIN	{startLine=16.0, endLine=17.0, startOffset=13.0, endOffset=3.0}	5min	AYbvTFVGIZYa0Rfl_tbv	2081060895aca8a8318c43140bb5c63f	OPEN
CRITICAL	2023-03-17T11:19:36+0000		21.0		typescript:S1186	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management	5min		Unexpected empty constructor.	2023-03-17T11:19:36+0000	CODE_SMELL	true	"suspicious / "	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management:cd0039-Identity-and-Access-Management-master/Project/03_coffee_shop_full_stack/starter_code/frontend/src/app/services/auth.service.ts		MAIN	{startLine=21.0, endLine=21.0, startOffset=16.0, endOffset=19.0}	5min	AYbvTFVUIZYa0Rfl_tbz	16a47861159046dc7590ae9341dad244	OPEN
MINOR	2023-03-17T11:19:36+0000		37.0		typescript:S1874	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management	15min		'substr' is deprecated. A legacy feature for browser compatibility	2023-03-17T11:19:36+0000	CODE_SMELL	false	"cwe / obsolete / "	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management:cd0039-Identity-and-Access-Management-master/Project/03_coffee_shop_full_stack/starter_code/frontend/src/app/services/auth.service.ts		MAIN	{startLine=37.0, endLine=37.0, startOffset=42.0, endOffset=48.0}	15min	AYbvTFVUIZYa0Rfl_tb0	38231c475560cd75a5a63aaedd9c4b4f	OPEN
INFO	2023-03-17T11:19:36+0000		1.0		typescript:S1135	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-17T11:19:36+0000	CODE_SMELL	false	"cwe / "	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management:cd0039-Identity-and-Access-Management-master/Project/03_coffee_shop_full_stack/starter_code/frontend/src/environments/environment.ts		MAIN	{startLine=1.0, endLine=1.0, startOffset=4.0, endOffset=8.0}	0min	AYbvTFVdIZYa0Rfl_tb4	b170a4515435cb1da445299a01eeb649	OPEN
MAJOR	2023-03-17T11:19:36+0000		22.0		typescript:S125	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management	5min		Remove this commented out code.	2023-03-17T11:19:36+0000	CODE_SMELL	true	"unused / "	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management:cd0039-Identity-and-Access-Management-master/Project/03_coffee_shop_full_stack/starter_code/frontend/src/polyfills.ts		MAIN	{startLine=22.0, endLine=22.0, startOffset=0.0, endOffset=68.0}	5min	AYbvTFVZIZYa0Rfl_tb2	498770bf1ba9d52059accfb089c7db5e	OPEN
MAJOR	2023-03-17T11:19:36+0000		29.0		typescript:S125	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management	5min		Remove this commented out code.	2023-03-17T11:19:36+0000	CODE_SMELL	true	"unused / "	Full-Stack-Web-Developer-Nanodegree---Identity-Access-Management:cd0039-Identity-and-Access-Management-master/Project/03_coffee_shop_full_stack/starter_code/frontend/src/polyfills.ts		MAIN	{startLine=29.0, endLine=29.0, startOffset=0.0, endOffset=78.0}	5min	AYbvTFVZIZYa0Rfl_tb3	b6f55ade2913344031e83173e02c644b	OPEN
