severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-17T11:21:34+0000		73.0		typescript:S4123	Hosting-a-Full-Stack-Application	1min		Refactor this redundant 'await' on a non-promise.	2023-03-17T11:21:34+0000	CODE_SMELL	false	confusing / 	Hosting-a-Full-Stack-Application:nd0067-c4-deployment-process-project-starter-master/udagram/udagram-api/src/controllers/v0/feed/routes/feed.router.ts		MAIN	{startLine=73.0, endLine=76.0, startOffset=19.0, endOffset=8.0}	1min	AYbvTgRrIZYa0Rfl_uVp	439c2c991c572fa84f0dfcb74738c52b	OPEN
MAJOR	2023-03-17T11:21:34+0000		6.0		typescript:S125	Hosting-a-Full-Stack-Application	5min		Remove this commented out code.	2023-03-17T11:21:34+0000	CODE_SMELL	true	unused / 	Hosting-a-Full-Stack-Application:nd0067-c4-deployment-process-project-starter-master/udagram/udagram-api/src/controllers/v0/users/routes/auth.router.ts		MAIN	{startLine=6.0, endLine=6.0, startOffset=0.0, endOffset=36.0}	5min	AYbvTgRnIZYa0Rfl_uVl	f99e44833bf0044cfcb3a609f5739c67	OPEN
MINOR	2023-03-17T11:21:34+0000		11.0		typescript:S1128	Hosting-a-Full-Stack-Application	2min		Remove this unused import of 'config'.	2023-03-17T11:21:34+0000	CODE_SMELL	true	es2015 / unused / 	Hosting-a-Full-Stack-Application:nd0067-c4-deployment-process-project-starter-master/udagram/udagram-api/src/controllers/v0/users/routes/auth.router.ts		MAIN	{startLine=11.0, endLine=11.0, startOffset=8.0, endOffset=14.0}	2min	AYbvTgRnIZYa0Rfl_uVm	ad0f05f5d9c57cf9409fda2b7624b6a5	OPEN
CRITICAL	2023-03-17T11:21:34+0000		14.0		typescript:S3504	Hosting-a-Full-Stack-Application	5min		Unexpected var, use let or const instead.	2023-03-17T11:21:34+0000	CODE_SMELL	true	bad-practice / es2015 / 	Hosting-a-Full-Stack-Application:nd0067-c4-deployment-process-project-starter-master/udagram/udagram-api/src/controllers/v0/users/routes/auth.router.ts		MAIN	{startLine=14.0, endLine=14.0, startOffset=0.0, endOffset=10.0}	5min	AYbvTgRnIZYa0Rfl_uVn	394ec42a59869676433a29edfe6a3c2d	OPEN
CRITICAL	2023-03-17T11:21:34+0000		103.0		typescript:S4123	Hosting-a-Full-Stack-Application	1min		Refactor this redundant 'await' on a non-promise.	2023-03-17T11:21:34+0000	CODE_SMELL	false	confusing / 	Hosting-a-Full-Stack-Application:nd0067-c4-deployment-process-project-starter-master/udagram/udagram-api/src/controllers/v0/users/routes/auth.router.ts		MAIN	{startLine=103.0, endLine=106.0, startOffset=18.0, endOffset=4.0}	1min	AYbvTgRnIZYa0Rfl_uVo	9c33f00e2c74b26338517484ff6253c4	OPEN
MINOR	2023-03-17T11:21:34+0000		69.0		typescript:S4325	Hosting-a-Full-Stack-Application	1min		This assertion is unnecessary since it does not change the type of the expression.	2023-03-17T11:21:34+0000	CODE_SMELL	true	redundant / 	Hosting-a-Full-Stack-Application:nd0067-c4-deployment-process-project-starter-master/udagram/udagram-frontend/src/app/api/api.service.ts		MAIN	{startLine=69.0, endLine=69.0, startOffset=21.0, endOffset=31.0}	1min	AYbvTgRaIZYa0Rfl_uVd	c4803a2de0c8854a7946ff5e8468c001	OPEN
MINOR	2023-03-17T11:21:34+0000		69.0		typescript:S4325	Hosting-a-Full-Stack-Application	1min		This assertion is unnecessary since it does not change the type of the expression.	2023-03-17T11:21:34+0000	CODE_SMELL	true	redundant / 	Hosting-a-Full-Stack-Application:nd0067-c4-deployment-process-project-starter-master/udagram/udagram-frontend/src/app/api/api.service.ts		MAIN	{startLine=69.0, endLine=69.0, startOffset=44.0, endOffset=54.0}	1min	AYbvTgRaIZYa0Rfl_uVe	c4803a2de0c8854a7946ff5e8468c001	OPEN
CRITICAL	2023-03-17T11:21:34+0000		46.0		typescript:S1186	Hosting-a-Full-Stack-Application	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T11:21:34+0000	CODE_SMELL	true	suspicious / 	Hosting-a-Full-Stack-Application:nd0067-c4-deployment-process-project-starter-master/udagram/udagram-frontend/src/app/auth/auth-menu-button/auth-menu-button.component.ts		MAIN	{startLine=46.0, endLine=46.0, startOffset=13.0, endOffset=15.0}	5min	AYbvTgQ-IZYa0Rfl_uVP	a73ef0c42fd36cffbb05f07b660de442	OPEN
CRITICAL	2023-03-17T11:21:34+0000		13.0		typescript:S1186	Hosting-a-Full-Stack-Application	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T11:21:34+0000	CODE_SMELL	true	suspicious / 	Hosting-a-Full-Stack-Application:nd0067-c4-deployment-process-project-starter-master/udagram/udagram-frontend/src/app/auth/auth-menu-button/auth-menu-user/auth-menu-user.component.ts		MAIN	{startLine=13.0, endLine=13.0, startOffset=13.0, endOffset=15.0}	5min	AYbvTgQ4IZYa0Rfl_uVN	a73ef0c42fd36cffbb05f07b660de442	OPEN
MINOR	2023-03-17T11:21:34+0000		2.0		typescript:S1128	Hosting-a-Full-Stack-Application	2min		Remove this unused import of 'Observable'.	2023-03-17T11:21:34+0000	CODE_SMELL	true	es2015 / unused / 	Hosting-a-Full-Stack-Application:nd0067-c4-deployment-process-project-starter-master/udagram/udagram-frontend/src/app/auth/services/auth.service.ts		MAIN	{startLine=2.0, endLine=2.0, startOffset=26.0, endOffset=36.0}	2min	AYbvTgRDIZYa0Rfl_uVR	c8a102f29263eba17d0a0fc2e01c407a	OPEN
