severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-17T11:16:44+0000		72.0		typescript:S4123	Monolith-to-Microservices-at-Scale-course	1min		Refactor this redundant 'await' on a non-promise.	2023-03-17T11:16:44+0000	CODE_SMELL	false	confusing / 	Monolith-to-Microservices-at-Scale-course:udagram-api/src/controllers/v0/feed/routes/feed.router.ts		MAIN	{startLine=72.0, endLine=75.0, startOffset=19.0, endOffset=8.0}	1min	AYbvSaA4IZYa0Rfl_mn4	439c2c991c572fa84f0dfcb74738c52b	OPEN
MINOR	2023-03-17T11:16:44+0000		11.0		typescript:S1128	Monolith-to-Microservices-at-Scale-course	2min		Remove this unused import of 'config'.	2023-03-17T11:16:44+0000	CODE_SMELL	true	es2015 / unused / 	Monolith-to-Microservices-at-Scale-course:udagram-api/src/controllers/v0/users/routes/auth.router.ts		MAIN	{startLine=11.0, endLine=11.0, startOffset=8.0, endOffset=14.0}	2min	AYbvSaA9IZYa0Rfl_mn5	ad0f05f5d9c57cf9409fda2b7624b6a5	OPEN
CRITICAL	2023-03-17T11:16:44+0000		102.0		typescript:S4123	Monolith-to-Microservices-at-Scale-course	1min		Refactor this redundant 'await' on a non-promise.	2023-03-17T11:16:44+0000	CODE_SMELL	false	confusing / 	Monolith-to-Microservices-at-Scale-course:udagram-api/src/controllers/v0/users/routes/auth.router.ts		MAIN	{startLine=102.0, endLine=105.0, startOffset=18.0, endOffset=4.0}	1min	AYbvSaA9IZYa0Rfl_mn6	9c33f00e2c74b26338517484ff6253c4	OPEN
MINOR	2023-03-17T11:16:44+0000		69.0		typescript:S4325	Monolith-to-Microservices-at-Scale-course	1min		This assertion is unnecessary since it does not change the type of the expression.	2023-03-17T11:16:44+0000	CODE_SMELL	true	redundant / 	Monolith-to-Microservices-at-Scale-course:udagram-frontend/src/app/api/api.service.ts		MAIN	{startLine=69.0, endLine=69.0, startOffset=21.0, endOffset=31.0}	1min	AYbvSaAkIZYa0Rfl_mnw	c4803a2de0c8854a7946ff5e8468c001	OPEN
MINOR	2023-03-17T11:16:44+0000		69.0		typescript:S4325	Monolith-to-Microservices-at-Scale-course	1min		This assertion is unnecessary since it does not change the type of the expression.	2023-03-17T11:16:44+0000	CODE_SMELL	true	redundant / 	Monolith-to-Microservices-at-Scale-course:udagram-frontend/src/app/api/api.service.ts		MAIN	{startLine=69.0, endLine=69.0, startOffset=44.0, endOffset=54.0}	1min	AYbvSaAkIZYa0Rfl_mnx	c4803a2de0c8854a7946ff5e8468c001	OPEN
CRITICAL	2023-03-17T11:16:44+0000		46.0		typescript:S1186	Monolith-to-Microservices-at-Scale-course	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T11:16:44+0000	CODE_SMELL	true	suspicious / 	Monolith-to-Microservices-at-Scale-course:udagram-frontend/src/app/auth/auth-menu-button/auth-menu-button.component.ts		MAIN	{startLine=46.0, endLine=46.0, startOffset=13.0, endOffset=15.0}	5min	AYbvSZ_tIZYa0Rfl_mnf	a73ef0c42fd36cffbb05f07b660de442	OPEN
CRITICAL	2023-03-17T11:16:44+0000		13.0		typescript:S1186	Monolith-to-Microservices-at-Scale-course	5min		Unexpected empty method 'ngOnInit'.	2023-03-17T11:16:44+0000	CODE_SMELL	true	suspicious / 	Monolith-to-Microservices-at-Scale-course:udagram-frontend/src/app/auth/auth-menu-button/auth-menu-user/auth-menu-user.component.ts		MAIN	{startLine=13.0, endLine=13.0, startOffset=13.0, endOffset=15.0}	5min	AYbvSZ_pIZYa0Rfl_mne	a73ef0c42fd36cffbb05f07b660de442	OPEN
MINOR	2023-03-17T11:16:44+0000		3.0		typescript:S1128	Monolith-to-Microservices-at-Scale-course	2min		Remove this unused import of 'FormsModule'.	2023-03-17T11:16:44+0000	CODE_SMELL	true	es2015 / unused / 	Monolith-to-Microservices-at-Scale-course:udagram-frontend/src/app/auth/auth-register/auth-register.component.spec.ts		MAIN	{startLine=3.0, endLine=3.0, startOffset=9.0, endOffset=20.0}	2min	AYbvSZ_6IZYa0Rfl_mnl	25dc28133e925e854b44055bb2c3e4b3	OPEN
MINOR	2023-03-17T11:16:44+0000		2.0		typescript:S1128	Monolith-to-Microservices-at-Scale-course	2min		Remove this unused import of 'Observable'.	2023-03-17T11:16:44+0000	CODE_SMELL	true	es2015 / unused / 	Monolith-to-Microservices-at-Scale-course:udagram-frontend/src/app/auth/services/auth.service.ts		MAIN	{startLine=2.0, endLine=2.0, startOffset=26.0, endOffset=36.0}	2min	AYbvSZ_wIZYa0Rfl_mng	c8a102f29263eba17d0a0fc2e01c407a	OPEN
MINOR	2023-03-17T11:16:44+0000		5.0		typescript:S1128	Monolith-to-Microservices-at-Scale-course	2min		Remove this unused import of 'catchError'.	2023-03-17T11:16:44+0000	CODE_SMELL	true	es2015 / unused / 	Monolith-to-Microservices-at-Scale-course:udagram-frontend/src/app/auth/services/auth.service.ts		MAIN	{startLine=5.0, endLine=5.0, startOffset=9.0, endOffset=19.0}	2min	AYbvSZ_wIZYa0Rfl_mnh	b0544d71cdde082624aa1bcee0689657	OPEN
